name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Chossy Chin-Up,119797859,Boulder,119797552,V2+,8,1,1.0,1.0,Move up and to the left across crimps and slopers to match at the top of the wall. Rocks coming out beneath the wall are off and make this more of a V1.,{200853037: 1}
Heel Heaven,119797892,Boulder,119797552,V1-2,6,1,2.5,2.0,Start with a high heel and then work hands to match on top of the wall. Short route but pretty fun.,"{200969333: 3, 200853037: 2}"
Over Orangahang,119797827,Boulder,119797552,V3-,6,1,2.0,1.0,A few tough crimps to match hands on top of the wall.,{200853037: 2}
Painful Pull-Up,119797842,Boulder,119797552,V3-,6,1,2.0,1.0,"Similar to Over Orangahang, tough crimps and then match on top of the wall.",{200853037: 2}
Three Throws,119797885,Boulder,119797552,V3-,6,1,2.0,1.0,Three semi-dynamic moves to match at the top. The crux is finding feet.,{200853037: 2}
Tough Traverse,119797652,Boulder,119797552,V4-5,15,1,3.0,1.0,15' overhanging boulder to the first easy top out. The crux is in the middle and managing the pump. Throw some fun heels and crimps to finish this one out.,{200853037: 3}
Electric Avenue,118005235,Sport,116191154,5.9+,60,1,2.8,8.0,"This all bolted line has consistently interesting slab/face climbing. I recommend stick clipping the first bolt. Thanks to Eddy Grant for the song that inspired the route name. It's my first FA since being injured by a lightning strike in CO this summer, so the name seemed appropriate :)","{106198934: 3, 200209902: 3, 106562865: 3, 106904776: 3, 200229728: 3, 200171016: 3, 105904878: 2, 200325629: 2}"
Toilet Bowl,116242763,Sport,116191154,5.10,50,1,2.0,3.0,"This is a fun line that is worth doing if you're at the Arch Wall area and enjoy slab.  Climb the bouldery start to a good stance. Note: There is a low bolt that keeps you from tumbling down the gully should you blow the start, but clip it short and have a tight belay here. Continue up the slab to a bowl/stance up and slightly right. From here there are two ways to climb the face above: 1) Harder way is left of bolt line on thin edges 2) Right of bolt line on  well-spaced bigger holds (probably needs cleaning). Lower from anchors at ` 50'.","{106056907: 2, 105904878: 2, 111770859: 2}"
Tradasaurus Wrecks,118721006,Trad,116191154,5.10-,85,1,0.0,1.0,"More fun than being eaten by a T-Rex.  Does it eat gear?  Not really.  Stand at the bottom and wonder if you're about to free solo this slab.  Start as per Tree Willy, but move right after the second bolt.  Alternatively, scurry in from the right side uphill.  Stay right on the buttress and you'll find unexpected slots, if you pay close attention.  Slither your way under the tree.  A #1, slings, and a clawful of small gear in sketchy placements will get you there.  After the 5.10 start, it's all mental crux.",{200325629: 0}
Tree Willy,118652126,Sport,116191154,5.10-,85,1,2.5,2.0,"Start at the short finger crack splitting the buttress.  Follow the bolt line up the middle of the rock through fun face features, getting more slabby as you go. The crux is the first 20 feet or so and might make you think.","{200171016: 3, 200325629: 2}"
Triple F,116227234,Sport,116191154,5.10,60,1,3.0,5.0,The crux is getting off the ground. Clip the bolt before committing into the first moves so you don't take a ride down the hill. Position your belayer down the hill and out of the way. Start paddling up the very thin slab. More thin climbing and well-spaced bolts lead you to the shared anchor.,"{106449553: 3, 105904878: 3, 106056907: 3, 111770859: 3, 111151975: 3}"
The Underdog,118100516,Trad,116191154,5.9,50,1,2.8,8.0,"Anyone that frequents Big Rock has likely walked right past this crack a million times and either ignored it or wondered what must be under its jungle of vines and briars. It took two days of excavating and gardening to clean, but here it is... a stellar new addition to Big Rock’s collection of classics.   The crux gets on you fast and sustains for two or three moves. Getting into the crack is the business. Once there, find a few hand jams and work on your crack technique to get to easier ground. Gear is a bit tricky down low (depending on your stance, you may have a blind placement or two), but good. Singles of .3 through 2 sow it up. Rap/lower or choose the safe and easy walk-off.   Bring your nut tool and help us continue to clean it out. With additional cleaning and a season of rain, this crack should only get better (and perhaps, a bit easier). Enjoy!","{200162986: 4, 200830011: 4, 108088813: 3, 200325629: 3, 106904776: 2, 200209902: 2, 105904878: 2, 200741505: 2}"
Archetype,116242855,Sport,116242825,5.11a,65,1,3.0,1.0,"A thin start gains a seam and the first bolt. From here underclimb the big thin flake up and right past another bolt and some knob climbing to gain the diagonal ""crack"". Optional gear here. Clip a bolt above on the face and move left along the foot ledge to the large groove. Follow the groove past bolts (might need to sling long) to a ledge below the easy slab. Climb this slab past one last bolt to the anchor in the boulder up and right of the tree.",{106056907: 3}
