name,id,parent_id,elevation,latitude,longitude
South Dakota,105708963,,"6,789",44.12, -104.036
Crow Peak,105714309,105708963.0,,44.12, -104.036
Custer State Park,106058091,105708963.0,"6,173",43.844, -103.563
Cathedral Spires,105714246,106058091.0,"6,584",43.849, -103.533
Balcony Point,105714402,105714246.0,"6,543",43.848, -103.535
Bartizan Wall,106037158,105714246.0,,43.849, -103.533
Blockhead,108198898,105714246.0,"6,618",43.849, -103.533
Broken Point,111083399,105714246.0,"6,599",43.849, -103.533
East Gruesome,110964269,105714246.0,"6,578",43.849, -103.533
Eyetooth,105714450,105714246.0,"6,637",43.849, -103.533
Flying Buttress,105714564,105714246.0,"6,476",43.848, -103.533
Freak's Fright,108198778,105714246.0,"6,462",43.848, -103.533
Grace Note Spire,105845904,105714246.0,"6,000",43.848, -103.535
Heck-of-a-Note,111846672,105714246.0,"6,548",43.849, -103.535
Javelin,108227860,105714246.0,"6,558",43.849, -103.535
Khayyam Spire,105714552,105714246.0,"6,526",43.848, -103.534
Land of Oz,112198564,105714246.0,"6,552",43.848, -103.537
I'm Melting Spire,112198574,112198564.0,"6,528",43.847, -103.537
Lions,112198614,112198564.0,"6,538",43.847, -103.537
Witch's Hat,112198649,112198564.0,"6,522",43.847, -103.536
Laureate Tower,111846656,105714246.0,"6,507",43.848, -103.535
Lightning Rod,108198839,105714246.0,"6,425",43.847, -103.533
Moving Finger,107044169,105714246.0,"6,403",43.847, -103.534
Obelisk,111805526,105714246.0,"6,590",43.849, -103.534
Rubaiyat Spire,107619403,105714246.0,"6,487",43.848, -103.534
Sharp,105996891,105714246.0,"6,525",43.848, -103.535
Spindle,111066020,105714246.0,"6,626",43.849, -103.531
Spire Eight,111846707,105714246.0,"6,641",43.849, -103.531
Spire five,106012387,105714246.0,"6,630",43.849, -103.533
Spire Four,105714399,105714246.0,"6,629",43.849, -103.534
Spire Nine,111473319,105714246.0,"6,636",43.85, -103.531
Spire One,105714327,105714246.0,"6,561",43.849, -103.535
Spire Seven,111846704,105714246.0,"6,650",43.849, -103.531
Spire Six,109173262,105714246.0,"6,666",43.849, -103.532
Spire Three,105714375,105714246.0,"6,576",43.849, -103.534
Spire Two,105714423,105714246.0,"6,556",43.849, -103.535
Sputnik,109528362,105714246.0,"6,540",43.848, -103.534
Station 13,105714330,105714246.0,"6,590",43.849, -103.535
Stimulation Spire,108228779,105714246.0,"6,525",43.848, -103.533
Tower of Darkness,107044097,105714246.0,"6,471",43.848, -103.534
Tuning Fork,111846663,105714246.0,"6,533",43.848, -103.535
Tusk,108052910,105714246.0,"6,632",43.849, -103.533
West Buttress,117662443,105714246.0,"6,577",43.849, -103.534
Yellow Jacket,111908840,105714246.0,"6,490",43.847, -103.537
Center Lake Campground,119034665,106058091.0,"4,876",43.808, -103.425
Boulder 1,119034670,119034665.0,"4,876",43.808, -103.425
Boulder 2,119034679,119034665.0,"4,876",43.808, -103.425
Boulder 3,119034683,119034665.0,"4,876",43.808, -103.425
Boulder 4,119034686,119034665.0,"4,890",43.808, -103.425
Boulder 5,119034692,119034665.0,"4,876",43.808, -103.425
Boulder 6,119034695,119034665.0,"4,876",43.808, -103.425
Custer State Park Ice Climbing,105714306,106058091.0,"5,980",43.87, -103.541
Black Elk Peak,114099294,105714306.0,"5,982",43.87, -103.541
Honey Bear,105714678,105714306.0,,43.87, -103.541
Roadside Ice,114099256,105714306.0,"4,431",43.779, -103.406
The Shaft (Trail 4 Ice Flows),108297878,105714306.0,"5,979",43.87, -103.541
Sylvan Lake Road,116572623,105714306.0,"6,258",43.828, -103.589
Grace Basin,111701568,106058091.0,"4,320",43.79, -103.351
The Aquarium,116841391,111701568.0,"4,394",43.793, -103.36
The Fish,116841695,116841391.0,"4,384",43.793, -103.36
Merman Boulder,116841757,116841391.0,"4,388",43.793, -103.36
Bison Block,111703324,111701568.0,"4,418",43.794, -103.361
Heel Toe Dose Doe,116845097,111701568.0,"4,096",43.792, -103.353
Pluto,111723570,111701568.0,"4,307",43.793, -103.358
Slots Block,111703622,111701568.0,"4,395",43.794, -103.361
The Teter Totter,116842069,111701568.0,"4,373",43.794, -103.361
The Twin Planets Boulders,111703307,111701568.0,"4,364",43.793, -103.36
Iron Creek,118945533,106058091.0,"5,278",43.82, -103.491
Little Devils Tower Trail,116715541,106058091.0,"6,242",43.846, -103.558
The China tower,117559675,116715541.0,"6,242",43.845, -103.557
Equine,116787220,116715541.0,"6,479",43.847, -103.554
Garbage Dump Overlook,112855012,116715541.0,"6,277",43.844, -103.556
Little Devils Tower,116715571,116715541.0,"6,753",43.852, -103.539
Little Devils Tower Trail Bouldering,116715582,116715541.0,"6,242",43.845, -103.557
Curt Love Boulder,116715599,116715582.0,"6,264",43.843, -103.555
The Submarine,116715559,116715541.0,"6,242",43.846, -103.558
Moonlight Ridge,105991183,106058091.0,"6,572",43.844, -103.543
The Galaxy,105991196,105991183.0,"6,560",43.843, -103.543
The Point / Beside The Point,106312378,105991183.0,,43.844, -103.543
Thin Fin,109262305,105991183.0,"6,586",43.844, -103.543
Needles Eye Area,105714255,106058091.0,"6,359",43.842, -103.546
The Back Side,110346252,105714255.0,"6,216",43.841, -103.547
Bell Ringer,106197480,105714255.0,"6,334",43.842, -103.546
Bell Tower,105714656,105714255.0,,43.842, -103.546
Bloody Spire,105714561,105714255.0,"6,364",43.842, -103.545
Clam Shell,116738342,105714255.0,"6,435",43.842, -103.544
Crocket Tor,111332710,105714255.0,"6,316",43.841, -103.548
Exclamation Point,107313769,105714255.0,,43.842, -103.546
The Fan,105714624,105714255.0,,43.842, -103.546
Gnomon,105714396,105714255.0,"6,425",43.842, -103.544
Goldline,105714573,105714255.0,"6,309",43.841, -103.546
Hitching Post,105714360,105714255.0,"6,353",43.841, -103.545
Holey Terror,105714627,105714255.0,,43.842, -103.546
Homeward Spire,105714585,105714255.0,,43.842, -103.546
Immagination Spires,113701222,105714255.0,"6,402",43.844, -103.547
Just another Roadside Attraction,107794954,105714255.0,,43.842, -103.546
Loeber's Leap,105881454,105714255.0,"6,246",43.839, -103.551
Finial,105890844,105881454.0,,43.844, -103.563
Loebers Leap,105881472,105881454.0,,43.844, -103.563
Motley Rib,114249999,105881454.0,"6,097",43.837, -103.551
Pinpoint Pinnacle,114185022,105881454.0,"6,172",43.844, -103.563
Prince,108319001,105881454.0,,43.844, -103.563
Pulpit,114249898,105881454.0,"6,183",43.838, -103.552
Moraine Spire,106729924,105714255.0,,43.842, -103.546
Needle's Eye,105714426,105714255.0,,43.842, -103.546
Needles Eye Bouldering,116584101,105714255.0,"6,337",43.842, -103.546
Retable Rock,109422158,105714255.0,"6,303",43.842, -103.548
Seashell,105714567,105714255.0,,43.842, -103.546
Sore Thumb,105714630,105714255.0,,43.842, -103.546
Sun Dome,119117837,105714255.0,"6,440",43.842, -103.545
The Thimble,105714549,105714255.0,,43.842, -103.546
Twin Spires,107790742,105714255.0,,43.842, -103.546
Picket Fence,105714294,106058091.0,"6,671",43.851, -103.533
The Baluster,117663445,105714294.0,"6,643",43.851, -103.532
The Buttonhole,107312905,105714294.0,"6,650",43.851, -103.532
Connspire,111846733,105714294.0,"6,649",43.851, -103.532
Gatepost,109109131,105714294.0,"6,660",43.851, -103.533
Incisor,105714588,105714294.0,"6,651",43.85, -103.531
Mystery Spires,111027185,105714294.0,"6,683",43.852, -103.533
Pipestem,110720890,105714294.0,"6,633",43.85, -103.531
Sickle,106037112,105714294.0,"6,655",43.851, -103.533
Split Picket,113308515,105714294.0,"6,680",43.851, -103.533
Wicked Picket,106037148,105714294.0,"6,658",43.851, -103.533
Pilgrims Progress,107793932,106058091.0,,43.844, -103.563
The Playhouse Boulders,111528855,106058091.0,"5,052",43.817, -103.413
The Sign Boulders,111528871,111528855.0,"5,500",43.803, -103.435
Punks In The Park Boulder,111531181,111528871.0,"5,500",43.804, -103.438
The Thailand Boulder,111535438,111528871.0,"5,700",43.804, -103.437
Unknown Crack Boulder,111532076,111528871.0,"5,500",43.806, -103.437
Sylvan Lake,106887955,106058091.0,"6,000",43.846, -103.564
the Hideout,112335542,106887955.0,"6,273",43.85, -103.561
Isolated Spires,107786233,106887955.0,,43.846, -103.564
Blade,107786254,107786233.0,,43.846, -103.564
Prodigal Son,107787423,107786233.0,,43.846, -103.564
Seldom Scene,107794546,107786233.0,"6,300",43.846, -103.564
Shiva,107787456,107786233.0,,43.846, -103.564
Middle Earth,105714258,106887955.0,"6,116",43.848, -103.572
Barad Dur,118938591,105714258.0,"6,116",43.848, -103.572
Digit,107785723,105714258.0,,43.848, -103.572
East Lies Iron Hills,108214126,105714258.0,,43.849, -103.57
Erebor,105714654,105714258.0,,43.849, -103.571
Ered Lithui,105714405,105714258.0,,43.848, -103.572
Fanghorn Hills,105714390,105714258.0,,43.848, -103.57
Far Downs,106538500,105714258.0,,43.849, -103.571
Gror,109459047,105714258.0,"6,400",43.849, -103.57
Khazad Dum,106130638,105714258.0,,43.848, -103.572
Near Downs,107769759,105714258.0,"6,085",43.849, -103.571
Torech Ungol,105714558,105714258.0,,43.848, -103.572
Towers of Teeth,108391284,105714258.0,"6,073",43.848, -103.57
Carchost,108347009,108391284.0,,43.848, -103.572
Ephel Duath,108391290,108391284.0,"6,080",43.848, -103.57
The Guardian,108391298,108391284.0,"6,085",43.848, -103.57
West Lies Mirkwood,108185827,105714258.0,"6,083",43.849, -103.57
Outlets,105714243,106887955.0,"6,129",43.848, -103.567
Baldpate,109455897,105714243.0,"6,085",43.848, -103.567
Camel,108644600,105714243.0,,43.848, -103.567
Chillbain,105819752,105714243.0,,43.848, -103.567
Dam - Back Side,105714420,105714243.0,"6,136",43.848, -103.566
Dam - Front Side,105714369,105714243.0,,43.848, -103.567
Damn Rock,111027166,105714243.0,"6,087",43.849, -103.567
Hornsby's Rock,105714462,105714243.0,,43.848, -103.567
Inner Outlet,105714318,105714243.0,,43.848, -103.568
Integral Sign,111691225,105714243.0,"6,103",43.849, -103.57
Middle Earth Overlook,106104171,105714243.0,"6,200",43.848, -103.567
Moot Point,108253284,105714243.0,"6,144",43.848, -103.566
Northeast Slice,108239102,105714243.0,,43.848, -103.567
Old People's Dome,105714621,105714243.0,"6,086",43.849, -103.569
Outer Outlet,105714324,105714243.0,"6,124",43.848, -103.568
Outlet Overlook,108202474,105714243.0,,43.848, -103.567
Paydirt Pinnacle,106013039,105714243.0,"6,179",43.847, -103.568
Rapa Nui ( Easter Island),108228827,105714243.0,80,43.848, -103.567
Rhinoceros Rock,105714393,105714243.0,,43.848, -103.569
Riddle,105714649,105714243.0,,43.849, -103.569
Robknob Spire,108219740,105714243.0,"6,101",43.849, -103.569
Runner Rock,109462041,105714243.0,"6,092",43.849, -103.569
Salisbury Plain,109059521,105714243.0,,43.848, -103.567
Sardine,107414628,105714243.0,,43.848, -103.567
