name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
North Crack,105715025,Trad,105714402,5.7+,250,3,3.4,27.0,"This is a great climb.  Start by climbing the first 2 pitches of the east face route on Spire Two.  Then, when at the saddle between Spire Two and Balcony Point, climb up to the obvious beautiful splitter crack that goes almost to the summit of Balcony Point.  Climb this, the hardest move being pulling through a bulgy crack to the top of the pillar.","{10393: 4, 106388352: 4, 106945872: 4, 110271502: 4, 200107088: 4, 108856432: 4, 107621985: 4, 107280283: 4, 107568149: 4, 106617437: 4, 10994: 4, 106398311: 4, 105829183: 4, 107650191: 3, 10535: 3, 105865653: 3, 105957418: 3, 108447207: 3, 108799569: 3, 108368607: 3, 107080237: 3, 108659963: 3, 106226653: 3, 106983273: 3, 111855857: 3, 106354287: 2, 106167375: 2}"
Under an Open Sky,114585031,Trad,105714402,5.8+,130,1,3.0,3.0,"A surprisingly long route that follows a series of dihedrals with gear right where you need em.  On the Southwest side of balcony point (just uphill from Gods Own Drunk) follow two small dihedrals moving up and left transitioning to the next. Climbing thins out for a few moves where you will pass a bolt, continue straight up in a shallow dihedral up a hand and finger crack finish.   Two rope rappel: Bolted/webbing anchor ","{110471529: 4, 108856432: 3, 108425823: 2}"
Veranda,114580344,Trad,105714402,5.9,100,1,3.3,3.0,"Start in the crack with huge jugs surrounding it, follow this to the top and then take the sweet left angling crack to the top and build anchor in crack. rap off slung horn","{108856432: 4, 108425823: 3, 108799569: 3}"
Crack of Earthly Delights,108306955,Trad,106037158,5.9,210,2,4.0,7.0,"Excellent corner pitch followed by a very exposed summit finish. Absolute must do! Pitch 1 (5.9 135') Climb up the steep right facing corner pulling a few strenuous laybacks early on, then fun cruiser stemming on big feet and plenty of patina jugs. Once the corner fades, traverse out left across flakes up into the saddle to find the anchors above on a separate formation. Pitch 2 (5.8R 75') Head directly up rib past one old bolt to the top. Bring small (Rp's) gear to supplement. 2nd pitch anchor needs to be replaced (as of 8-24-13). I would recommend a needles style rap.","{14120: 4, 13248: 4, 11759: 4, 106104076: 4, 106301749: 4, 11423: 4, 108799569: 4}"
Elrod's Epic,112203001,Trad,106037158,5.9,280,3,2.0,2.0,"Fun 3 pitch adventure on the crack just to the right of Kevizan.     1) 110' 5.8   Start the same as Kevizan but stay right when the cracks split. Climb to a small stance and build anchor. The rock isn't the best on this pitch but not terrible.    2) 100' 5.9   Looks dirty but you skirt around the plant filled crack. Awkward crux pulling through steep corner, then fingers and hands to a stance in a corner. Build anchor.    Might be best to move belay directly below chimney. Traverse right through a notch to a large stance.    3) 70' 5.8   Straight up the chimney. Build anchor on top. Walk off.","{14120: 2, 108856432: 2}"
Kevizan,107711508,Trad,106037158,5.10+,350,3,3.5,12.0,"This one is much better than anticipated. What looks like a wide nightmare on poor rock turned out to be very enjoyable. Face climbing around most wide sections (my favorite), perfect natural belays, amazing last pitch, and a sweet walk-off.   P1: 5.10, 150' Cruise up to the small right facing chimney. Pull bulge and continue 'til you reach a nice ledge with a pin. Small gear for anchor.   P2: 5.10-, 65' Go for the large crack off the climber's left side of the belay ledge. Bust left onto face before horizontal. Stop at an even bigger belay ledge down and left of the large overhang. Medium gear for anchor.   P3: 5.10, 70' Pull final overhang and enjoy an atypical needles finger/hand crack to the top.","{14120: 4, 112483048: 4, 107418748: 4, 106104076: 4, 105865653: 4, 107089085: 4, 11759: 3, 107027962: 3, 107451356: 3, 108856432: 3, 11423: 3, 111855857: 3}"
The Naked Rib,107569795,Trad,106037158,5.10c,280,2,4.0,7.0,"A lesser known and rarely climbed needles classic. This route has plenty of exposure and run-outs on great face climbing. Only seven bolts on the 60m second pitch ;)    1. 90' 5.8; Scramble up to the base, start original route on the E side following dihedrals and flakes. Or start up higher in the gully on the W side for shorter, easier, more direct approach. Belay at a large flake on a ledge. Single rack.    2. 190' 5.10c; Straight up the rib, climb through short crux at the first bolt. Getting to the second bolt is the R section, but gets easier the further out you get. Micro gear can be placed out right to reduce the distance between bolts five and six. Don't climb the crack, stay left. Finish on the airy, low angle arête. Anything from a BD .5 - #3 will work for an anchor. 70m rope recommended.","{14120: 4, 106597548: 4, 107650191: 4, 106104076: 4, 106301749: 4, 107080237: 4, 105871367: 4}"
Storming the Castle,109578076,Trad,106037158,5.10,240,2,2.7,3.0,"Similar to the Naked Rib with it's exposed arête climbing. The first pitch isn't deserving of the four stars but the 45 meter 2nd pitch certainly is! Mixed climbing with some distanced bolts. Not for the 5.10-limit leader, but great for anyone looking for more of a mental challenge at this grade.    1) 90' 5.10    Start up crack that fades away. Move up to bolts. Quite chossy below roof, but gets better over the lip. Clip some pitons, one bolt, small gear if you want it then to the anchors with a small stance.    2) 140' 5.10   Take off onto the narrow, steepening rib with few bolts. Lots of sidepulls on excellent rock through the crux. Sling some horns on easier terrain and stay right to get back onto arête. Easy finish to a nice belay.","{14120: 3, 106104076: 3, 107650191: 2}"
Window on the West,109110296,Trad,106037158,5.11,200,1,3.0,2.0,"This has been called ""the Naked Edge of the Needles""... Which is a bit exaggerated. It is a long and varied crack system with a burly crux that makes it feel like your climbing in Eldo. Rock quality is the only thing that keeps this from being a full four stars. Ricey in some spots, dirty in others. Needs more traffic. Still recommended to the aspiring Needles climber.    FA party started with an approach pitch to the blocky, poison ivy filled , ledges. Looks not so fun. Better to scramble up the ramps from the left (SW). 4th class to the highest ledge below the white/yellow wall. Route starts on top of block at left facing corner/flake. Climb to roof/flake and step left into groove (crux). Leaving the groove is tricky and hard to protect, bring micro gear. Continue past a ledge into right facing lieback. Step right into another crack and then again to mantel onto ledge below the bulge. Follow crack through the bulge to the top. Potential for some wicked rope drag, and there isn't a great stopping point to break it up evenly into two pitches. Use long runners. Lots of options for natural belay anchor on top, save some hand sizes. Walk off the back.","{14120: 3, 106104076: 3}"
Almost Copasetic,109229705,Trad,108198898,5.9-,130,1,2.5,2.0,"A route to the climber's left of Copasetic. Instead of starting in the grassy lawn of the gully work your way up a fifth class scramble just outside of a mossy, moist chimney. Belay from a rocky ledge filled with patches of grass and ferns.    The climbing starts out overhung and a bit difficult but seems to protect well with good gear in small cracks. Beware the rock structures sticking out of the wall behind you. Gain about 30 feet of altitude to easier climbing and have yourself a good ole time with a plethora of juggy holds in a series of bomber crack systems.    Overall the route finding is a touch easier than its counterpart to the right. The climbing is athletically vigorous and mostly sustained without becoming too blue collar. Can be described as a Scary Larry route taken down a notch or two. Most movements are fluid and fun with excellent opportunities to rest and place protection on good stances.      Do the blocky summit if you wish. We didn't bother.","{106398311: 3, 107650191: 2}"
