name,id,parent_id,elevation,latitude,longitude
Tennessee,105887760,,"1,040",35.604, -85.869
Backbone Rock,106881426,105887760.0,"2,223",36.594, -81.815
Across the Street,106881435,106881426.0,,36.594, -81.815
Backbone Boulders,108220666,106881426.0,,36.593, -81.815
Backbone Roof,108220942,108220666.0,,36.594, -81.815
Death Tree Boulder,108220840,108220666.0,,36.594, -81.815
Main Wall,109843198,106881426.0,,36.594, -81.815
Parking lot side of street,111134147,106881426.0,,36.594, -81.815
Bays Mountain,111947944,105887760.0,"1,878",36.508, -82.611
Buzzard Cave Wall,112304448,111947944.0,"1,846",36.508, -82.611
Main Wall,112304520,111947944.0,"1,919",36.508, -82.611
North Wall,112308107,111947944.0,"1,834",36.508, -82.612
South Wall,112304684,111947944.0,"1,917",36.507, -82.61
Bells Bend,119104219,105887760.0,475,36.155, -86.922
Big Soddy Gorge,112518798,105887760.0,"1,208",35.3, -85.198
Conspiracy Buttress,112519126,112518798.0,"1,205",35.301, -85.199
Departure 29,113829879,112518798.0,"1,239",35.3, -85.188
Double Buttress,112519214,112518798.0,"1,236",35.3, -85.197
Good Samaritan Buttress,113826262,112518798.0,"1,210",35.3, -85.198
The Sirens,113828712,112518798.0,"1,250",35.299, -85.19
Visor Left,112529944,112518798.0,"1,200",35.3, -85.198
Big South Fork,106465172,105887760.0,"1,109",36.48, -84.663
911 Wall,111280866,106465172.0,"1,273",36.454, -84.645
Blue Heron,105870093,106465172.0,,36.671, -84.544
Carolina Training Wall,105872845,105870093.0,,36.671, -84.544
Downstream Area,106075401,105870093.0,,36.671, -84.544
Pantheon Amphitheatre,105872842,105870093.0,,36.671, -84.544
Springfield,114338730,105870093.0,"1,114",36.673, -84.546
Upstream Routes,105872839,105870093.0,,36.671, -84.544
Canoe Wall,116508437,106465172.0,"1,052",36.627, -84.58
The Crack House,106566646,106465172.0,,36.48, -84.663
Honey Creek,114346856,106465172.0,"1,232",36.432, -84.649
No Business Creek,114343961,106465172.0,"1,410",36.576, -84.683
The Butte Walls,114343980,114343961.0,"1,301",36.582, -84.673
Longfield Branch,114343969,114343961.0,"1,246",36.583, -84.682
No Business Butte,114343976,114343961.0,"1,221",36.584, -84.67
No Business Walls,114349278,114343961.0,"1,261",36.589, -84.677
Tacket Creek,114343984,114343961.0,"1,367",36.593, -84.685
O&W Wall,106481629,106465172.0,"1,209",36.454, -84.649
Pine Creek,106500616,106465172.0,,36.48, -84.663
Southern Weight Loss Center,119083389,106465172.0,"1,089",36.48, -84.663
White Oak Creek,106569709,106465172.0,,36.455, -84.664
Wild Wall,111729800,106465172.0,"1,218",36.514, -84.644
Black Mountain,108342141,105887760.0,"2,838",35.867, -84.894
Blue Hole Falls,108410382,105887760.0,"2,559",36.434, -82.076
Highball Area,108410760,108410382.0,"1,708",36.286, -82.664
Back Crag,108898276,108410760.0,"1,737",36.463, -82.181
Great Roof,108411026,108410760.0,,36.286, -82.664
