name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
19 Crimes,114149356,Trad,106881435,5.8+,60,1,3.0,2.0,This is the crack created by the large boulder falling out.  The crux is 30' up.  Toe holds get limited.  They reappear after about 10'.  Do not leave the crack until you mantle at the top.,"{200230343: 3, 200111650: 3}"
The Girlfriend Route,106881439,Trad,106881435,5.6,60,1,1.0,2.0,Blocky climb farthest from the road.  Start between the face and the short spire separate from the rock.,"{106879304: 1, 106989253: 1}"
Cubism Dream,108220956,Boulder,108220942,V3,12,1,3.0,1.0,Low start in the middle of the boulder with left hand on a good rail and right on the massive side pull. Move your left up to the next bomber rail and work your right up the side pull. Throw a left heel hook in and get your feet set to throw out to the far right side of the boulder. Make a dynamic move out to the good but awkward jug on the far right arete of the rock to get you out of the roof. Work straight up on easier terrain for another 5 feet. Jump down,{107192143: 3}
Contra,108763195,Boulder,108220840,V2-3,8,1,1.0,1.0,Stand start on obvious downward sloping jug in the middle of the boulder. Move up to horizontal rail and get your feet up for a big move up to the awesome top out jug. Be sure to stay to the right of Squatch for full value.,{107192143: 1}
Death Tree Traverse,108220846,Boulder,108220840,V2-3,15,1,2.0,1.0,"Start on the right Arete and traverse the horizontal crimp rail, using the rail along with any good holds you can find excluding the top of the boulder. Crux is finding the small but solid footholds. Top out on in the middle of boulder on big awesome top-out jugs.",{107192143: 2}
Parasite,108763191,Boulder,108220840,V2+,8,1,2.0,1.0,Sit start on far right side of boulder of opposing side-pulls. Move up through several crimps to an easy top-out directly above start.,{107192143: 2}
Squatch,108220867,Boulder,108220840,V1,7,1,1.0,1.0,"One move wonder. Stand start in the middle of the boulder with hands on the horizontal crack/any good crimp you can find. Toss up to the awesome top out jug directly above, then to the easy top out.",{107192143: 1}
El Breezy,109843201,Sport,109843198,5.9,60,1,3.0,1.0,Climb the steep block section to the face and work your way up to the small roof. Move left for better holds and take it up to the anchors. 5 bolts to rings.,{108370856: 3}
Paradise,109954031,Sport,109843198,5.5,60,1,2.5,2.0,"This is a reestablished version of Far Route. Follow the bolts up as they trend right until you gain the big ledge, following the path of least resistance. Then past one more bolt to anchors.","{108771019: 3, 108370856: 2}"
What Would Chouinard Do?,109954045,Trad,109843198,5.7,60,1,2.0,2.0,Follow the dihedral up to the anchors of The Girlfriend Route.,"{108771019: 3, 108370856: 1}"
Take Me Home,112304463,Trad,112304448,5.5,30,1,2.0,1.0,Start on big hand and footholds. Work your way up to mantle onto a ledge. The anchors are 1-2 moves above the ledge. ,{110811823: 2}
Mr. Clean,112304565,Sport,112304520,5.9,25,1,3.0,2.0,Smear and use the tiny feet and cracks to move up the clean face.  Watch for the occasional loose rock in the crack about halfway up.,"{110811823: 3, 111430398: 3}"
Cat People,112304688,Sport,112304684,5.9+,30,1,2.0,2.0,"Initially about a 5.7 but a broken hold has upped the grade.  One bolt below the wide horizontal crack, 2 bolts and anchors above.","{110811823: 2, 200366544: 2}"
No Mike Direct,119223408,Boulder,119104219,V5,13,1,4.0,1.0,"This is probably the only legit dyno on the rock.   Go straight up to the wide crimp line Jump straight up, land left hand in a small groove on top. Find the right hand jug to help top out.",{112863079: 4}
33 Degrees,112529922,Sport,112519126,5.12a,80,1,2.0,1.0,Climb through moderate terrain to a fun overlap about halfway up. Bust through the bouldery crux after the small roof and continue on easier ground to the chains.,{107521255: 2}
Chemtrail Surfer,112519130,Sport,112519126,5.11b,70,1,3.6,7.0,"A fun, varied route that climbs through a unique pink streak of rock. Start on a technical slab. Climb through pink rock on slopers and jugs. Finish through an overhang to the anchors above.","{107521255: 4, 110878497: 4, 200262076: 4, 108027731: 4, 108718600: 3, 200389003: 3, 109894471: 3}"
