name,id,parent_id,elevation,latitude,longitude
Texas,105835804,,601,30.288, -97.726
A Dumpster,118681736,105835804.0,638,32.959, -97.152
Adair Springs,114178692,105835804.0,609,32.112, -97.411
Austin Area,116711736,105835804.0,600,30.288, -97.726
Barton Creek Greenbelt,105905087,116711736.0,562,30.244, -97.801
5.8 Sanctuary,107307125,105905087.0,538,30.245, -97.798
[Redacted],109074699,105905087.0,,30.244, -97.801
Beehive Wall,108171209,105905087.0,597,30.239, -97.81
Choss Cave,113246424,105905087.0,529,30.25, -97.797
Dab boulder,118763158,105905087.0,501,30.255, -97.791
The Enclave (Bouldering),113985933,105905087.0,534,30.256, -97.793
Gus Fruh,105991035,105905087.0,547,30.249, -97.797
Guide's Wall,106090212,105991035.0,547,30.25, -97.795
Gus Fruh aka Fern Bar Area,106190816,105991035.0,,30.25, -97.795
Kingdom of Ging,106097124,105991035.0,553,30.251, -97.797
Myth Wall,112283359,105991035.0,553,30.251, -97.797
Rubber Wall,112475203,105991035.0,541,30.251, -97.797
Hill of Life (Bouldering),114234163,105905087.0,594,30.269, -97.824
Backdoor,116198646,114234163.0,603,30.26, -97.824
The Bad Boulder,114234777,114234163.0,579,30.259, -97.824
Block Below The Tronics,114234632,114234163.0,599,30.269, -97.824
The Pocket Pool,116629150,114234163.0,635,30.259, -97.825
Sculpture Falls,114800414,114234163.0,568,30.262, -97.824
Trail-Side Boulders,114234604,114234163.0,591,30.269, -97.825
The Tronics,114234187,114234163.0,598,30.269, -97.824
New Wall,105953859,105905087.0,492,30.255, -97.794
The Geritol Wall,112920289,105953859.0,532,30.255, -97.794
The Great Wall,106265627,105953859.0,479,30.254, -97.794
New Wall Proper,112920295,105953859.0,492,30.255, -97.794
Random Wall,108658462,105953859.0,50,30.255, -97.794
The Terrace,108681524,105953859.0,484,30.255, -97.794
Private Bouldering Spot (Name pending),108786691,105905087.0,564,30.244, -97.801
Seismic Wall A.K.A. Maggie's Wall,105976829,105905087.0,527,30.245, -97.8
Trailside Boulders,114027320,105905087.0,593,30.269, -97.825
Urban Assault,107772150,105905087.0,521,30.247, -97.791
Urban Assault Bouldering,117605083,105905087.0,497,30.248, -97.792
The Bank,117655706,117605083.0,497,30.248, -97.792
The Hot Spot [name pending],117618403,117605083.0,498,30.248, -97.792
Badass Boulder,117655730,117618403.0,498,30.248, -97.792
