name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Buy Me Dinner First,118749349,Boulder,118681736,V3-4,7,1,1.0,1.0,Something to do when all the gyms are closed and you can’t climb something harder. ,{200381280: 1}
Fuck My Ass Behind the Dumpster,118681753,Boulder,118681736,V5-6,12,1,1.0,1.0,"-Red is start hands, black are feet, blue is finish, green are hands. -Can be topped. -Only to be climbed if every gym in the USA is closed and you are super desperate and sad.  -Rated X because you will probably die from a disease since this is only meant to be climbed during a pandemic.",{200501838: 1}
The Boat Police,114179552,Boulder,114178692,V6-7,40,1,3.5,2.0,Pull on sharp pocket up a steep face until you can reach the jugs on the slab. Try to pull over while ignoring the rocks below.   Be carefull on the slab above.,"{108244208: 4, 106718275: 3}"
Knob traverse,114221932,Boulder,114178692,V1-2,20,1,2.0,1.0,Traverse right and down a bit to get sharp incut holds. Go right above the void and mantle up and left.,{106718275: 2}
Left side,114227197,Boulder,114178692,V0+,10,1,3.0,1.0,Grab the left edge of the litlle Tuck and Roll and mantle up onto pretty good rock. Do 2 or 3 face moves and top out in the Mexican buckeye bush. Bad landing!,{106718275: 3}
Cave Dweller,118719066,Boulder,107307125,V0-1,150,1,2.0,1.0,"Start on a cheat stone and pull around the large boulder. Traverse right staying low until the first cave bowl. Go up and over to the next cave at 2 o'clock. Span the gap and stay high to the next cave bowl under Face Off. Down climb and continue to the next cave bowl. Stay low and pull the side edge traversing to the start of Pointless Wonder. Continue traversing low to the small Cedar Elm tree (tree is on for V0, off for V1). Continue traversing another 20 feet to the last cave bowl that has choss and the bottom lip is about 24 inches off the ground. ",{200700789: 2}
Coin Slot,119050265,Sport,107307125,5.6,18,1,2.0,1.0,"Starting where Fist Crack takes off, go right above the cave to first bolt. Matching hands in the small “coin slot” at eye level, traverse right to the bolt. Finish on the trophy hold to the chains.",{200800829: 2}
Face Off,107307141,Sport,107307125,5.9,30,1,2.0,4.0,"This is the only bolted route on the wall, so you use it to set the anchor for the other lines. You'll find the first bolt just over the lip of the cave which will protect the first hard move.    The physical start to get over the cave is the crux.","{106912971: 2, 109376488: 2, 200030300: 2, 200301581: 2}"
Pointless Wonder,113361298,Trad,107307125,5.1,30,1,1.0,5.0,"A few yards right of the other routes here, there is a crack system. The larger crack on the left is, I would say, Class 4 and makes an easy way to get to the top and set topropes for the other routes. The thinner crack on the right is Pointless Wonder. In the guidebook, it is 5.4, but just about everyone who gets on it thinks it is easier.  Going to the effort to set up a TR for Pointless Wonder probably is pointless; it feels much easier than many other 5.4 routes I have climbed.  However, it is a rare Greenbelt route that will take trad gear. Stoppers work pretty well on this one, and thus it is decent for learning to place stoppers while having very little chance of falling.","{109376488: 1, 200087415: 1, 200030300: 1, 200358036: 1, 200301581: 1}"
Unnamed Crack,114938107,Trad,107307125,5.6,30,1,1.5,2.0,"Just to the right of the three main routes at 5.8 Sanctuary is Pointless Wonder, and ""Unnamed 5.6"" is just right of it.  This is not a route for a new trad leader, as it is on sketchy limestone. It's not really a route for anyone except a trad climber desperate to place gear in an area swarming with bolts. The rock is weak, some of the placements are questionable, and the top-out and belay are a mess. But for some reason, I've done this route twice now, lol. And it provides an opportunity to use a coveted Black Totem if you have one!  The finish is brushy and dirty, and then you have to fight through brush to set up a belay off trees. Lots of fun. Fortunately, you can lower your second and then crash through a little more brush to reach a trail that takes you back down.  Although my two ascents in the spring of 2018 are the only two lead ascents of which I know, I'm not claiming an FA on this because someone had probably at least free soloed it already. But if I ever find out I did do the FA, then I might name it ""Really Pointless Wonder.""  My 5.6 rating is an estimate; I can see reasonable people calling it either 5.5 or 5.7.","{200747178: 2, 109376488: 1}"
[Redacted],109074707,Boulder,109074699,V5,0,1,3.0,17.0,"Summary: Climb the obvious cave route that starts on the sloping jug pinch, and follow the moves in a circular motion towards the good sloping crimp on the lip, then move up through the edges to the top.    Details: Starting on the jug pinch, move left to the sidepull, then right to the sloping crimp.  Big move required to reach and pull to the top.    Good: All the holds are solid.    Bad: Big move to the top from the lip.","{108252983: 4, 200451039: 4, 200177608: 4, 200236842: 4, 200183241: 3, 109967745: 3, 108691931: 3, 112152487: 3, 200171019: 3, 112357899: 3, 108031026: 3, 112258775: 3, 109069199: 3, 200681860: 3, 200205244: 2, 200612631: 2, 110625470: 1}"
[Redacted],109075190,Boulder,109074699,V7-8,0,1,3.1,8.0,"Summary: Climb the arete.      Details / beta: Starts from one head high crimp and a higher crimp.  Move into a hard pinch on pockets and bad undercling.  Move up to a right crimp and blunt arete pinch.  From here, there are 2 variations to finish.  The right variation seems just as hard as the left, just completely different. The left finish has an awkward bump from a really good undercling and decent feet. The right finish has a heinous lockoff from a sharp crimp and bad feet.    Good: Both finish variations can accommodate tall or short climbers.    Bad: Both finishes are tough.","{200183241: 4, 108691931: 3, 109967745: 3, 108031026: 3, 200205244: 3, 200171019: 3, 112258775: 3, 200036854: 3}"
