name,id,parent_id,elevation,latitude,longitude
Utah,105708957,,"8,937",40.657, -111.77
Central Utah,119375690,105708957.0,"7,128",39.681, -111.591
Axe Handle Canyon,107102070,119375690.0,"5,000",39.404, -111.683
Clifftop Boulders,119622035,107102070.0,"6,034",39.404, -111.683
The Clubhouse,114778655,107102070.0,"5,910",39.405, -111.686
The Saloon,114778591,107102070.0,"6,014",39.405, -111.682
Clear Creek Canyon,114455670,119375690.0,"6,021",38.58, -112.377
Amber Fort,114455689,114455670.0,"6,435",38.583, -112.431
Bison Rock,114455937,114455670.0,"6,099",38.582, -112.388
Clear Creek Narrows,114455963,114455670.0,"6,029",38.58, -112.378
Ephraim Canyon,119655247,119375690.0,"6,308",39.341, -111.54
The Corral,119655271,119655247.0,"6,472",39.341, -111.532
The Hideout,119655473,119655247.0,"6,474",39.341, -111.531
Fishlake National Forest,107724785,119375690.0,"6,100",38.846, -112.245
Fish Lake,109652077,107724785.0,"8,800",38.545, -111.715
South of the Border Bouldering,109652105,109652077.0,"8,800",38.501, -111.752
Back to the Forest Boulder Field (National Forest that is...),110924025,109652105.0,"8,800",38.499, -111.746
Clean Up Boulder,110924028,110924025.0,"8,800",38.499, -111.746
Lumberjack Boulder,110924055,110924025.0,"8,800",38.499, -111.746
Was It Panda or Pando? Boulder,110935391,110924025.0,"8,800",38.499, -111.746
Dog Spring Boulder Field,110923831,109652105.0,"8,800",38.497, -111.741
Cónstruct Boulder,110923850,110923831.0,"8,800",38.498, -111.742
Easy Boulder,110923884,110923831.0,"8,800",38.497, -111.741
Mytoge Mtn. Road,110721717,109652105.0,"8,800",38.507, -111.766
Backyard Boulder,110921436,110721717.0,"8,800",38.507, -111.766
Bulbous Boulder,110722021,110721717.0,"8,800",38.506, -111.766
Butt Boulder,110923903,110721717.0,"8,800",38.506, -111.767
The Crest Boulder,110721723,110721717.0,"8,800",38.506, -111.766
Meadow Rappel Rock,107724855,107724785.0,"6,100",38.88, -112.307
Meadow Trad Rock,109177437,107724785.0,"6,521",38.88, -112.307
Huntington Canyon,106678148,119375690.0,"7,000",39.374, -111.065
Huntington Canyon Bouldering,116674998,106678148.0,"6,782",39.404, -111.115
Heathens Hideout (The New Boulders),116828434,116674998.0,"7,479",39.472, -111.155
8th Wonder,116843842,116828434.0,"7,498",39.472, -111.155
Deep Recess,116955560,116828434.0,"7,450",39.47, -111.154
The Tower,116828442,116828434.0,"7,478",39.472, -111.155
The Sandbox,116820305,116674998.0,"6,986",39.42, -111.125
Huntington Canyon Ice,106678151,106678148.0,"7,000",39.415, -111.118
Little Bear Canyon,111299385,106678148.0,"6,268",39.372, -111.061
Joe's Valley,105880382,119375690.0,"6,340",39.277, -111.174
Bubblin Boulder,114389391,105880382.0,"8,112",39.304, -111.324
Ice,105896016,105880382.0,,39.264, -111.124
Left Fork,105880391,105880382.0,"6,519",39.275, -111.209
7 Mile Marker,112832810,105880391.0,"6,645",39.281, -111.23
8 Mile Area,106588171,105880391.0,,39.275, -111.209
A River Runs Through It,110021352,105880391.0,"6,926",39.29, -111.256
Big Joe,105880441,105880391.0,,39.279, -111.228
Blackout,111283798,105880391.0,,39.275, -111.209
Catalina Wine Mixer,114102973,105880391.0,"6,401",39.276, -111.185
Crack Boulder,106148380,105880391.0,"6,425",39.274, -111.191
Damn Boulders,109609168,105880391.0,"6,370",39.275, -111.187
Nerf Wall,109609660,109609168.0,,39.275, -111.187
Eden,106538603,105880391.0,"8,111",39.277, -111.225
Claire Emmanulle,107609883,106538603.0,,39.285, -111.207
Eden Boulder,106538618,106538603.0,,39.285, -111.207
Eden II,107079704,106538603.0,,39.285, -111.207
External Tulips,111719081,106538603.0,"6,721",39.275, -111.217
Heat Wall,106594686,106538603.0,,39.277, -111.225
The Gully,106594728,105880391.0,,39.275, -111.209
Halloween Town,108089594,105880391.0,,39.272, -111.194
Masterpiece,114341837,105880391.0,"6,530",39.273, -111.179
Mine Cart Area,107185320,105880391.0,"6,574",39.275, -111.207
Power Line Area,106396742,105880391.0,,39.275, -111.209
Prince of Thieves,111217366,105880391.0,"6,453",39.273, -111.2
Raiden Area,108172495,105880391.0,,39.275, -111.209
Right Sign Area,105880471,105880391.0,"6,590",39.276, -111.224
Riverside Boulders,105880408,105880391.0,"6,599",39.279, -111.228
Road Damage,108783143,105880391.0,"6,466",39.28, -111.178
The Sandbox,106497918,105880391.0,,39.278, -111.227
Sleeper Area,106732877,105880391.0,"6,525",39.275, -111.21
Trent's Mom Boulder,106314245,105880391.0,,39.275, -111.223
Vendetta Area,109361268,105880391.0,"6,525",39.273, -111.204
Mary's Lake ice,118336771,105880382.0,"9,079",39.252, -111.329
New Joe's,105880388,105880382.0,"7,126",39.31, -111.116
88+,106391681,105880388.0,,39.31, -111.116
Anarchy,105880698,105880388.0,"7,051",39.307, -111.114
Area 51,105880398,105880388.0,"7,134",39.306, -111.114
Bone Garden,106722376,105880388.0,,39.308, -111.113
Bridge Boulders,106832662,105880388.0,,39.31, -111.116
Cable Grind Boulder,107061383,105880388.0,,39.31, -111.116
Chip and Dale,105880707,105880388.0,"7,129",39.308, -111.115
The Closet,106028817,105880388.0,"7,121",39.308, -111.115
Joes Squeeze,107067855,105880388.0,,39.31, -111.116
Limbo and Tsunami,106389104,105880388.0,,39.31, -111.116
Nerve Damage,106318962,105880388.0,"7,185",39.309, -111.114
Parking Area,109590394,105880388.0,"7,121",39.311, -111.12
Pitbull,107609839,105880388.0,,39.307, -111.113
"Playtime is Over, Space Chubby, Salsa Verde, The Edge",107933334,105880388.0,"7,500",39.31, -111.116
Road Boulder,110089272,105880388.0,"7,066",39.307, -111.115
Self Service,106016648,105880388.0,,39.31, -111.116
Tang Boulder,107455777,105880388.0,"7,136",39.313, -111.12
The Wash Boulders,114348055,105880388.0,"7,125",39.307, -111.129
Behemoth Boulder,114349802,114348055.0,"7,125",39.308, -111.131
Bypass Boulder,114348143,114348055.0,"7,064",39.305, -111.127
Clean Break Boulder,114348676,114348055.0,"7,125",39.308, -111.13
Clean Sweep Boulder,114348541,114348055.0,"7,125",39.308, -111.13
Dirty Laundry Boulder,114348383,114348055.0,"7,125",39.308, -111.129
Entrance Area,114348106,114348055.0,"7,124",39.305, -111.122
Flash of the Titans Boulder,116085329,114348055.0,"7,383",39.306, -111.13
Hung Out to Dry Boulder,114348329,114348055.0,"7,125",39.307, -111.129
Rick and Morty Boulder,114348890,114348055.0,"7,125",39.308, -111.13
So Fresh So Clean Boulder,114348245,114348055.0,"7,164",39.307, -111.129
Traditional Boulder,114348213,114348055.0,"7,125",39.306, -111.128
Tufa King Cool Roof,114348630,114348055.0,"7,058",39.308, -111.131
Western Washing Machine Boulder,114348430,114348055.0,"7,125",39.308, -111.13
Reservoir Area,119276062,105880382.0,"6,984",39.296, -111.272
Right Fork,105880394,105880382.0,"6,412",39.281, -111.176
ALL Area,109691180,105880394.0,"7,057",39.31, -111.185
Big Spud,118108487,105880394.0,"7,526",39.318, -111.188
Black and Tan,106318282,105880394.0,,39.293, -111.181
Boy Size (Provo Area),106016219,105880394.0,,39.288, -111.176
Brendan,119979421,105880394.0,"8,495",39.373, -111.219
Buoux Area,105904239,105880394.0,"6,412",39.307, -111.184
The Cereal Blox,110101071,105880394.0,"6,496",39.286, -111.179
Counter Clockwork,119984264,105880394.0,"6,916",39.306, -111.184
Dairy Canyon,107649366,105880394.0,"8,560",39.372, -111.222
Dark Canyon,105881571,105880394.0,"7,142",39.312, -111.189
The Flu,111639582,105880394.0,"7,570",39.304, -111.179
Gunshot Area,108409977,105880394.0,"6,541",39.287, -111.179
Hidden Dragon,112281255,105880394.0,"7,549",39.321, -111.188
The Hulk,105880444,105880394.0,,39.281, -111.176
Jitterbug,106796611,105880394.0,,39.281, -111.176
Kung Fu Theatre,113847595,105880394.0,"8,050",39.314, -111.182
Lower Hillside,106560265,105880394.0,,39.281, -111.176
Man Size,105880402,105880394.0,"6,528",39.289, -111.181
Minute Man,108384074,105880394.0,"7,485",39.327, -111.191
No Substance,105880448,105880394.0,,39.312, -111.188
Oil Pump Area,109018767,105880394.0,"7,957",39.345, -111.207
Outer Limits,117826983,105880394.0,"7,989",39.316, -111.184
The Perimeter,106995961,105880394.0,"7,324",39.314, -111.187
Simple Twist of Fate Boulder,119835450,105880394.0,"6,628",39.293, -111.18
The Small One,106016239,105880394.0,,39.303, -111.183
Smile Boulder,114202058,105880394.0,"7,577",39.323, -111.191
Thighmaster,107516993,105880394.0,,39.282, -111.175
UMWA Boulder,106016408,105880394.0,,39.303, -111.183
Warm-Up Area,106402442,105880394.0,"6,772",39.299, -111.182
Wave Boulder,110335824,105880394.0,"7,667",39.332, -111.196
Log Canyon,108318757,119375690.0,"6,884",39.657, -111.697
Schoolhouse Rock,108318767,108318757.0,"7,166",39.649, -111.702
Maple Canyon,105739298,119375690.0,"6,825",39.556, -111.687
Left Fork,106479929,105739298.0,"6,890",39.556, -111.687
Billy the Kid Wall,106843408,106479929.0,"6,930",39.555, -111.688
Engagement Alcove,105739539,106479929.0,"6,959",39.555, -111.688
Orangutan Wall,105841685,106479929.0,"6,966",39.555, -111.688
Pictograph Wall,106882624,106479929.0,,39.556, -111.687
The Pipeline,105819908,106479929.0,"6,924",39.556, -111.687
Shapeshifter Wall,109096071,106479929.0,,39.556, -111.687
Maple Canyon Ice,106479953,105739298.0,"6,825",39.556, -111.687
The Box Canyon Ice Climbs,106080663,106479953.0,,39.556, -111.687
The Left Hand Fork Ice Climbs,106081486,106479953.0,,39.556, -111.687
Main Canyon Road Ice,105882716,106479953.0,,39.556, -111.687
The Middle Fork Ice Climbs,106081582,106479953.0,,39.556, -111.687
The Right Hand Fork Ice Climbs,106081503,106479953.0,,39.556, -111.687
Maple Canyon Road,106479926,105739298.0,"6,708",39.555, -111.683
Anti-Gravity Rock,106058648,106479926.0,"6,509",39.555, -111.672
Black Magic Rock,108384445,106479926.0,"7,000",39.557, -111.687
Box Canyon,106031965,106479926.0,"6,594",39.555, -111.675
2nd Arch Wall,111326487,106031965.0,"6,710",39.556, -111.676
Ammo Dump Wall,105836395,106031965.0,"6,687",39.556, -111.675
The Arch,105836415,106031965.0,,39.555, -111.675
Cobble Roof,105836389,106031965.0,,39.555, -111.675
EFS Wall,105836351,106031965.0,,39.555, -111.675
The Entrance Wall,106441836,106031965.0,,39.555, -111.675
The Gravity Well,105836443,106031965.0,,39.555, -111.675
The Hole,110946545,106031965.0,"6,760",39.557, -111.676
The Impact Zone Wall,106211744,106031965.0,,39.555, -111.675
Jehovah Wall,105836428,106031965.0,,39.555, -111.675
Turbulence Wall,108273773,106031965.0,,39.555, -111.675
The Zone,108350468,106031965.0,,39.555, -111.675
Bridge Area,106025632,106479926.0,"6,746",39.555, -111.683
Bumper Wall,112882552,106479926.0,"6,554",39.555, -111.671
Campground Routes,106277181,106479926.0,"6,799",39.556, -111.686
The Chocolate Slot,108252284,106479926.0,,39.555, -111.683
The Compound,107694000,106479926.0,,39.555, -111.683
Dizzy Rock,107581799,106479926.0,"6,940",39.556, -111.688
The Early Bird Crag,107693825,106479926.0,"6,755",39.556, -111.682
Eco-Terrorist Wall,108299465,106479926.0,"6,546",39.556, -111.672
Fast Food Joint,112781208,106479926.0,"6,642",39.555, -111.677
Free Wall,119125537,106479926.0,"6,910",39.558, -111.687
The Frontera,106011916,106479926.0,"6,622",39.555, -111.68
Heart Rock Area,107669516,106479926.0,"6,542",39.556, -111.671
Changing the Stripes Buttress,107932889,107669516.0,"6,574",39.556, -111.671
Heart Rock,107669527,107669516.0,"6,593",39.556, -111.671
Hourglass Canyon,112072274,106479926.0,"6,596",39.556, -111.673
King Kong,107758918,106479926.0,300,39.555, -111.683
Low Standard Cave,106552883,106479926.0,,39.558, -111.688
Maple Corridor,105739748,106479926.0,"6,740",39.556, -111.683
Pied Piper Wall,112804401,105739748.0,"6,750",39.555, -111.683
West Wall,112804396,105739748.0,"6,741",39.556, -111.683
Outside the Box,119686529,106479926.0,"6,513",39.555, -111.675
The Platform,106757625,106479926.0,,39.555, -111.683
Purgatory Gap,112801711,106479926.0,"6,600",39.556, -111.674
Road Kill Wall,105739557,106479926.0,"6,899",39.557, -111.686
Rock Island,106277200,106479926.0,"7,000",39.56, -111.688
Schoolroom Area,105739554,106479926.0,"6,868",39.557, -111.686
The Sushi Bar,112822063,106479926.0,"6,681",39.555, -111.68
Thessalonian Buttress,105836170,106479926.0,"6,902",39.555, -111.686
The Trash Compactor,106763953,106479926.0,,39.56, -111.688
Willy Wall,109464930,106479926.0,"7,019",39.56, -111.687
Windshield Wiper Wall,107603645,106479926.0,"6,594",39.555, -111.674
Middle Fork,106479933,105739298.0,"6,867",39.557, -111.688
"Armory, The",105838582,106479933.0,"7,645",39.562, -111.701
Black Sky Alcove,119545779,106479933.0,"7,127",39.558, -111.692
Cinema Wall,118738006,106479933.0,"7,252",39.557, -111.695
Grease & Grime Wall,107763156,106479933.0,,39.557, -111.688
The Great Chasm,105914350,106479933.0,"7,084",39.557, -111.69
The Hot Zone,107689477,106479933.0,,39.557, -111.688
Lou's Tavern,107762842,106479933.0,"7,048",39.558, -111.689
The Matrix,105836291,106479933.0,"7,082",39.557, -111.692
Melon Wall,109324338,106479933.0,,39.558, -111.69
Short Chossy wall above the Matrix,114952156,106479933.0,"7,144",39.558, -111.692
Utah Climbing Club Wall,114948986,106479933.0,"7,123",39.558, -111.692
Right Fork,106479936,105739298.0,"7,074",39.561, -111.688
The Alcove,114352553,106479936.0,"7,266",39.563, -111.69
Birthday Corridor,107772482,106479936.0,"7,843",39.566, -111.696
The Cove,114345827,106479936.0,"7,347",39.563, -111.689
Cragganmore,106820005,106479936.0,"7,499",39.565, -111.691
Cragganzenden,112937486,106479936.0,"7,298",39.564, -111.691
The Damascus Gate,106869132,106479936.0,,39.564, -111.694
Eye of the World,108321156,106479936.0,"7,117",39.562, -111.688
Haji Rock,106187197,106479936.0,"7,790",39.566, -111.696
Maple Haven,114355724,106479936.0,"7,206",39.563, -111.69
The Maximum,114382633,106479936.0,"7,229",39.563, -111.69
The Lair,114382651,114382633.0,"7,251",39.563, -111.69
Maximum Main Wall,114382738,114382633.0,"7,248",39.563, -111.69
Mini Max,114391987,106479936.0,"7,209",39.563, -111.69
The Minimum Crag,105739674,106479936.0,"7,222",39.562, -111.691
Neversweat Wall,110554644,106479936.0,"7,318",39.563, -111.692
North Damascus Gate,107816014,106479936.0,,39.561, -111.688
Oxygen Wall,105865575,106479936.0,"7,163",39.562, -111.689
The Pipe Dream,105739677,106479936.0,"7,751",39.566, -111.696
Red Dog Wall,114339381,106479936.0,"7,510",39.564, -111.694
Shady Lane,105739680,106479936.0,"7,235",39.561, -111.689
Simpson Rock,106755660,106479936.0,,39.561, -111.688
Tin Cup,119104477,106479936.0,"7,076",39.561, -111.688
Walls of Liberation,107679961,106479936.0,,39.562, -111.688
Zen Garden,105857278,106479936.0,"7,252",39.563, -111.691
Maple Grove,111452055,119375690.0,"7,114",39.02, -112.096
Monroe Canyon,114430408,119375690.0,"6,147",38.599, -112.085
The Narrows,115341590,114430408.0,"6,144",38.599, -112.085
Monroe Canyon: North Side,115327729,115341590.0,"6,147",38.599, -112.085
Monroe Canyon: South Side,119688102,115341590.0,"6,120",38.599, -112.085
Nephi,118902626,119375690.0,"5,059",39.714, -111.86
West Nephi Boulders,118902631,118902626.0,"5,432",39.654, -112.071
Graffiti Boulders,118817706,118902631.0,"5,303",39.642, -112.085
The Notch,107064076,118902631.0,"5,502",39.654, -112.069
Nuwuvi Ledge,114436974,119375690.0,"6,515",38.855, -111.864
Goshute Wall,114445760,114436974.0,"6,448",38.859, -111.861
Navajo Wall,114445688,114436974.0,"6,362",38.853, -111.864
Paiute Wall,114445708,114436974.0,"6,504",38.854, -111.864
Shoshone Wall,114436986,114436974.0,"6,446",38.86, -111.86
Ute Wall,114445722,114436974.0,"6,463",38.857, -111.863
Lizzie Lizard Rock,114445898,114445722.0,"6,391",38.858, -111.863
Price Canyon,107765563,119375690.0,"7,500",39.782, -110.925
Air Chair Boulder,113186557,107765563.0,"7,381",39.772, -110.922
Amplitude Boulder,113186473,107765563.0,"7,346",39.772, -110.922
Baby's Got Biceps Boulder,107765606,107765563.0,,39.781, -110.925
Balanced Rock,112122040,107765563.0,"7,316",39.776, -110.93
Duck Tales Boulder,113186282,107765563.0,"7,401",39.772, -110.923
Happy Boulder,113140572,107765563.0,"7,345",39.772, -110.922
Infestation Boulder,107869627,107765563.0,,39.782, -110.925
Mayan Boulders,119138552,107765563.0,"6,868",39.781, -110.925
Don't Squeeze the Sharma Boulder,119138567,119138552.0,"6,913",39.781, -110.926
Prefontaine Boulder,108183069,107765563.0,,39.782, -110.925
Rastafarian/Christ is Born Area,118932179,107765563.0,"7,084",39.779, -110.927
Showcase Showdown Boulder,117093643,107765563.0,"6,909",39.78, -110.925
Superfluous Boulder,113140726,107765563.0,"7,352",39.772, -110.922
Turtlehead Boulder,107869783,107765563.0,,39.78, -110.926
The Wave Boulder,107869748,107765563.0,,39.78, -110.926
Weigh Station Area,114014071,107765563.0,"6,056",39.721, -110.865
Wet Pads,118801625,107765563.0,"6,696",39.785, -110.926
Yayo Boulder,113186511,107765563.0,"7,366",39.772, -110.922
Redmond Rocks,114378847,119375690.0,"5,417",39.021, -111.785
