name,id,parent_id,elevation,latitude,longitude
Vermont,105891603,,866,44.247, -72.578
VT Ice and Mixed,107280521,105891603.0,"1,055",44.226, -72.587
Bear Notch,118283284,107280521.0,"1,399",44.728, -72.785
Bolton Quarry,118203159,107280521.0,489,44.375, -72.869
Lower Quarry,118211791,118203159.0,489,44.375, -72.869
Main Quarry,118232935,118203159.0,542,44.375, -72.868
Schoolyard,118232938,118203159.0,562,44.375, -72.868
Bone Mountain,116545399,107280521.0,"2,320",44.39, -72.849
Big Splint Area,118548858,116545399.0,"2,242",44.392, -72.845
Solstice Slab,116545412,116545399.0,"2,273",44.39, -72.849
Butcher's Ice Slab,116598306,107280521.0,559,44.645, -72.727
Lake Willoughby,105891650,107280521.0,"1,169",44.742, -72.048
Mount Hor,108672007,105891650.0,"1,655",44.725, -72.047
Mount Pisgah,108667300,105891650.0,"1,537",44.745, -72.046
Smugglers Notch Ice climbing,106637939,107280521.0,"2,166",44.555, -72.796
01E - The Workout Wall,109808837,106637939.0,"2,060",44.562, -72.783
02W - Jeff Slide Area (aka The Classroom),109597855,106637939.0,"2,093",44.559, -72.792
03W - ENT Gully Area,109597843,106637939.0,"2,087",44.558, -72.793
04W - Quartz Crack Face Area,109605136,106637939.0,"2,335",44.558, -72.795
05W - Easy Gully Area,109597825,106637939.0,"2,656",44.557, -72.798
06E - The Playground Area,109597607,106637939.0,"2,191",44.555, -72.795
08E - Elephant's Head Area,109597616,106637939.0,"2,545",44.553, -72.794
10W - The Blind Fate Area,109597807,106637939.0,"2,605",44.555, -72.8
11W - Terror-Tory Area,113721425,106637939.0,"2,111",44.552, -72.798
13E - The South Wall Area,109597646,106637939.0,"2,096",44.549, -72.791
14E - The Upper South Wall,109597756,106637939.0,"2,517",44.55, -72.789
15W - Driving Force Area,109597772,106637939.0,"1,627",44.539, -72.791
16E - Spruce Peak Crags,109920759,106637939.0,"2,166",44.555, -72.796
Guides Wall,109920769,109920759.0,"1,757",44.535, -72.785
Middle Spruce,109920778,109920759.0,,44.555, -72.796
Upper Spruce,109920788,109920759.0,,44.555, -72.796
Williamstown/Brookfield Ice,108009569,107280521.0,797,44.067, -72.567
Northern Vermont,119666432,105891603.0,"1,395",44.231, -71.817
114 Boulders,119348681,119666432.0,"1,438",44.932, -71.863
The Capybara Boulder,119350027,119348681.0,"1,440",44.932, -71.863
Bald Hill,112151367,119666432.0,"2,351",44.762, -71.985
Black Mountain,112920189,119666432.0,"2,307",44.922, -71.743
Black Mountain North,112939370,112920189.0,"2,398",44.931, -71.755
Main Cliff,112939364,112920189.0,"2,445",44.922, -71.742
Bolton Area,106083744,119666432.0,505,44.378, -72.887
82 Crag,106734682,106083744.0,"1,284",44.378, -72.86
82 Main Wall,110535791,106734682.0,"1,099",44.377, -72.861
82 Steep Wall,110535801,106734682.0,"1,155",44.378, -72.86
Chapel Crag,107896818,106734682.0,"1,414",44.379, -72.859
October Wall,111195363,106734682.0,"1,185",44.379, -72.861
The Yawn Wall,111836318,106734682.0,"1,205",44.379, -72.862
Bamforth Ridge,115870555,106083744.0,505,44.378, -72.887
Bamforth Slabs,115870646,115870555.0,505,44.378, -72.887
LT,115870635,115870555.0,505,44.378, -72.887
Pink ribbon boulder,115870638,115870635.0,505,44.378, -72.887
Parking,115870588,115870555.0,505,44.378, -72.887
Brownie Boulder,115870596,115870588.0,505,44.378, -72.887
Bog Wall,115190417,106083744.0,337,44.36, -72.844
Bolton Bouldering,116552184,106083744.0,505,44.378, -72.887
Beneath the Bog Boulders,117755935,116552184.0,437,44.366, -72.866
Arachnophobia Boulder,117786211,117755935.0,432,44.366, -72.866
Committal Boulder,117755943,117755935.0,439,44.366, -72.866
The Bolton Dome,116721864,116552184.0,494,44.371, -72.858
Grandma's House,116721868,116721864.0,490,44.371, -72.858
Interstate Boulder,116721876,116721864.0,503,44.371, -72.858
The Shenanigans Boulder,119163931,116721864.0,537,44.371, -72.859
Something Chossy Boulder,116721896,116721864.0,440,44.37, -72.858
Bolton Notch Rd Boulders,111467357,116552184.0,"1,128",44.398, -72.905
Alien Boulder,118857386,111467357.0,"1,255",44.428, -72.897
Bike Ride Boulder,119542509,111467357.0,"1,119",44.405, -72.902
Good Side Boulder,119692032,111467357.0,710,44.387, -72.912
Halloween Boulder area,111808948,111467357.0,"1,186",44.415, -72.899
Halloween Boulder,111808961,111808948.0,"1,231",44.415, -72.898
Kook Boulder,111467369,111467357.0,"1,145",44.4, -72.904
Roof of Rumors boulder,111467377,111467357.0,"1,157",44.398, -72.904
Ship's Prow,112912709,111467357.0,"1,117",44.405, -72.903
Tunnel Boulder Area,116660614,111467357.0,400,44.382, -72.916
Cliffband Boulder,116660755,116660614.0,402,44.382, -72.916
Tunnel Boulder,116660624,116660614.0,400,44.382, -72.916
Honey Hollow Bouldering,107814577,116552184.0,,44.378, -72.887
Cave Area,107814583,107814577.0,,44.378, -72.887
Cave Boulder,118744827,107814583.0,505,44.378, -72.887
Honey Hollow River Boulder,115176805,107814577.0,539,44.368, -72.908
Roadside Boulders,107814591,107814577.0,,44.378, -72.887
Split Boulder,107814595,107814577.0,,44.378, -72.887
Upstream Boulder,119482162,107814577.0,681,44.363, -72.911
Upper West Bouldering,109484576,116552184.0,"1,335",44.42, -72.902
Boulders Central,114959691,109484576.0,"1,262",44.42, -72.901
[Redacted],114959695,114959691.0,"1,237",44.42, -72.901
Kinked Birch Birth Boulder,114959710,114959691.0,"1,241",44.42, -72.901
Boulders North,114959753,109484576.0,"1,223",44.421, -72.9
Northern Block,114959788,114959753.0,"1,233",44.422, -72.9
Shark Boulder,114959760,114959753.0,"1,229",44.422, -72.9
Umbilicaria Mammulata Boulder,114959794,114959753.0,"1,236",44.422, -72.9
Boulders South,116697562,109484576.0,"1,260",44.419, -72.902
Bad Beta Boulder,119490202,116697562.0,"1,260",44.419, -72.902
Hilltop Boulder,116697658,116697562.0,"1,260",44.419, -72.901
Stegosaurus,116697650,116697562.0,"1,258",44.419, -72.901
Winooski River,119378614,116552184.0,318,44.37, -72.879
Wolf Run Boulders,107593407,116552184.0,"1,000",44.431, -72.918
Middle Pond(Moose Pond) Outcrops,107594469,107593407.0,,44.428, -72.917
Brokeback Boulder,107604240,107594469.0,,44.378, -72.887
Departed Boulder,107597133,107594469.0,,44.378, -72.887
Exclamation Point,107615834,107594469.0,,44.428, -72.917
Man Boulder,107604170,107594469.0,,44.378, -72.887
Saddle Boulders,107607750,107593407.0,,44.431, -72.919
I. Boulder,107625051,107607750.0,,44.378, -72.887
Crappy Overhang,107607798,107607750.0,,44.378, -72.887
Toasted Flakes Boulder,107612114,107607750.0,14,44.378, -72.887
South Pond Outcrops,107594079,107593407.0,,44.378, -72.887
Crack Boulder,107639380,107594079.0,,44.378, -72.887
Left End Outcrop,107594813,107594079.0,,44.378, -72.887
Bolton Dome,114059727,106083744.0,520,44.371, -72.858
West Side,116516446,114059727.0,538,44.371, -72.859
Bat Wall,114774920,114059727.0,525,44.371, -72.859
Railroad Yard,114774903,114059727.0,515,44.371, -72.858
Railroad Ledge,116517703,114059727.0,534,44.371, -72.858
Main Wall,114059758,114059727.0,536,44.371, -72.858
Project Boulder,114059780,114059727.0,516,44.371, -72.858
The Pirate's Cove,117011153,114059727.0,506,44.371, -72.858
Neighborhood Ledge,114774915,114059727.0,547,44.371, -72.858
Immunity Wall,116520388,114059727.0,507,44.371, -72.858
Dometop,116517699,114059727.0,522,44.371, -72.858
Bolton Quarry,106731452,106083744.0,490,44.375, -72.869
Cat's Ass Wall,110531084,106731452.0,,44.375, -72.869
Dwarf Wall,110531077,106731452.0,,44.375, -72.869
Schoolhouse/Main Quarry,110531081,106731452.0,,44.375, -72.869
Bone Mountain,107301944,106083744.0,"2,240",44.39, -72.85
The Main Cliff,107302801,107301944.0,"2,241",44.39, -72.85
Left End,109675775,107302801.0,"2,248",44.39, -72.85
Middle Cliff Routes,109675923,107302801.0,"2,248",44.39, -72.85
Radius Wall,111868269,107302801.0,"2,282",44.39, -72.849
Solstice Slab,109675906,107302801.0,"2,248",44.39, -72.85
Marrow Wall,109675793,107302801.0,"2,248",44.39, -72.85
Moose Bones Area,109675916,107302801.0,"2,248",44.39, -72.85
Tradisfaction Wall,109675930,107302801.0,"2,303",44.39, -72.847
Satellite Wall,107301960,107301944.0,,44.39, -72.85
Upper Bone,111907010,107301944.0,"2,847",44.402, -72.845
Granite Wall,111907020,111907010.0,"2,667",44.397, -72.849
Carcass Crag,106826351,106083744.0,,44.378, -72.887
Lower West Bolton,106083757,106083744.0,708,44.385, -72.91
Revolution Wall,119667484,106083744.0,"1,651",44.385, -72.853
Upper Upper West,107582317,106083744.0,"1,228",44.43, -72.898
Guide's Wall,110802568,107582317.0,"1,320",44.432, -72.898
Main Face,107582365,107582317.0,,44.43, -72.898
Pond Wall,113534615,107582317.0,"1,339",44.431, -72.898
Upper Upper West Boulders,108326302,107582317.0,"1,212",44.43, -72.898
First Set,108326323,108326302.0,"1,250",44.43, -72.898
Diamond Boulder,108326341,108326323.0,"1,247",44.43, -72.898
Triple E boulder,108390184,108326323.0,"1,211",44.43, -72.898
Second Set,108326719,108326302.0,"1,262",44.429, -72.898
P.D. Boulder,108326758,108326719.0,"1,262",44.429, -72.898
Peregrine Prow,108334261,108326719.0,"1,274",44.43, -72.898
Shoe Boulder,108375034,108326719.0,"1,212",44.43, -72.898
UUWB Shoulder,117841347,107582317.0,"1,460",44.428, -72.9
Wild West Wall,107582322,107582317.0,,44.43, -72.898
Upper West,106146999,106083744.0,"1,410",44.42, -72.902
A - Booty Wall Area,109484736,106146999.0,"1,313",44.42, -72.902
B - Upper Tier - Left End,109484755,106146999.0,"1,437",44.42, -72.902
C - Upper Tier - Right End,109484759,106146999.0,"1,539",44.428, -72.9
D - Hidden Ledge,110511507,106146999.0,"1,482",44.421, -72.902
E - Lower Tier,109484765,106146999.0,"1,384",44.42, -72.902
F - North End,109484772,106146999.0,"1,393",44.421, -72.902
G - Alias Wall,109484859,106146999.0,"1,361",44.421, -72.901
Butchers Crag,114502742,119666432.0,528,44.645, -72.728
Butcher's west,115156349,114502742.0,560,44.648, -72.731
Butchers Crag East,114502751,114502742.0,528,44.645, -72.728
Butchers Island,114583132,119666432.0,564,44.649, -72.73
Ethan Allen Park,106567224,119666432.0,193,44.504, -73.24
Ethan Allen Wall,117273367,106567224.0,247,44.507, -73.24
Hillside Boulders,107074603,106567224.0,184,44.507, -73.241
First Boulder,111632684,107074603.0,191,44.506, -73.241
Fourth Boulder/Roadside Boulder,111632895,107074603.0,181,44.507, -73.241
Second Boulder,111632812,107074603.0,188,44.506, -73.241
Third Boulder,111632892,107074603.0,186,44.507, -73.241
Turret Boulders,111636043,106567224.0,8,44.507, -73.24
Fire Tower Crag (Elmore Mtn),119091141,119666432.0,"2,564",44.526, -72.546
Groton,108385255,119666432.0,"1,538",44.301, -72.312
The Gem,108385277,108385255.0,"1,549",44.294, -72.308
Kettle Pond Boulders,113808840,108385255.0,"1,561",44.297, -72.307
Mobius boulder,110512345,108385255.0,"1,486",44.295, -72.304
Prize Boulder,114253155,108385255.0,"1,479",44.294, -72.303
Roadside Boulder,112275730,108385255.0,"1,523",44.296, -72.304
Silver Ledge Summit,119916320,108385255.0,"1,863",44.267, -72.287
Spice Mountain Boulders,118852138,108385255.0,"1,692",44.3, -72.304
Lone Rock Point,110645111,119666432.0,97,44.488, -73.249
Lone Rock Bouldering,113451698,110645111.0,97,44.488, -73.249
Main Cliff,113784766,110645111.0,99,44.488, -73.249
Marshfield Ledge,105892376,119666432.0,"1,727",44.328, -72.313
Mount Hor,106915015,119666432.0,"2,657",44.247, -72.578
Moose Mountain Boulders,117900370,106915015.0,"2,047",44.727, -72.067
Red Light District,106915027,106915015.0,,44.247, -72.578
Mt Mansfield,112107514,119666432.0,"4,378",44.544, -72.815
Cantilever Rock,112107630,112107514.0,"3,022",44.542, -72.831
Nebraska Notch,117896644,119666432.0,"1,935",44.485, -72.828
Pisgah Crag,107814557,119666432.0,"1,411",44.735, -72.043
Prospect Rock,111000156,119666432.0,904,44.655, -72.723
Main Cliff,111000200,111000156.0,,44.655, -72.723
Charge the Farm,111000243,111000200.0,,44.655, -72.723
Far Right,117979903,111000200.0,911,44.654, -72.723
Middle Cliff,117925235,111000200.0,902,44.655, -72.723
No Eyed Deer Area,111000207,111000200.0,907,44.655, -72.723
Pick Ax'r Shovel,117980030,111000156.0,938,44.655, -72.724
Prospector’s Nugget,118713467,111000156.0,846,44.655, -72.724
Taboo Crack,111000174,111000156.0,,44.655, -72.723
Smugglers' Notch,105891622,119666432.0,"2,185",44.556, -72.794
Easy Gully Buttress,108284750,105891622.0,"2,735",44.557, -72.798
Elephant's Head Buttress,112129067,105891622.0,"2,506",44.553, -72.794
ENT Gully,117727404,105891622.0,"2,126",44.558, -72.793
The Hunter and His Dog,117712926,105891622.0,"2,195",44.555, -72.795
Lower Ragnarock,114375637,105891622.0,"2,500",44.553, -72.794
Quartz Crack Face,112064620,105891622.0,"2,361",44.558, -72.795
Smuggler's Notch Bouldering,112901873,105891622.0,"2,111",44.557, -72.794
Boulders Behind the Main Parking Lot/Visitor Center,106558952,112901873.0,"2,115",44.557, -72.794
Bat Cave Boulder,109500619,106558952.0,"2,142",44.557, -72.795
Bejesus Boulder,109500797,106558952.0,"2,171",44.557, -72.794
Biscuit and Gravy Boulders,109500587,106558952.0,"2,139",44.557, -72.795
The Bone Doctor,109500743,106558952.0,"2,109",44.557, -72.794
The Brewski Boulder,109500231,106558952.0,"2,134",44.557, -72.795
Chickenhead Boulder,110815875,106558952.0,,44.557, -72.794
Clam Cave,108263419,106558952.0,"2,139",44.557, -72.794
Duck Soup Boulder,106837401,106558952.0,"2,120",44.557, -72.794
Easy Gully Boulder,114359894,106558952.0,"2,597",44.557, -72.797
The Farm,117871312,106558952.0,"2,158",44.557, -72.795
Fishman Boulder,109500809,106558952.0,"2,107",44.557, -72.794
Grandma and Grandpa's House,114452771,106558952.0,"2,115",44.557, -72.794
Green Cave,109500783,106558952.0,"2,149",44.557, -72.795
The Guiness Traverse Boulder,109500570,106558952.0,"2,130",44.557, -72.795
Iron boulder,119565658,106558952.0,"2,140",44.557, -72.794
Leg Day Boulder,115321195,106558952.0,"2,378",44.557, -72.796
Monkey Butt Boulder,109500647,106558952.0,"2,106",44.557, -72.794
The New World,111043605,106558952.0,,44.557, -72.794
O' Reilly's Boulder,108286624,106558952.0,"2,116",44.557, -72.794
Outhouse Boulder,109504742,106558952.0,,44.557, -72.794
A.L.E,108361358,106558952.0,"2,417",44.565, -72.768
Pac Man Boulder,109500638,106558952.0,"2,110",44.557, -72.794
Patton Boulder,109500792,106558952.0,"2,131",44.557, -72.794
RI Boulder,109500820,106558952.0,"2,157",44.557, -72.795
The Skirt Roof Boulder,112178379,106558952.0,"2,112",44.557, -72.794
Slugs & Ditches Boulder,117953754,106558952.0,"2,116",44.557, -72.794
Steve Miller Boulder,117856510,106558952.0,"2,125",44.557, -72.794
Tomes Boulder,109500841,106558952.0,"2,107",44.557, -72.794
The Top Rope Boulders aka The Cave Boulders,109500459,106558952.0,"2,134",44.557, -72.795
The Turtle Traverse Boulder,109500754,106558952.0,"2,112",44.557, -72.794
Twilight Boulder,113513626,106558952.0,"2,146",44.557, -72.794
ENT Boulders,108369450,112901873.0,"2,103",44.558, -72.793
