name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Flabbergasted,119351098,Boulder,119350027,V2,4,1,3.0,1.0,This is a nice easy V2 to climb before the other lines on this face,{200834076: 3}
Goldfish Tippy-Toes,119352231,Boulder,119350027,V9,6,1,3.0,1.0,This is the sit to Goldfish Toes.,{200834076: 3}
Goldfish Toes,119352218,Boulder,119350027,V6,5,1,2.0,1.0,The climb goes left off the start and uses the inverted arete at the rail out left.,{200834076: 2}
Bee Line,112151531,Trad,112151367,5.6,250,2,0.0,,"P1: Climb up the short, steep vertical wall out of the bushes.  Clip a hidden bolt on the ledge just out of sight from the ground. Climb up the slab to the right of the trees until you reach a good belay ledge on the left. Belay on gear, a tree may be possible.    P2: Climb up and left from the belay ledge placing gear and clipping a bolt.  Climb straight up towards the right end of an overlap.  Climb through the overlap and straight up to the anchor.    Rappel using 2 ropes from the top to the anchor on October Sky, then to the ground.",
Fire and Ice,112151465,Sport,112151367,5.10a,90,1,2.3,3.0,Climb up the left of a large flake and then up the slab to an overlap.  Climb through the overlap to more slab above towards the anchor,"{200964825: 3, 111268597: 2, 108321790: 2}"
I Dike It,112151383,Sport,112151367,5.7,80,1,1.5,2.0,Climb straight up the obvious dike until reaching the more gradual slab leading you towards the anchor.,"{107336862: 2, 111268597: 1}"
Iron Lotus,112151372,Sport,112151367,5.9,80,1,2.0,1.0,Follow the left-most line of bolts on the cliff.  A start with some tricky slab moves just after clipping the first bolt leads to slightly easier moves up to the anchor.,{111268597: 2}
October Sky,112151443,Sport,112151367,5.8,90,1,3.0,4.0,Climb up the tricky slab to a high first bolt.  Follow the dike shaped like an S up the steep slab until it mellows out and then straight up to the anchor,"{111268597: 3, 108321790: 3, 107336862: 3, 200964825: 3}"
R.E.D.,112151515,Sport,112151367,5.9,90,1,1.0,1.0,Climb up the slab to the right of the large flake until you are just below the trees.  Now trend left on tricky slab moves up past the trees towards the anchor.,{111268597: 1}
Too Cold to get Naked,112151412,Sport,112151367,5.10a,90,1,3.0,3.0,"Tricky 5.10 slab that doesn't let up much until getting close to the top. Climb up the slab passing 3 bolts, move through the flake and then more slab leading to the anchors.","{200827982: 4, 111789342: 3, 111268597: 2}"
Button Buck,112940643,Trad,112939370,5.6,25,1,2.0,1.0,"A quality, moderate finger crack. We just wish it went higher. The crux is off the ground and then cruiser to the anchor.",{109486096: 2}
The Cleft,113455866,Trad,112939370,5.5,0,1,1.0,1.0,"Climb up into the back of the obvious, dark chimney, climbing surprisingly clean and featured rock with good protection, to a tree covered ledge, two thirds of the way up the cliff.",{200070164: 1}
Little Averill,113150080,Trad,112939370,5.8,40,1,2.0,1.0,"Climb the central weakness up the middle of the face past a stump and a series of vertical and horizontal cracks to a communal anchor.    Var 1: The arête left of the main face.  A short crux midway leads to large horizontals near the top. (5.9)    Var 2: The steeper right hand arête with a low crux.  Be mindful with protection. (5.8)   Note: After extensive cleaning of the cracks, Dustin noticed sawed off branches low on a spruce tree above the wall, indicating the route(s) may have been previously top roped.",{109486096: 2}
The Absence of Light,119741116,Trad,112939364,5.10b,70,1,3.0,1.0,"Make your way up to the ledge and belay from the base of the corner. After the chockstone, continue up the obvious splitter tight hands crack past a widening pod (crux) to a ring-bolt anchor",{108663781: 3}
Balancing Act,119432852,Sport,112939364,5.10b,60,1,2.3,4.0,The obvious blank arete between Black Mamba and Double D Right.,"{108179333: 3, 107429330: 2, 107560545: 2, 200350797: 2}"
Beer-Bellied Black Mountain Bushwhackers,117521338,Trad,112939364,5.6,50,1,0.0,1.0,"Scrambled up this dirty offwidth the other day to see if it was worth climbing. It is definitely NOT worth climbing.. Mostly posting this route so others won't make the same mistake I did.   5.5 stemming on bad rock with one short offwidth crux sequence right at the top. Since protecting the climb requires a few pieces of large gear, I can't really say this line is worth lugging metal out to the cliff. Having said that, if you're looking to practice your stemming, big gear placement, adventure climbing, and offwidth technique, this may be the route for you.. Just be careful not to knock choss onto your belayer.  Start by scrambling up the chossy corner (potential death blocks en route) to the large tree. Sling the tree for pro, then move into the offwidth. At the top of the wide crack, move right and finish up the last bolt(s) of Dirty Dreams, then lower off the Dirty Dreams anchor.",{200406385: 0}
Bikes-N-Ditches,112920266,Trad,112939364,5.10b,65,1,3.3,7.0,The first route after the cave. Climb past a bolt and up the sometimes thin crack to the anchor.,"{107377680: 4, 200335317: 4, 109486096: 3, 106524284: 3, 108321790: 3, 107560545: 3, 200350797: 3}"
Black Beans,117111990,Trad,112939364,5.6,55,1,2.1,7.0,"Start at the toe of the buttress, just right of the arete of Frijoles Negros.Wander across the featured face to the top. Sometimes tricky. Two bolt SS fixe ring anchor at top.Route will be dirty until it sees traffic, which will be rare.","{200406385: 3, 111100031: 3, 108663781: 2, 200051409: 2, 108179333: 2, 200375020: 2, 109874211: 1}"
Black Bear,116955192,Trad,112939364,5.7,55,1,1.7,3.0,"A moderate route with great exposure, fun movement, and a spicy finish.  Climb the right facing corner through a small overlap to a stance. Place gear, then climb through a second overlap using footholds on the face. Surmount the roof and continue up the slab on easy terrain finding protection in the cracks. Move slightly left towards a large pine tree at the top of the cliff and step up onto a ledge with a small right facing corner. Make a final spicy move (5.6, slightly runout), then paw your way up moss and roots to the pine tree.   We would describe the protection as PG due to the possibility of poor quality rock on the route. Black Bear is brand new and we removed several large deathblocks while cleaning it. As with any route at Black Mountain, be very aware of rock quality as you climb. ","{108148696: 2, 200406385: 2, 200063738: 1}"
Black Clouds,119554597,Sport,112939364,5.7+,65,1,3.0,2.0,"Really not much to look at, but the climbing is pretty nice. Starting at the toe of the buttress, follow the shallow L-facing groove. When it ends step left and follow the blunt arete and small corner to the anchors.","{107429330: 3, 200375020: 3}"
Black Dreams,113455716,Trad,112939364,5.8,90,1,3.0,12.0,"Climb the varied crack, fingers, to hands, to a fun cave/off width, then up through more hand and fist sized crack with positive horizontals to a fixed anchor.","{111100031: 4, 200335317: 3, 107429330: 3, 200399679: 3, 200056611: 3, 108663781: 3, 200051409: 3, 200152826: 3, 108321790: 3, 109486096: 3, 200070164: 3, 200350797: 2}"
Black Jesus,115319826,Trad,112939364,5.11a,65,1,4.0,3.0,"Climb the beautiful corner with a fun and confusing mixture of stemming, laybacking and face climbing.","{108321790: 4, 111783235: 4, 107167168: 4}"
Black Mamba,113105541,Trad,112939364,5.10c,60,1,2.4,7.0,"Climb a steep finger crack, then traverse left around the arete and up a larger crack to a ledge. Back clean to avoid rope drag. From the ledge, layback the crack over the bulge to the anchor.","{109431524: 3, 200350797: 3, 200087166: 3, 109486096: 2, 108321790: 2, 200084683: 2, 108663781: 2}"
Black Moon Rising,114559741,Trad,112939364,5.11-,110,1,3.0,2.0,"Most of this route is 5.9 to 5.10 climbing with one semi-desparate move that can be aided through if needed. The route has an adventurous ""alpine"" feel to it.   Start at the base of the next buttress past Jengarette. Follow the wider and left leaning of the two cracks until under the roof, then traverse left and upwards passing a bolt and some gear to a left arching layback crack that will then bring you to an offwidth with good face features to the left. Follow this up to a horizontal crack (#3 c4) which bisects the left arete.   Mantle into this and a small ledge on the left side of the arete.  Clip a bolt, then levitate up 3 feet to a small crimp and an (almost) jug where you will have a good stance to clip another bolt. (Crux).  Continue up the difficult face to a small finger crack, another mantle, and a short off-width to a two bolt anchor.","{108321790: 3, 200350797: 3}"
Black Opus,115332097,Trad,112939364,5.9+,50,1,2.3,6.0,"Pull a bouldery move off the ground and then follow the thin crack up the left facing corner. Traverse right to get to a nice crack. Jam this crack for a few moves, and then pull up and get established in the offwidth crack above. Follow this to the top.","{108529353: 3, 110233086: 3, 200152826: 2, 107167168: 2, 107429330: 2, 108179333: 2}"
Black Plague,113105649,Trad,112939364,5.10c,50,1,3.6,5.0,A slightly wet start (usually dry in the fall) leads to great climbing above. A can't miss for the wide crack connoisseur!,"{107377680: 4, 110233086: 4, 200350797: 4, 109486096: 3, 108321790: 3}"
Black Plum,117841659,Trad,112939364,5.10+,70,1,3.3,6.0,"A left leaning crack in the shallow, overhanging corner in the face. An excellent steep route with abundant protection.  Nothin to it - start up the crack from the ledge and don't let your right hand get too pumped! Bolted anchors on top which can be used for Grizzly as well.  This route seems to stay naturally very clean and the rock quality is excellent. It's also a favorite spot for some very large spider webs spanning the corner - seems they don't bite.","{110233086: 4, 108529353: 4, 200335317: 4, 200061159: 3, 108321790: 3, 107167168: 2}"
Climbmax,112920410,Trad,112939364,5.9,60,1,2.6,7.0,Left facing corner with a large block at the base. A nice hand crack that goes up and left into the corner. Climb past a stump and up a large block to a ledge then follow the hand crack to the anchor above.,"{200152826: 3, 200189307: 3, 200335317: 3, 200350797: 3, 109486096: 2, 108321790: 2, 107377680: 2}"
Collage a Trois,119457697,Trad,112939364,5.10a,90,1,2.8,5.0,"A classic new route, with a combination of different types of climbing and stunning position. Follow the obvious thin crack until it's end at the ledge. From the ledge, a gear-protected bulge leads to elegant face climbing, protected by gear and bolts. Near the top, the route merges with Honeymoon Arete for a move before stepping back left to top out. Lower off anchors are on the top of the block to the left.","{107560545: 3, 107503776: 3, 200350797: 3, 110494556: 3, 107429330: 2}"
Crows Fly Black,117954785,Trad,112939364,5.8+,80,1,2.8,5.0,"Start by chimney-ing and stemming  up the entrance  of the cave, then get established on the cliff-face proper with your feet and hands on rails. Traverse right to a jug at the base of a small right-facing corner.  Climb the shallow corner past prominent horizontal cracks to a thin seam followed by a corner with a small roof. Pull through the small roof and get a couple perfect jams to an anchor on your right.  At this point the cliff gets even more blocky  and although it can be climbed , lowering from here may be best. The climb does continue to the top of the cliff if desired, where there is a rap anchor on a tree. ","{107560545: 3, 108321790: 3, 200189307: 3, 200350797: 3, 200335317: 2}"
D 'n' B,112924299,Trad,112939364,5.10c,65,1,2.7,3.0,"Start up Bikes-N-Ditches but traverse left at the big horizontal half way up. Follow the small, thin crack to the anchor. Sorry, but it was the only logical name for a Bikes-N-Ditches variation.","{108321790: 3, 200350797: 3, 109486096: 2}"
Dirty Dreams,113455745,Sport,112939364,5.8,60,1,2.6,14.0,"Climb the face left of the Black Dreams crack, meandering back and forth on positive edges.","{109874211: 4, 110494556: 3, 200375020: 3, 107503776: 3, 200056611: 3, 107167168: 3, 108148696: 3, 200167098: 3, 200152826: 2, 108321790: 2, 107560545: 2, 200350797: 2, 109486096: 2, 200070164: 2}"
Divided Sky,119457639,Sport,112939364,5.11b,80,1,3.5,2.0,"Stunning sustained face climbing on a classic Black Mountain face. Ultimately Black Mountain will likely have a dozen or more stunning face routes like this one, on the large and exposed NW aspect of each large buttress.Start at the toe of the buttress uphill of Black Dreams, just before the gully begins. Follow the bolts past some loose rock (staying truer to the bolt line has better rock). Follow the seam until it's end and gain the horizontal (big move). Traverse left along the horizontal and move up at an invisible sawtooth crack. More brilliant wandering past several cruxes leads to lower off anchors.","{108321790: 4, 107429330: 3}"
"Double D Cracks, Left Side",113105625,Trad,112939364,5.7+,80,1,2.6,16.0,Climb the crack and bear left where it splits.,"{110494556: 3, 200350797: 3, 200084683: 3, 200375020: 3, 200335317: 3, 200189307: 3, 107560545: 3, 107429330: 3, 200399679: 3, 108663781: 3, 200152826: 3, 200167098: 2, 200051409: 2, 108148696: 2, 108321790: 2, 109486096: 1}"
"Double D Cracks, Right Side",113105607,Trad,112939364,5.7,85,1,2.7,15.0,Start low and follow the hand crack until beneath a large tree. Traverse left and continue to the top of the narrow pinnacle.,"{200698586: 4, 107429330: 3, 200399679: 3, 108179333: 3, 200061159: 3, 200051409: 3, 200189307: 3, 200335317: 3, 200350797: 3, 109486096: 2, 200167098: 2, 108663781: 2, 200406385: 2, 200152826: 2, 108148696: 2}"
Ejection Seat,119555007,Sport,112939364,5.9+,60,1,3.0,1.0,"Really classy climbing on the upper arete, and fun gymnastic climbing throughout. Start as for Jet Crack. Climb into Jet Crack and reach for the arete on the left. Traverse to the arete and follow it to the ledge. Amazing holds lead up the left side of the obvious arete above. Finish at the same juggy horizontal as the first Traffic Jam anchor. I think if you are tall this will feel like juggy 9+. If you are not especially tall, gaining the final rail may require a deadpoint and feel harder.It's also possible to lead Jet Crack to get to the upper arete. You'll want a BD #6 and at least one BD #5 for the crack.",{107429330: 3}
Honeymoon Arete,117336671,Trad,112939364,5.7,0,2,2.9,13.0,"I’ve eyed this arete since I first started climbing at Black Mountain. Life got busy with two young kids not long after I started climbing here, so I don’t make it back that often, but for my wife and my tenth anniversary my parents took the kids for three nights and we got to spend our second honeymoon climbing. Originally I imagined the arete being a continuation of the the alcove below it, but Dustin beat me to it and put up Log Skidder. The arete can be climbed as a variation of that start, but we cleaned along the edge of the face for a long, easy romp.  P1. Start as per “Unnamed 5.5 Crack” on the back side of Possum. At the top of the crack, cut up and left up slab, climbing a series of steps along the edge of the face, crossing Log Skidder and belaying from a two bolt anchor at the base of the arete. 5.5  P2. Step left from the belay up a series of steps past the first bolt (5.7) then back to the arete, climbing suprisingly positive holds on the right side, then finishing left through a beautiful, airy finish. Enjoy the view, fiddle with a small cam, then top out to a shared anchor with Log Skidder.","{200070164: 3, 110494556: 3, 200350797: 3, 200189307: 3, 200335317: 3, 107560545: 3, 107429330: 3, 109874211: 3, 108663781: 3, 200406385: 3, 108148696: 3, 200375020: 3, 108179333: 2}"
Invisibilia,119432795,Trad,112939364,5.8+,75,1,3.0,6.0,"Excellent climbing, and par for the course at Black Mountain. Reminiscent of Echo Crag. Climb a short vertical crack system and continue up the face above, passing three bolts, followed by more gear and two bolts on the arete at the top. The flakes in the middle, alongside the 3 bolts, are reinforced. Please use the bolts instead of placing gear behind the large flakes.","{107429330: 3, 200375020: 3, 200406385: 3, 200350797: 3, 108148696: 3, 200335317: 3}"
Jengarete,112921542,Trad,112939364,5.10b,110,1,3.9,9.0,"One of the finest routes on the cliff. Negotiate some stiff moves off the ground then follow both sides of the arete to the top, passing some great rests that allow you to enjoy the view along the way. A 60M rope will get you to the ground, uphill in the gully, slightly left of the start. Have fun!","{109486096: 4, 200070164: 4, 200063738: 4, 108663781: 4, 200335317: 4, 200350797: 4, 200084683: 4, 200375020: 4, 108321790: 3}"
Jet Crack,113952123,Trad,112939364,5.8-,23,1,2.0,2.0,Climb the offwidth left of Traffic Jam.,"{107377680: 2, 108179333: 2}"
Kingdom Heritage,113105668,Trad,112939364,5.11c,60,1,3.0,1.0,"The left-facing corner with a thin seam and slab that steepens higher up and finishes with a short offwidth and hand crack above. Pull over a low bulge to start, then work past a devious crux midway up the slab. Layback a thin crack as the slab ends and continue through the steep corner above on good edges, jams, and arm bars. Entertaining from start to finish!",{109486096: 3}
Log Skidder,113105727,Trad,112939364,5.8,115,2,1.5,6.0,The wide crack behind a small birch tree low on the wall.    P1. Climb the crack to a decent sized ledge. 50'    P2. Continue up through he corner system above passing a diving board and a series of stances and cracks leading to the top of the cliff. 65'    Can be done as one long pitch. Rappel off the west side.,"{109486096: 2, 108321790: 2, 108148696: 2, 108179333: 2, 200406385: 1, 107167168: 0}"
Nyx,119741076,Trad,112939364,5.10c,70,1,3.0,1.0,"Make your way up to the ledge and belay from the base of the corner. After the chockstone, moving left is tempting, but thin and poorly protected. A splitter finger crack hides just around to the right. Climb up to the broken rock past tree stumps where the crack then turns to right hand fists and left hand gastons up to the ring-bolt anchor.",{108663781: 3}
Pet Badger,112920444,Trad,112939364,5.7,35,1,2.5,10.0,Make a bouldery start up to the hand crack and follow it over the bulge. Traverse left to the fixed anchor,"{200587192: 4, 200335317: 3, 200375020: 3, 200399679: 3, 109874211: 3, 200056611: 2, 108148696: 2, 108321790: 2, 200167098: 2, 109486096: 1}"
Possum,113105700,Trad,112939364,5.10a,35,1,1.5,4.0,Follow the deep groove up through a hand crack near the top.,"{108321790: 2, 200335317: 2, 109486096: 1, 108148696: 1}"
Shadow Spirit,119413701,Trad,112939364,5.11c,85,1,4.0,2.0,An absolute marvel. Varied and gritty with enough spice to keep it interesting.Work up the face through six bolts to a stance. Gain your composure for a burly laybacking crux through small but very solid gear. A tenuous stance leads to a second easier corner. A small runout (5.7) gains a bolt. Pull the roof to a bolted anchor above.,"{109431524: 4, 108663781: 4}"
Soliloquy,119741062,Trad,112939364,5.10a,65,1,3.0,1.0,Make your way up to the ledge and belay from the base of the corner. Climb up past the chockstone and traverse the ledge to the base of the crack. Follow the mindbending corner that presents as a splitter crack but is actually an opening into multiple dimensional planes of existence. Look for gear in horizontals and in the cracks on the left face. Save a finger sized piece for the last placement before the ring-bolt anchor,{108663781: 3}
Some Say the Crux is the Hardest Part,119413637,Sport,112939364,5.12a,65,1,4.0,3.0,"Well... someone had to climb this thing! Perhaps the most striking arete at Black Mountain? I dare say so.  Climb the initial 5 feet of Traffic Jam before stepping out right to the arete. Tip-toe and balance your way up the arete to a stance. Climb up to a second stance and then cast off on an adventure of counterpressure, foot smears, toe hooks, and body tension to make it up the face/blunt arete.","{109431524: 4, 107429330: 4, 108663781: 4}"
Sway,119741027,Trad,112939364,5.10d,65,1,3.0,1.0,Scramble up into the wide corner and follow it to the roof. Reach far out into the roof crack for jams and shuffle your way as the crack widens to perfect hands at the exit. Pull around the corner and climb the widening crack to offwidth (with solid cheater features) to the ring-bolt anchor,{108663781: 3}
Threat Level Midnight,119362953,Trad,112939364,5.11d,65,1,3.0,1.0,"Climb up the overhanging hand crack. Transition onto a steep face with fragile rock and a thin seam. (2 bolts) Rest underneath a protruding horn,  clip a bolt and then somehow get on top of said horn. Thin face moves on the arete lead to another overhanging bulge where you move left and dyno/dead point for a ledge with a 2 bolt anchor. Very strenuous throughout. ",{108321790: 3}
