name,id,parent_id,elevation,latitude,longitude
Virginia,105852400,,"1,455",36.905, -80.144
Central & Southern VA Region,109847004,105852400.0,165,37.54, -77.436
Amherst County,118562740,109847004.0,681,37.582, -79.046
Blue Ridge Rail Way Trail,118562813,118562740.0,619,37.7, -78.997
Mossy Wall,118563206,118562813.0,620,37.7, -78.997
Piney Hive Boulder,118562831,118562813.0,623,37.698, -78.991
Trail side bouldering,119932929,118562813.0,632,37.698, -79.005
Belle Isle1,107008498,109847004.0,131,37.529, -77.455
Amphitheatre,107149664,107008498.0,,37.529, -77.455
James River Park System,107483676,107008498.0,,37.529, -77.455
Quarry,107149856,107008498.0,,37.529, -77.455
RVA Riva Trash Area,108088478,107008498.0,69,37.528, -77.457
Whale Boulder,107149697,107008498.0,,37.529, -77.455
Browns Island,111620770,109847004.0,19,37.534, -77.442
The Buttermilks,109847055,109847004.0,158,37.526, -77.479
The Biker Area,109849196,109847055.0,156,37.527, -77.48
Drain Damage,110019952,109847055.0,165,37.53, -77.492
The Egg Boulder,109849355,109847055.0,96,37.527, -77.48
Fence Boulder,118228922,109847055.0,111,37.527, -77.481
The Hidden Temple,112505562,109847055.0,146,37.525, -77.476
The Hobbit Hole,109862100,109847055.0,154,37.525, -77.474
Hollow Point Boulder,118254666,109847055.0,146,37.53, -77.487
Lightning Boulder,113746523,109847055.0,159,37.528, -77.483
The Molar,112346259,109847055.0,159,37.528, -77.484
Narnia,110019790,109847055.0,163,37.525, -77.474
Plant World Boulder,112415678,109847055.0,76,37.524, -77.466
Shark Boulder,109849178,109847055.0,173,37.524, -77.474
Squirrels Nest,118700962,109847055.0,121,37.525, -77.475
Walker Texas Ranger Boudler,109849200,109847055.0,166,37.529, -77.492
The Whale Boulder,109849186,109847055.0,165,37.526, -77.478
Whileaway Boulder,120004146,109847055.0,86,37.526, -77.454
Charlottesville vicinity,110848173,109847004.0,469,38.057, -78.462
Beaver Creek Reservoir,107078508,110848173.0,,38.057, -78.462
Best Boulder In Charlottesville,118117437,110848173.0,703,38.03, -78.558
Blue Ridge Parkway,107077284,110848173.0,"1,984",37.869, -79.059
12.2 Boulder,107271075,107077284.0,"2,910",37.919, -78.969
12.2 Wormhole Boulder,119607397,107077284.0,"2,851",37.919, -78.969
Across The Road Boulders,107316175,107077284.0,,37.869, -79.059
Left Boulder,107316183,107316175.0,,37.869, -79.059
Right Boulder,107316189,107316175.0,,37.869, -79.059
Albright Trail Boulders,107297478,107077284.0,,37.869, -79.059
AVO,107444765,107077284.0,,37.869, -79.059
The Cube Boulder,107444770,107444765.0,,37.869, -79.059
The Fontaineblueridege Area,107444821,107444765.0,,37.869, -79.059
Overlook,107444781,107444765.0,,37.869, -79.059
The Seance Area,107444806,107444765.0,"3,664",37.535, -79.499
C-137 Area,113957295,107077284.0,"2,828",37.91, -78.975
Cranial Creator Boulder,113957319,113957295.0,"2,828",37.91, -78.975
Portal Gun Boulder,113957421,113957295.0,"2,828",37.91, -78.975
Tiny Boulder,113957479,113957295.0,"2,828",37.91, -78.975
Dripping Rock Bouldering,118321760,107077284.0,"3,025",37.93, -78.959
Bloodroot Bouldering,118322793,118321760.0,"2,849",37.929, -78.963
Baller Status,118702220,118322793.0,"2,849",37.929, -78.963
Flake,118658233,118322793.0,"2,849",37.929, -78.963
L'Font Sauvage,118658240,118322793.0,"2,849",37.929, -78.963
Pride Rock,118329799,118322793.0,"2,848",37.929, -78.963
Satisfactory Rock,118567231,118322793.0,"2,849",37.929, -78.963
Shangri-La,118658236,118322793.0,"2,849",37.929, -78.963
Wave Wall,118661124,118322793.0,"2,849",37.929, -78.963
Cragside Bouldering,118733681,118321760.0,"3,026",37.93, -78.959
East AT Trail Boulders,120022423,118321760.0,"3,026",37.93, -78.959
Hadrian's Wall,118321767,118321760.0,"3,026",37.93, -78.959
Sentinel Rocks,118321763,118321760.0,"2,976",37.93, -78.96
Strange Zoo,118736180,118321760.0,"3,026",37.93, -78.959
Infernal Goat Machine,118736185,118736180.0,"3,029",37.93, -78.959
Stubborn Boulders,118733700,118321760.0,"3,026",37.93, -78.959
Tumbling Pads,118733957,118321760.0,"3,029",37.93, -78.959
uncategorized,120019376,118321760.0,"3,026",37.93, -78.959
Dripping Rock Overlook,107080701,107077284.0,,37.869, -79.059
"""No Camping Here""",107297522,107080701.0,,37.869, -79.059
Discarded Bouldering Area,107307053,107080701.0,,37.869, -79.059
