name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
El Pescado,118563409,Sport,118563206,5.10c,40,1,3.5,2.0,"**If you enjoy thin moves and slabby finishes then this is the route for you. ***  Begin Climbing up the dihedral and clip the first 2 bolts. From the second bolt move right, across the slab to the arete. At the arete head up past 2 more bolts, finishing at a 2 bolt anchor. **4 Bolts and bolted anchor** FA Ryan Ferro, 2019  ","{111973622: 4, 200704411: 3}"
Itchy Face,118563242,Sport,118563206,5.5,40,1,1.3,4.0,"The climb begins 6’ from the dihedral, below the ramp. Begin climbing up the ramp to the 1st bolt. From the first bolt climb up to the right through the path of least resistance past 2 other bolts. A 2 bolt anchor is located on the left of the dihedral.  **3 Bolts and Bolted Anchor** FA Jeremiah Fish, 2019","{111973622: 2, 200211565: 1, 200429895: 1, 200887497: 1}"
Itchy Face Direct,118563259,Sport,118563206,5.7,40,1,2.2,5.0,"Begin directly under the 1st bolt of Itchy Face. Climb up through small edges and slabby moves. Once you reach the first bolt continue climbing up itchy face.  FA Ryan Ferro, 2019","{200704411: 4, 111973622: 2, 200211565: 2, 200887497: 2, 200429895: 1}"
Lost In The Moss,118563375,Sport,118563206,5.8,40,1,3.3,3.0,"Begin by climbing the first part of El Pescado. At the second bolt proceed straight up the dihedral past the last 2 bolts to the anchor. **4 Bolts and bolted anchor** FA Jeremiah Fish, 2019","{200211565: 4, 200704411: 4, 111973622: 2}"
Sam’s Stone,118871254,Trad,118563206,5.11a,25,1,4.0,1.0,Start standing on a large triangular block. Climb the fins left of Itchy Face following a thin crack and utilizing the left and right aretes. Incredible dual arete slapping and heel hooks. Very sequential.,{107429473: 4}
Turkey Leftovers,118563350,Trad,118563206,5.8,40,1,3.7,3.0,"A gem for those who enjoy splitters.  Find the obvious small hands to fingers crack in the middle of the wall. Climb directly up the crack to the 2 bolt anchor.  **BD .75 - finger size cams** FA Ryan Ferro, 11/18","{200211565: 4, 200429895: 4, 111973622: 3}"
Mr Bright Side,118562851,Boulder,118562831,V0,12,1,2.0,1.0,"Begin at the base of the crack system 6 feet right of No Hands. Climb straight up crack system trusting your feet until you reach positive hand holds up high. Top up.  FA Jon Anderson, 2019.",{111973622: 2}
No Hands,118562839,Boulder,118562831,V1,12,1,3.0,1.0,"Begin at the furthest left of the boulder. Climb directly up without using the crack system and top out. FA Jon Anderson, 2019.",{111973622: 3}
Root Route,118562874,Boulder,118562831,V3,12,1,2.0,1.0,"Begin at the crack system with a root. Climb up through good  holds on  the left side of the crack to the tree. Top out.   FA Kritin Eitreim, 2019.",{111973622: 2}
Shoulda Been A Cowboy,118562862,Boulder,118562831,V3,12,1,2.0,1.0,"Locate the crack system 3 feet right of Mr Brightside, around the small arete. Begins with SS at the base of the crack system. Follow the crack system up through good  holds and feet. Top out.  FA Tyler Sherbine, 2019.",{111973622: 2}
