name,id,parent_id,elevation,latitude,longitude
Washington,105708966,,"5,662",47.398, -120.762
Central Region,108471474,105708966.0,"1,363",47.117, -119.955
Ancient Lakes Coulee,112491985,108471474.0,"1,060",47.146, -119.963
Ancient Lake Crag,117073357,112491985.0,"1,049",47.147, -119.945
Ancient Lakes North,117073763,112491985.0,"1,007",47.147, -119.944
ancient lakes temp,117073339,112491985.0,"1,362",47.117, -119.955
Ancient Lakes West,117073721,112491985.0,961,47.147, -119.946
Judith Pond East,117073369,112491985.0,"1,035",47.15, -119.933
Judith Pond West,117073362,112491985.0,"1,119",47.149, -119.936
Ancient Lakes Ice Climbs,113090198,108471474.0,"1,388",47.118, -119.963
Banks Lake / Northrup Canyon,106269053,108471474.0,"1,634",47.883, -119.092
Absent Minded Professor,116582238,106269053.0,"1,713",47.701, -119.263
Banks Lake East Shore South (Ice Climbing),116630932,106269053.0,"2,224",47.814, -119.154
The Bastion,109527995,106269053.0,"1,577",47.887, -119.095
Devils Punch Bowl Area,112433268,106269053.0,"2,000",47.864, -119.087
Gibralter Rocks,106273148,106269053.0,,47.883, -119.092
Golf Course Crags,106628487,106269053.0,,47.883, -119.092
Golf Course Wall,106628496,106628487.0,,47.883, -119.092
Top Flite Boulder,106628545,106628487.0,,47.883, -119.092
Jones Bay,112150991,106269053.0,"2,255",47.888, -119.085
Ladds Creek Ice Climbing Area,116583634,106269053.0,"1,591",47.805, -119.175
Orange Wall,107176067,106269053.0,"1,786",47.902, -119.116
Picnic Table Rock,107187067,106269053.0,"1,915",47.876, -119.082
Post Modern Wall,107176105,106269053.0,"1,708",47.898, -119.122
Prime Cut Area,109456888,106269053.0,"1,573",47.883, -119.1
Road Side Rock,106271674,106269053.0,"1,660",47.883, -119.092
Steamboat  Rock State Park,106273154,106269053.0,,47.883, -119.092
"Frenchman Coulee, AKA Vantage",105792231,108471474.0,"1,083",47.025, -119.969
*Bouldering at Vantage,118642752,105792231.0,"1,101",47.025, -119.967
Button Boulder,119726926,118642752.0,888,47.033, -119.954
Coyote Cobble,118888779,118642752.0,928,47.033, -119.953
Muscle hump problem,117601767,118642752.0,"1,039",47.025, -119.973
Onidevadekim,112368736,118642752.0,913,47.028, -119.967
Waterfall Rock,118821002,118642752.0,895,47.033, -119.955
*Ice climbing in Winter,118642787,105792231.0,"1,070",47.02, -119.968
Fuggs Falls,116582064,118642787.0,984,47.02, -119.969
Agathla Tower,107127954,105792231.0,"1,106",47.025, -119.969
Ball's Wall,106473898,105792231.0,,47.025, -119.969
Clearview Crag,108055273,105792231.0,,47.025, -119.969
Corn Wall,106681317,105792231.0,,47.025, -119.969
Fat and Skinny Man Walls,105803860,105792231.0,70,47.023, -119.973
The Feathers,105793340,105792231.0,"1,115",47.028, -119.965
The North Side,105793689,105793340.0,"1,141",47.028, -119.964
The South Side,105793692,105793340.0,"1,136",47.028, -119.965
Fugs Wall,114123961,105792231.0,910,47.018, -119.971
East End.,114124071,114123961.0,"1,009",47.019, -119.969
Hacky Sack Wall,114124304,114123961.0,"1,075",47.017, -119.976
Lesbian Troll Wall,114124095,114123961.0,"1,072",47.018, -119.971
Nuts and Bolts Wall,114124246,114123961.0,"1,036",47.018, -119.973
Pins and Needles Wall,114124177,114123961.0,"1,052",47.018, -119.973
The Gallery,116982892,105792231.0,"1,181",47.024, -119.968
Green Wall,107514182,105792231.0,"1,137",47.024, -119.972
Hen House,107117650,105792231.0,,47.025, -119.969
Highway Rock,117261722,105792231.0,"1,172",47.023, -119.965
Jigsaw Wall,107508866,105792231.0,"1,093",47.023, -119.974
Kotick Memorial Wall,107442196,105792231.0,"1,123",47.023, -119.972
The Launch Pad,118608168,105792231.0,"1,050",47.022, -119.969
M & M Wall,106259739,105792231.0,,47.022, -119.972
Middle East Wall,105793346,105792231.0,"1,079",47.025, -119.975
Millennium Wall,106681333,105792231.0,,47.024, -119.978
Moonshine Wall,107320537,105792231.0,,47.025, -119.969
Passage Wall,117964220,105792231.0,"1,026",47.017, -119.982
Porcupine Alcove,118707926,105792231.0,"1,124",47.022, -119.97
Postal Wall,117270484,105792231.0,"1,076",47.025, -119.975
Powerhouse Wall,106724373,105792231.0,,47.022, -119.97
Red Velvet,119045252,105792231.0,"1,082",47.022, -119.97
Riverview Park,106721142,105792231.0,,47.023, -119.982
Centre,106721190,106721142.0,,47.023, -119.982
Left,106721195,106721142.0,,47.023, -119.983
Right Side,106721149,106721142.0,,47.024, -119.981
Riverview Point,107658999,105792231.0,"1,070",47.023, -119.984
River View Point West Alcove,107658969,107658999.0,"1,067",47.023, -119.985
Riverview Point East Alcove,111626783,107658999.0,878,47.022, -119.98
Rock Island,110567969,105792231.0,200,47.015, -119.98
Running Gear Death Wall,117964085,105792231.0,"1,129",47.015, -119.979
The Sanctuary,106042465,105792231.0,,47.025, -119.969
Shady Lady Wall,118588299,105792231.0,"1,087",47.025, -119.975
Shattered Columns,118230973,105792231.0,876,47.021, -119.977
Sunset Park,113765449,105792231.0,"1,087",47.024, -119.986
Sunshine Wall,105793350,105792231.0,"1,085",47.023, -119.975
Coyote Wall,105947006,105793350.0,"1,062",47.024, -119.978
Far End,106889415,105793350.0,,47.023, -119.975
Bill's Wall,107380954,106889415.0,"1,080",47.024, -119.979
Riverview Columns,106889434,106889415.0,,47.024, -119.98
Tomato Wall,107378037,106889415.0,,47.023, -119.975
King Pins,105793798,105793350.0,"1,098",47.023, -119.974
Lower Cliffs,105803857,105793350.0,70,47.023, -119.975
Near End of Sunshine Wall (aka Twin Cracks Area),105793817,105793350.0,,47.023, -119.973
Tilted Pillars,107550097,105793350.0,,47.023, -119.975
Zig Zag Wall,106432467,105792231.0,,47.023, -119.969
Lake Lenore and Soap Lake,112446019,108471474.0,"1,147",47.451, -119.51
Moses Coulee,112447979,108471474.0,"1,740",47.635, -119.681
"Central-East Cascades, Wenatchee, & Leavenworth",108471397,105708966.0,"2,045",47.582, -120.369
Chelan,117963194,108471397.0,"1,256",47.844, -120.01
Milkweed Canyon,117963262,117963194.0,"1,544",47.906, -119.944
Twenty Five Mile Creek,120015775,117963194.0,"2,465",47.964, -120.299
Ash Boulder,120015864,120015775.0,"2,733",47.954, -120.329
Thanks for coming,120015827,120015775.0,"2,459",47.955, -120.315
Cle Elum River Valley,118275527,108471397.0,"3,080",47.465, -121.048
Lake Cle Elum,119483738,118275527.0,"2,471",47.332, -121.104
Mount Daniel,118275545,118275527.0,"3,080",47.465, -121.048
Mount Hinman,119738729,118275527.0,"7,431",47.568, -121.211
Demilitarized Zone,107012581,108471397.0,"1,500",47.868, -120.862
Entiat River Valley,118653447,108471397.0,"1,880",47.916, -120.497
Briefs Buttress,118710352,118653447.0,"2,381",47.879, -120.424
Icicle Creek,105790237,108471397.0,"1,355",47.543, -120.711
* Bouldering in Icicle Creek,106288739,105790237.0,"1,528",47.542, -120.728
The 420 Boulders,108558125,106288739.0,,47.542, -120.728
420,118609105,108558125.0,"1,527",47.542, -120.727
Reflection of perfection,110682926,108558125.0,,47.542, -120.728
Upper 420s,118609108,108558125.0,"1,541",47.542, -120.728
The Airfield,110103894,106288739.0,,47.542, -120.728
Barney's Rubble,108150577,106288739.0,,47.542, -120.728
