name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Eagles and Barking Dogs,117101147,Sport,117073763,5.9-,45,1,2.0,2.0,Short first pitch that leads to a ledge right above the anchors. The second pitch (5.8) can be linked.,"{112251437: 2, 200236300: 2}"
Guys with Girlfriends,117101236,Sport,117073763,5.8-,45,1,2.0,1.0,"This route is right beside Eagles and Barking Dogs, it also shares some holds with EBD. The first pitch itself has two bolts. Second pitch is a poorly protected 5.8 mix. Please update if you have more information about p2.",{112251437: 2}
Prufrock's Dihedral,117097608,Sport,117073763,5.11b,75,1,3.0,3.0,"A super fun stemming route with occasional side-pulls. My partner and I felt this could be the 11a/b. Replaced the clip that linked the anchor bolt to chain, thanks to Floyd's quicklink. ","{200236300: 3, 108134776: 3, 112251437: 3}"
Addicted to Crack,117060941,Trad,117073339,5.8,50,1,1.5,2.0,"Large crack with good (but maybe chossy) incuts. Can be done by clipping to the .10 route bolts on the right. The route needs to be cleaned, though. Second pitch optional.","{112251437: 2, 200528946: 1}"
Face It,117061009,Sport,117073339,5.10a,50,1,3.0,1.0,Face climb the rightmost bolted line. Fun moves.,{112251437: 3}
No Nuts Needed,117060711,Trad,117073339,5.7,50,1,2.0,1.0,4 bolts (plus pro if you like). Chossy.,{112251437: 2}
Orange Pockets,117073709,Sport,117073339,5.8+,50,1,2.0,2.0,The second sport route from the right.,"{112251437: 2, 200236300: 2}"
Beauty and the Beast,118601775,Trad,117073362,5.9,35,1,3.0,1.0,Start at a bolt with excellent twin finger locks on each side and worm your way up the stembox to an off-width right side and a bolt. Pick your poison to finish.. ,{200236300: 3}
Citron Crack,118601614,Trad,117073362,5.8,35,1,2.5,2.0,"Move into the hand size crack, and either climb it or the various jugs on the arete. Crack starts at about a #2 friend and get progressively  wider to a #4 friend near the top. Crux is mounting the ledge near the anchor.","{112469505: 3, 200236300: 2}"
Nothing But Jam,119555040,Trad,117073362,5.10+,50,1,3.3,3.0,"Splitter that starts as a wide crack (#3), then quickly constricts to mostly .75 - 1 friends for 40 feet. Crack is flakey but pro holds well. Will clean up fast with traffic. ","{107312116: 4, 200236300: 3, 14537: 3}"
