name,id,parent_id,elevation,latitude,longitude
West Virginia,105855459,,999,38.069, -81.081
4-H Nature Area,119113257,105855459.0,765,38.394, -82.322
Alma Crag,115398553,105855459.0,"1,242",37.757, -82.309
Alma East,115398571,115398553.0,"1,279",37.757, -82.308
Alma West,115398593,115398553.0,"1,163",37.758, -82.31
Barboursville Park,112125392,105855459.0,576,38.392, -82.309
Bear Haven,107551002,105855459.0,"3,600",38.929, -79.68
Bear Rock Lake Bouldering (Wheeling),107738849,105855459.0,"1,133",40.076, -80.533
Bluefield Boulders,106502697,105855459.0,"3,475",37.255, -81.185
Bozoo,106442164,105855459.0,"1,464",37.476, -80.87
Farm Wall,108891749,106442164.0,"1,600",37.485, -80.875
Simpson Wall,106442200,106442164.0,"1,637",37.48, -80.87
Double-Tier Wall,107978014,106442164.0,"1,700",37.48, -80.87
Rigor Wall,107976968,106442164.0,"1,800",37.48, -80.869
Bovine Area,106704279,106442164.0,"1,724",37.48, -80.869
Bond Wall,107910931,106442164.0,"1,695",37.479, -80.868
Necro Wall,106543853,106442164.0,"1,739",37.478, -80.867
Iceberg Area,106535958,106442164.0,"1,682",37.478, -80.866
White Wall,107899384,106442164.0,"1,772",37.478, -80.865
Savory Area,107906521,106442164.0,"1,736",37.478, -80.864
Bozoo Bouldering,107978005,106442164.0,"1,600",37.476, -80.87
Bozooka Area,107949272,107978005.0,"1,674",37.477, -80.865
Alcatraz/Fontainzoo/Mattehorn,108856226,107949272.0,"1,600",37.476, -80.865
Ape Rage Boulder,107949288,107949272.0,,37.477, -80.865
The Bozooka Boulder,107949283,107949272.0,"1,672",37.477, -80.865
The Brain Boulder,107949298,107949272.0,,37.477, -80.865
Lyman's Boulder,107949292,107949272.0,,37.477, -80.865
Streamside Boulder I,110053783,107949272.0,"1,640",37.477, -80.865
Streamside Boulder II,110234872,107949272.0,"1,615",37.476, -80.865
Downstream Boulderfield,107968861,107978005.0,"1,600",37.483, -80.875
Air Jordy Boulder,108069731,107968861.0,"1,480",37.483, -80.875
Mystery Boulder,108711629,107968861.0,"1,487",37.482, -80.874
Talus Area,108739056,107968861.0,"1,610",37.483, -80.873
Mini 45,108946558,108739056.0,"1,600",37.484, -80.874
C2: 211 Spot Boulder,108069668,108739056.0,"1,625",37.484, -80.874
Hermit's Cave,107968880,108739056.0,"1,622",37.484, -80.874
Front Slabs,108811073,108739056.0,"1,602",37.484, -80.874
Warm Up Boulder,108811286,108739056.0,"1,602",37.484, -80.874
"Upper Tier, Hermit's Cave",108814643,108739056.0,"1,570",37.484, -80.874
Cliffside Boulder,108069674,107968861.0,,37.483, -80.875
Multi-Dihedral Boulder,107968886,107968861.0,"1,544",37.484, -80.875
Slap'n'Squeeze Boulder,108069618,107968861.0,"1,526",37.484, -80.875
Alligator Skin Boulder,107968867,107968861.0,"1,512",37.484, -80.875
Flow Boulder,107968872,107968861.0,"1,470",37.484, -80.876
Entryway Boulders,108008457,107978005.0,"1,800",37.473, -80.857
BoulderCliff Area,108008553,108008457.0,"1,750",37.474, -80.859
The BoulderCliff,108008556,108008553.0,"1,750",37.474, -80.859
Crimper Lameness,108083354,108008553.0,"1,814",37.474, -80.859
Sloper Madness Boulder,108008564,108008553.0,"1,750",37.474, -80.859
The Vulture Roost,108083342,108008553.0,,37.474, -80.859
Roadside,108008524,108008457.0,"1,750",37.483, -80.847
