name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
The ol' 4-H boulder,119113359,Boulder,119113257,V6,22,1,3.0,1.0,"Beautiful boulder that has been climbed locally for generations, but hasn't been listed yet. Very challenging to get to the crack, but easy once you're there. It's pretty tall for a boulder.",{200814493: 3}
Under The Graffiti,119113320,Trad,119113257,5.6,55,1,2.0,1.0,"Nice beginner's sandstone. This has been used by the camp for years and is bolted at the top with stainless hangers with either 3/8 or 10mm bolts. If you top rope, you might reach one hanger from the top but the other one is out of reach without rapping down a couple feet. The path back to the overlook is pretty obvious from the bottom and will require some scrambling. There are snakes in the area and this rock has lots of nice places for snakes, so check carefully before putting your hand somewhere you can't see. Don't use the sketchy wire rope wrapped around the rock on top.",{200814493: 2}
Unnamed Arete,115399082,Trad,115398571,5.9,30,1,3.0,1.0,Climb the low roof into a L shaped shallow crack. maybe a possible nut placement here. continue up the arete to the top possibly getting a cam into a horizontal. (5.8-5.10) walk off the backside.,{107083075: 3}
Devil Anse,115398647,Trad,115398593,5.8,30,1,3.0,1.0,This is a great line for the area. It was originally climbed with a bouldering pad but a fall from the top could be bad. Enjoy the opposing movement up a short flake. Top out and walk climbers right to the descent gully.,{107083075: 3}
The real McCoy,115398811,Boulder,115398593,V1-2,20,1,2.0,1.0,"Start on an undercling and pull the bulge through small crimps. Top out by traversing left on thin but less steep ground, or traverse right and down climb an easy crack.",{107083075: 2}
Unnamed dual crack system,115398991,Trad,115398593,5.8,30,1,3.0,1.0,Start on the right side of the route. Use the corner and flake to acquire the left crack. Hand jam your way to the top on a good looking crack. probably goes 5.7-5.9,{107083075: 3}
unnamed handcrack,115399049,Trad,115398593,5.6,35,1,2.0,1.0,Climb the crack on easy jams with good stances for placing solid pro. This would probably make for a good first lead (5.6-5.8). walk off climbers left,{107083075: 2}
unnamed ledge crack,115399017,Trad,115398593,5.7,35,1,2.0,1.0,handjam up to a big ledge then continue to the top using short a flaring crack. probably goes at 5.7-5.9. Walk off climbers left.,{107083075: 2}
Unnamed Offwidth,115398954,Trad,115398593,5.7,30,1,2.0,1.0,"Unclimbed offwidth, probably goes as a 5.7 layback. ",{107083075: 2}
Disney Classic Knife Fight,118997797,Boulder,112125392,V2-3,13,1,3.0,1.0,"Start with hands at obvious horizontal slit in the right face of the boulder. Couple good food holds at the bottom. Right hand to the round knob a couple feet above slit, and left hand to the crack a couple feet directly across the main slit. Pull your left hand up to the vertical crack 3 feet directly above the first crack, as you move your left foot up to a small angled edge a couple of feet up. Right foot to main slit, and right hand to a little 2 finger crimp. This is probably the trickiest part, but once you get your balance and your left foot smeared on a small angled park of the face, you can reach the top. Top out and go down the side or back.",{200618714: 3}
Zig,112125594,Boulder,112125392,V0,10,1,0.0,,Stand start with hands at chest height on the left portion of the jagged zigzag break in the boulder.  Work your way straight up using only the left boulder.,
Ant Hill,107727510,Boulder,107551002,V1+,15,1,1.5,2.0,"Named ""Ant Hill"" for the ants that reside in the rock near the start. Sit start with low feet placed where you're comfortable. Try to follow the crack to the pocket at the end. Reposition and place your feet carefully to reach a pocket for your right hand. Try to avoid the flake in between; I fear it may break. Position your feet again in the most solid spots and reach above your head to a pocket for your left hand. This, I believe, would be the crux move and is a blind reach. From there follow your hands with your feet to the top. The last hold is a right hand on the peak of the rock.    After topping out, there is an easy down climb at the far end of the rock. Crash pads and spotting are still recommended.","{107719391: 2, 108416778: 1}"
