name,id,parent_id,elevation,latitude,longitude
Wisconsin,105708968,,"1,222",44.465, -89.473
Baraboo Range,119930712,105708968.0,826,43.244, -89.955
Devil's Lake,105729927,119930712.0,961,43.417, -89.732
Devil's Lake Bouldering,106513891,105729927.0,961,43.415, -89.732
Burma Road,105955028,106513891.0,"1,375",43.4, -89.743
East Bluff,106593774,106513891.0,"1,168",43.42, -89.726
East Bluff North,106554344,106593774.0,"1,039",43.425, -89.726
North Shore,105730095,106554344.0,"1,070",43.427, -89.727
Earth Mechanics,118304910,105730095.0,"1,028",43.427, -89.727
Welcome to the Lake!,118304924,105730095.0,"1,037",43.427, -89.727
Big Bud,118304883,105730095.0,"1,049",43.427, -89.727
Show Me the Kind,118304932,105730095.0,"1,100",43.427, -89.726
Scarlet Macaw,118632061,105730095.0,"1,065",43.427, -89.727
East Bluff North Talus,106597585,106554344.0,"1,082",43.425, -89.725
Blue Skies,118663660,106597585.0,"1,111",43.425, -89.725
Dagger of the Lake,118663000,106597585.0,"1,128",43.425, -89.725
Diamond in the Rough,118661116,106597585.0,"1,094",43.425, -89.725
Elephant Post,118664003,106597585.0,"1,161",43.425, -89.725
Evergreen,118663292,106597585.0,"1,192",43.424, -89.725
Exfoliator,118663026,106597585.0,"1,160",43.425, -89.725
Fantasticorner,118661220,106597585.0,"1,005",43.426, -89.726
Fresh Air,118664019,106597585.0,"1,011",43.426, -89.726
Ghost of the Forest,118663976,106597585.0,985,43.425, -89.726
"Good Morning, Veruca!",118663196,106597585.0,"1,176",43.424, -89.725
Party Hole,118661264,106597585.0,"1,086",43.425, -89.726
Radiance,118667376,106597585.0,"1,055",43.426, -89.726
Saucer,118663932,106597585.0,"1,164",43.424, -89.725
Science Friction,118667115,106597585.0,"1,070",43.426, -89.726
Sunny & 60s,118663144,106597585.0,"1,157",43.424, -89.725
The Tomahawk,118663092,106597585.0,"1,229",43.424, -89.725
Uncertainty Principle,118667107,106597585.0,"1,093",43.426, -89.726
Wave Rider,118661302,106597585.0,"1,104",43.426, -89.726
Winter Blues,118667359,106597585.0,"1,048",43.426, -89.726
You Only Fall Once,118663913,106597585.0,"1,143",43.425, -89.725
Greatest Show,106554352,106554344.0,"1,252",43.425, -89.724
Greatest Bluff,105935505,106554352.0,"1,216",43.426, -89.725
Greatest Show Boulders,105935513,106554352.0,"1,266",43.425, -89.723
Mutual Attraction,118638490,106554344.0,"1,261",43.424, -89.725
Monolith Talus,106583438,106554344.0,"1,214",43.423, -89.725
Australia,118695235,106583438.0,"1,271",43.423, -89.725
Big Wobbly,118718230,106583438.0,"1,317",43.421, -89.725
Devils Pit,118718255,106583438.0,"1,285",43.422, -89.724
Down Under,118695390,106583438.0,"1,237",43.423, -89.725
Jaws II,118718235,106583438.0,"1,344",43.422, -89.724
Mean Gurlz,118695445,106583438.0,"1,285",43.422, -89.724
