name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
A Shimmer in the Darkness,118994797,Boulder,105955028,V7+,0,1,1.0,2.0,B Side or a Rarity?  You make the call.  Definitely one or the other. Start with a low undercling for the right hand and a biter pinch on the arete for the left.  Establish and likely jump to the lip and mantle out through the hole.,"{107180287: 2, 112851513: 0}"
Act of Valor,106486504,Boulder,105955028,V2,12,1,1.3,15.0,Sit start with ledge for hands.  Do a funky mantle and climb the short face.,"{200180019: 3, 105934987: 2, 107180287: 2, 107816900: 2, 200448485: 2, 106566720: 2, 200628407: 1, 200293497: 1, 106020029: 1, 105829111: 1, 108324869: 1, 109335263: 1, 11348: 1, 200065694: 0, 108940304: 0}"
Arete Right of Warm Up,106486310,Boulder,105955028,V2,16,1,2.1,9.0,Fun,"{110951798: 3, 106696449: 2, 107817787: 2, 11156: 2, 105934987: 2, 105829111: 2, 108140001: 2, 107585776: 2, 110391913: 2}"
Baby Burmese,107546370,Boulder,105955028,V8-,0,1,2.4,12.0,Climb out the cave and topout on Like Shaking Hands with God.  Start left hand on a crimp and right hand on a good sloper pinch.  Super fun movement and friendly holds.  Very steep and pretty pumpy.  This is a shorter version of Burmese Python and cuts off a few moves.,"{200712485: 4, 107180287: 3, 200150045: 3, 107816900: 3, 108363126: 3, 105911983: 3, 200525318: 3, 108265303: 2, 106443701: 2, 112851513: 2, 108324869: 1, 107469360: 0}"
Baby Crane,107303348,Boulder,105955028,V4,12,1,3.2,67.0,"Sit start left hand low in crack, right around the arete. Gain left arete and do a couple cool moves to a chill topout. Definitely fun!","{105980259: 4, 200717356: 4, 107585776: 4, 111791264: 4, 111834549: 4, 13083: 4, 111165621: 4, 111504038: 4, 107814422: 4, 111807644: 4, 111799234: 4, 111402216: 4, 107817787: 4, 108940304: 4, 200556696: 4, 106812235: 4, 106020029: 4, 200448485: 4, 200496977: 4, 200039658: 3, 110530146: 3, 110515852: 3, 112013063: 3, 107106661: 3, 200643588: 3, 107255513: 3, 200759379: 3, 200437648: 3, 200448817: 3, 200231601: 3, 200358665: 3, 200436094: 3, 108363126: 3, 111575269: 3, 111999832: 3, 111722341: 3, 107180287: 3, 107968202: 3, 106460214: 3, 106226365: 3, 106503996: 3, 106483800: 3, 108140001: 3, 106645071: 3, 108265303: 3, 108220249: 3, 105934987: 3, 106926875: 3, 107820310: 3, 106402756: 3, 110920929: 3, 109027988: 3, 110304220: 3, 108324869: 3, 105911983: 3, 106696449: 3, 108831691: 3, 110391913: 3, 107555793: 3, 105966977: 2, 105829111: 2, 106935032: 2, 200264691: 2, 111704941: 2, 112851513: 2, 109335263: 2, 111816000: 2}"
Banana Split,107156854,Boulder,105955028,V3,18,1,2.5,22.0,Start with left hand on good sidepull and left hand pushing on the arete to get off the ground. The crux is pulling on the far right hold to get in position for a big move to gain the top.,"{107555793: 4, 105849172: 4, 105980259: 4, 105969464: 3, 111704941: 3, 112013063: 3, 110920929: 3, 107817787: 3, 106696449: 3, 106226365: 3, 105934987: 3, 107521255: 2, 200717356: 2, 200358665: 2, 106020029: 2, 107968202: 2, 108324869: 2, 106483800: 2, 108140001: 2, 105966977: 2, 107585776: 1, 112851513: 1}"
Bananarama,109507432,Boulder,105955028,V6,0,1,2.0,4.0,"This is the arete just left of Banana Split.  Start low with your left hand on the arete (If your hand touches the boulder next to it, it's not on), and your right on a low 3 finger gaston.  Pull a subtle and hard first move, then continue up the arete.","{107180287: 2, 107555793: 2, 105974731: 2, 105969464: 2}"
Burmese Python,107583454,Boulder,105955028,V11-12,0,1,3.0,4.0,Starts on 2 crimps way down in the roof under Shaking Hands with God and climbs into that line.  Wild upside down climbing with some really neat holds.  Pumpy.,"{107180287: 4, 200712485: 4, 200525318: 4, 107469360: 0}"
Classic Warm Up,106486247,Boulder,105955028,V1,16,1,3.4,75.0,Big juggy moves with small smeary feet. One sketch section up top but I'll leave that for you to figure out!,"{112013063: 4, 200447904: 4, 112776718: 4, 106460214: 4, 107555793: 4, 200717356: 4, 13083: 4, 108148612: 4, 200090850: 4, 200059204: 4, 200468924: 4, 107814422: 4, 200258398: 4, 111780385: 4, 111402216: 4, 111791264: 4, 112042080: 4, 200065694: 4, 108140001: 4, 108940304: 4, 105849172: 4, 106020029: 4, 200217216: 4, 200264691: 4, 111704941: 4, 105980259: 4, 105911983: 4, 106812235: 4, 105829111: 4, 200448817: 4, 108305598: 4, 200628407: 4, 200556696: 4, 111816000: 3, 200180019: 3, 200966143: 3, 200358665: 3, 108955114: 3, 112866786: 3, 107521255: 3, 200231601: 3, 111771784: 3, 112194018: 3, 110530146: 3, 106645071: 3, 106935032: 3, 106503996: 3, 105969464: 3, 105976899: 3, 105934987: 3, 11156: 3, 106226365: 3, 106696449: 3, 105917266: 3, 107817787: 3, 105966977: 3, 106483800: 3, 110391913: 3, 108831691: 3, 110515852: 3, 107968202: 3, 111722341: 3, 110951798: 3, 110920929: 3, 111807644: 3, 108324869: 3, 111165621: 3, 111055807: 3, 108592672: 3, 109335263: 3, 111231891: 2, 108841484: 2, 112851513: 2, 107585776: 1}"
The Clinger,107331942,Boulder,105955028,V0,10,1,1.3,9.0,Sit start on obvious shelf and move into good undercling on the bottom of the bulge. Move your feet across the ledge and topout using slopey holds.,"{105980259: 2, 110951798: 2, 200241928: 2, 200150045: 2, 106460214: 1, 112042080: 1, 111780385: 1, 200180019: 1, 106020029: 0}"
Common Decency,118696101,Boulder,105955028,V6,0,1,1.0,2.0,"Eliminate/contrivance Alert.   We did this and it’s fun so sharing it here. Sit with jug.  Large ledge left is off, and any holds right of the arete are off, along with for feet to right of the arete/crack. Makes perfect sense right? So there ya go, do with it what you will.  There is a really cool pinch hold on this.","{107180287: 1, 200437648: 1}"
Corner Crack,107160192,Boulder,105955028,V1,0,1,1.9,24.0,Start low on jug and move out to crack in arete.  Fun problem.,"{112194018: 4, 106226365: 3, 111780385: 3, 105911983: 3, 200556696: 2, 200717356: 2, 105969464: 2, 200264691: 2, 200496977: 2, 108841484: 2, 200358665: 2, 112042080: 2, 105934987: 2, 106020029: 2, 105980259: 2, 108140001: 2, 110920929: 2, 108084234: 1, 105829111: 1, 111402216: 1, 200642409: 1, 108940304: 1, 200217216: 1}"
Dabatron Arete,118995031,Boulder,105955028,V4,0,1,0.5,2.0,"Start sitting, right hand with an undercling and left on the arete.  Climb the arete to a tricky, and tricky to avoid dabbing mantle.  A little heads up actually.","{107180287: 1, 112851513: 0}"
Ding Dong,119725570,Boulder,105955028,V3,10,1,1.5,4.0,Start seated with a left hand on an undercling in the arete and right hand on the vertical slot. Make a long move to a pocket. Set up on the face and launch to the lip on poor feet.,"{107632002: 2, 111704941: 2, 108940304: 1, 200150045: 1}"
Easy on Backside of Burma,106486510,Boulder,105955028,V0-1,14,1,2.8,24.0,Easy.,"{111780385: 4, 106935032: 4, 108084234: 4, 106812235: 3, 200264691: 3, 200059204: 3, 111402216: 3, 200717356: 3, 200556696: 3, 200217216: 3, 112042080: 3, 110920929: 3, 111807644: 3, 105969464: 3, 105911983: 3, 109197897: 3, 107180287: 3, 105829111: 2, 107521255: 2, 108140001: 2, 108940304: 2, 105934987: 2, 11156: 2, 200628407: 2}"
Easy Street,107332019,Boulder,105955028,V-easy,10,1,1.2,14.0,Stand start on easy arete to the left of Entrance Slab.,"{110951798: 3, 200150045: 2, 200556696: 1, 108940304: 1, 105969464: 1, 111402216: 1, 200241928: 1, 111780385: 1, 112042080: 1, 110920929: 1, 111807644: 1, 108140001: 1, 105980259: 1, 106020029: 1}"
Enigma,119724700,Boulder,105955028,V7,0,1,4.0,3.0,"A sweet and pretty line..Start standing in the pit off a couple pads, right hand on the arete, left on a thumbdercling pinch.  Climb the tall face encountering crimpy knobs up high.  The shorter may have to stack an extra pad to start.  A blubber or thin pad is nice to cover the rocky ridge to the right.","{107180287: 4, 107632002: 4, 107555793: 4}"
Entrance Slab,107332011,Boulder,105955028,V0,11,1,1.9,35.0,Stand start on crack system that works it way up the middle of the face.,"{112194018: 4, 200625745: 3, 200496977: 3, 110951798: 3, 106195833: 2, 200243645: 2, 200599910: 2, 200717356: 2, 200291620: 2, 200713456: 2, 200642409: 2, 105969464: 2, 200180019: 2, 200654993: 2, 108940304: 2, 200556696: 2, 200150045: 2, 200059204: 2, 111575269: 2, 105980259: 2, 111780385: 2, 111807644: 2, 108841484: 2, 108148612: 2, 200241928: 2, 108140001: 2, 110920929: 2, 108084234: 1, 111722341: 1, 112042080: 1, 112013063: 1, 111402216: 1, 106020029: 1, 112866786: 1, 107817787: 1}"
"Entrance to ""The Pit"" PROJECT.",106486234,Boulder,105955028,V8,14,1,0.0,,Project?,
Escargot,119995247,Boulder,105955028,V4,0,1,3.0,1.0,Lieback and jam your way up the finger crack in the dihedral. Located around the right corner of Enigma. Don't fall up top or you'll bounce down the laundry chute. Difficulty may depend on finger size.,{112013063: 3}
"Face left of ""The Scoop""",106486212,Boulder,105955028,V3-,14,1,2.0,1.0,Face route.,{107968202: 2}
Hard Arete,106486255,Boulder,105955028,V6,16,1,3.6,19.0,Hard face.,"{105911983: 4, 108140001: 4, 200459202: 4, 112013063: 4, 108831691: 4, 107555793: 4, 112851513: 4, 106483800: 4, 105969464: 4, 105976899: 4, 108940304: 4, 200255027: 4, 112290755: 3, 110920929: 3, 105917266: 3, 108984917: 3, 107180287: 3, 105934987: 3, 105849172: 3}"
