name,id,parent_id,elevation,latitude,longitude
Wyoming,105708960,,"5,529",43.005, -107.842
Absaroka Range,107717786,105708960.0,"10,010",44.961, -109.918
Clarks Fork Canyon,112833112,107717786.0,"5,286",44.856, -109.302
Horse Creek Slabs,106022084,107717786.0,"7,624",43.654, -109.62
Pilot Peak,107717803,107717786.0,"11,708",44.961, -109.918
Casper Mountain,106419259,105708960.0,"7,000",42.762, -106.33
Converse County Park -- Box Elder Cyn,108670680,106419259.0,"6,300",42.746, -105.795
The Big Falls Promuntory Ridge,119060397,108670680.0,"5,783",42.749, -105.787
Garden Creek Waterfall,106419332,106419259.0,"6,500",42.767, -106.332
The Honey Pot,107898564,106419259.0,"7,000",42.721, -106.393
The Elks Lounge,107898616,107898564.0,"7,200",42.722, -106.382
The Grouse Boulders,107898619,107898564.0,"7,000",42.721, -106.387
Philadelphia wall,107898573,107898564.0,"7,200",42.723, -106.382
Tiggers Treehouse,107898610,107898564.0,"7,000",42.721, -106.385
Look Out Point Area,106419298,106419259.0,"7,000",42.762, -106.33
Skunk Hollow,106802961,106419259.0,"7,655",42.754, -106.305
Sensory Deprivation,106845629,106802961.0,"7,789",42.744, -106.315
The Blind Eye,106852220,106845629.0,,42.744, -106.315
Head Games,106845911,106845629.0,,42.744, -106.315
Wave of Mutilation,106810066,106802961.0,,42.754, -106.305
Cloud Peak Wilderness Area,107835264,105708960.0,"9,172",44.265, -107.213
Cloud Peak East Cirque,108770936,107835264.0,"13,000",44.384, -107.173
Cloud Peak SE Cirque Faces,108770729,107835264.0,"13,000",44.378, -107.17
Little Horn,108730360,107835264.0,"11,647",44.402, -107.199
Lost Twin Lakes,119396107,107835264.0,"10,341",44.276, -107.137
Black Widow Buttress,119431089,119396107.0,"10,570",44.275, -107.141
Spectator Buttress,119401417,119396107.0,"10,767",44.284, -107.137
Spider's Slab,119411127,119396107.0,"10,756",44.272, -107.138
Spiderweb Wall,119400176,119396107.0,"11,065",44.27, -107.135
Thundercloud Wall,119400220,119396107.0,"10,739",44.271, -107.125
The Merlon,107835284,107835264.0,"12,000",44.38, -107.166
Mount Woolsey,110964144,107835264.0,"12,978",44.401, -107.177
Cody,106157878,105708960.0,"5,100",44.526, -109.061
The Bridge Bands,106159478,106157878.0,"6,200",44.513, -109.157
Central,107248319,106159478.0,,44.513, -109.157
Cowboy Wall,107248307,106159478.0,,44.513, -109.157
East Sector,107248324,106159478.0,"5,403",44.513, -109.156
Mud Wall,107248300,106159478.0,"5,458",44.513, -109.157
West End,107248313,106159478.0,"5,573",44.513, -109.158
Cedar Mountain Boulders,106160486,106157878.0,"5,500",44.508, -109.132
Africa Area,106184352,106160486.0,,44.507, -109.133
Bat Cave Area,106160505,106160486.0,"6,000",44.509, -109.118
Carcass Crag,106693084,106160486.0,"6,200",44.502, -109.132
Antelope Boulder,106706508,106693084.0,"6,200",44.502, -109.132
Dirt Boss Area,106350404,106160486.0,600,44.509, -109.118
The Highway Boulders,109488767,106160486.0,"5,267",44.51, -109.136
Cornflakes Boulder,109499530,109488767.0,"5,217",44.51, -109.136
Unnamed River Boulder,119254777,109488767.0,"4,996",44.513, -109.132
The Maze Area,106184396,106160486.0,"4,970",44.509, -109.132
Devries Crack,108801350,106184396.0,"6,000",44.518, -109.053
Hueco Simulator Boulder,106350443,106184396.0,"6,000",44.528, -109.043
Mid Mountain,106178665,106160486.0,,44.508, -109.133
Sheep Camp,119234901,106160486.0,"5,984",44.506, -109.134
Switchback Boulders,119254271,106160486.0,"5,614",44.508, -109.128
Needs-a-name wall,119309987,119254271.0,"5,364",44.509, -109.124
Wilford's Wretch boulder,119254326,119254271.0,"5,598",44.508, -109.128
Dry Creek,106704759,106157878.0,"5,500",44.556, -109.12
Eco-terrorist,106704763,106704759.0,,44.556, -109.12
East Bridge Bands,106159495,106157878.0,"6,000",44.511, -109.151
The Rest of the East Bridge Bands,107844138,106159495.0,,44.511, -109.151
Soda Fountain Wall,106159498,106159495.0,,44.511, -109.151
West End,113985102,106159495.0,"5,243",44.512, -109.152
The Green Mile,107851456,106157878.0,"6,000",44.508, -109.178
The Island,106157884,106157878.0,"6,000",44.508, -109.177
Just For Kix Wall,107843788,106157878.0,"6,900",44.514, -109.158
Late Bloomer Wall,115435477,106157878.0,"5,649",44.514, -109.159
Lower Canyon Granite,106159177,106157878.0,"5,500",44.503, -109.179
Bowling Ball Wall,109673641,106159177.0,"5,329",44.505, -109.177
The Brown Wall,108508516,106159177.0,"5,376",44.503, -109.18
Cellular Service Wall,109546898,106159177.0,"5,274",44.506, -109.177
The Dragons Den,108342420,106159177.0,"5,175",44.508, -109.176
"The Gully Wall, AKA Dr. Seuss Wall",107806858,106159177.0,"5,120",44.509, -109.172
The Moose Wall,110729953,106159177.0,"5,291",44.506, -109.178
NWCC WALL,109582121,106159177.0,,44.503, -109.179
The Power Station Wall,106159702,106159177.0,"5,500",44.508, -109.172
Riverside Wall,107893787,106159177.0,"5,158",44.507, -109.176
The Single Malt Wall,107761613,106159177.0,"5,143",44.508, -109.176
The Turnstile Wall,110259545,106159177.0,"5,349",44.503, -109.18
What's Cool Area,111443143,106159177.0,"5,402",44.505, -109.177
Rattlesnake/Sphinx,108389369,106157878.0,"5,290",44.514, -109.144
South Fork Shoshone (Ice),105790232,106157878.0,"6,234",44.209, -109.555
The Terrace,112807923,106157878.0,"5,233",44.509, -109.173
Upper Bridge Bands,106160383,106157878.0,"7,500",44.526, -109.061
The Bandit Wall,106160420,106160383.0,"7,500",44.526, -109.061
The Hideout Wall,106160392,106160383.0,"7,500",44.526, -109.061
Devils Tower,105714267,105708960.0,"4,358",44.59, -104.717
Durrance Approach,105714408,105714267.0,"4,515",44.59, -104.715
East and Northeast Buttress Approach,105714417,105714267.0,"4,581",44.591, -104.714
North Face & Northwest Corner,105714501,105714267.0,,44.59, -104.717
South and East Faces,105714384,105714267.0,"4,601",44.59, -104.715
South Face Lower Buttress,105819988,105714267.0,,44.59, -104.717
West Face,105714441,105714267.0,"4,451",44.59, -104.717
Dome Rock/Pedro Mountains,106366047,105708960.0,"8,500",42.297, -106.771
Eastern Big Horns,110773697,105708960.0,"4,000",44.792, -106.963
Bear Gulch,107720942,110773697.0,"7,665",44.632, -107.151
The Barrel,107720946,107720942.0,,44.632, -107.151
Big Willow Crag and Bouldering,109611960,110773697.0,"8,500",44.762, -107.548
Kennel Boulders,109611997,109611960.0,"8,500",44.761, -107.548
Black Flume,105845053,110773697.0,,44.792, -106.963
Bosin Rock,112255525,110773697.0,"7,432",44.623, -107.125
Kevin's Cliff,112255534,112255525.0,"7,412",44.623, -107.125
Burgess Picnic Area,112029284,110773697.0,"8,040",44.785, -107.527
Crazy Woman Crags,106454185,110773697.0,"8,500",44.166, -106.915
Crazy Woman Cliff,106454198,106454185.0,"8,500",44.172, -106.871
Florence Canyon boulders,111572318,110773697.0,"10,728",44.345, -107.173
Highway 14 Pinnacles,106400892,110773697.0,,44.792, -106.963
Bear Rocks,106402957,106400892.0,"9,000",44.707, -107.529
Coyote Rocks,106400898,106400892.0,,44.696, -107.532
Road 10 Rocks,106402789,106400892.0,"9,500",44.638, -107.529
Highway 14a Boulders,111267424,110773697.0,"9,158",44.884, -107.853
Descent Boulders (aka Bluebell Boulders),119078934,111267424.0,"9,158",44.884, -107.853
Back Bluebell Boulders,119078950,119078934.0,"9,158",44.884, -107.853
Intermission Fire boulders (a.k.a. Fruit Basket),111267456,111267424.0,"8,462",44.87, -107.899
NFSR 121 (a.k.a. Phone Booth Boulders),111268087,111267424.0,"9,205",44.769, -107.795
Highway 14a Pinnacles,110773771,110773697.0,"8,698",44.768, -107.628
Bull Creek Canyon,110794931,110773771.0,"9,000",44.768, -107.628
Garden of the Gods,110794752,110773771.0,"9,000",44.768, -107.628
The Torch,106074941,110773771.0,,44.768, -107.628
Highway 16 granite,112173187,110773697.0,"7,700",44.278, -106.949
Crazy Woman Canyon,112323905,112173187.0,"7,807",44.166, -106.915
Crazy Woman Canyon Lower,119537709,112323905.0,"7,808",44.166, -106.915
Boulder A,119537800,119537709.0,"7,809",44.166, -106.915
Boulder B,119537805,119537709.0,"7,809",44.166, -106.915
Incisor Boulder,119538543,119537709.0,"7,809",44.166, -106.915
Trad,119538549,119537709.0,"7,809",44.166, -106.915
Crazy Woman Canyon Upper,119537699,112323905.0,"7,740",44.278, -106.949
South Fork Campground,112173217,112173187.0,"7,684",44.278, -106.947
Lamburger Rock,106076855,110773697.0,"7,843",44.585, -107.154
Mix and Match Wall,107788752,106076855.0,"7,600",44.575, -107.164
Taurine Corridor,106076868,106076855.0,,44.585, -107.154
Little Tongue River Crags,107180970,110773697.0,"7,580",44.792, -107.361
North Beaver Creek Canyon aka Paradise Valley,106073210,110773697.0,"8,564",44.758, -107.797
Piney Creek Canyon,106078451,110773697.0,"5,627",44.557, -106.935
Second Wind Wall,106272833,106078451.0,,44.557, -106.935
The Shipyard,109412212,106078451.0,"6,034",44.559, -106.942
Nautilus Area,113450853,109412212.0,"5,958",44.558, -106.94
Dry Docked Prow,113450838,109412212.0,"6,080",44.559, -106.941
Mytho Wall,113450829,109412212.0,"6,136",44.559, -106.941
Bermuda Triangle,113450822,109412212.0,"6,174",44.559, -106.942
El Nino Wall,113450808,109412212.0,"6,231",44.559, -106.942
The Tugboat,113450792,109412212.0,"6,224",44.559, -106.943
Back Alley,117129758,109412212.0,"6,286",44.56, -106.943
Bozeman's BARmuda,113450797,109412212.0,"6,295",44.56, -106.943
Trailside Wall,106078456,106078451.0,"5,628",44.557, -106.936
Sobchak Security Wall,115143586,110773697.0,"7,755",44.786, -107.525
Steamboat Point,106074856,110773697.0,"7,754",44.809, -107.361
Moderate Wall,106074865,106074856.0,,44.809, -107.361
