name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Bee Wayne,107898858,Boulder,107898616,V4,14,1,4.0,1.0,Crux is the throw from the under cling to the jugs out right!! Fun Fun Fun,{106916104: 4}
Divertido,107898864,Boulder,107898616,V2,14,1,4.0,1.0,Such fun climbing on great steep holds!,{106916104: 4}
Dulceria,107898847,Boulder,107898616,V2-3,14,1,4.0,1.0,"Crux at start, Amazing steep climbing",{106916104: 4}
Pinata,107898829,Boulder,107898616,V2,14,1,4.0,1.0,Amazing steep climbing on awesome pockets!!,{106916104: 4}
Raghorn,107898871,Boulder,107898616,V3+,14,1,3.0,1.0,"Great overhung climbing on fun pockets, leading to a scary slabby top out",{106916104: 3}
Ankle Biter,107898639,Boulder,107898619,V5,12,1,3.0,1.0,"Fun overhung problem, Crux is a left hand throw to a good edge, and then mantling over the top!",{106916104: 3}
Blue,107898659,Boulder,107898619,V0,20,1,4.0,1.0,Jug haul up 20 ft over hang!,{106916104: 4}
Fat Boy,107898711,Boulder,107898619,V3-4,18,1,3.0,1.0,"Starts on side pull on north face of grouse boulder,",{106916104: 3}
Midnight Blues,107898726,Boulder,107898619,V8,18,1,4.0,1.0,Starts on side pull on north face of grouse boulder crux matching small side pull crimp.,{106916104: 4}
Pocket Protector,107898771,Boulder,107898619,V1,17,1,3.0,1.0,Fun traverse on great sharp packets,{106916104: 3}
Ruffed,107898648,Boulder,107898619,V0,20,1,3.0,2.0,Jug haul on amazing holds up steep overhang!,"{106916104: 4, 200520993: 2}"
SharpTailed,107898680,Boulder,107898619,V0,20,1,4.0,1.0,20 ft jug haul up over hang,{106916104: 4}
Two at a Time,107898786,Boulder,107898619,V3,15,1,3.0,1.0,"Crux at the start Good holds, steep climbing!",{106916104: 3}
Warm UP/Traverse boulder,107898792,Boulder,107898619,V-easy,12,1,2.0,1.0,Very easy climbing on north face of big boulder north east of grouse boulder,{106916104: 2}
Green man,107899167,Boulder,107898573,V2-3,15,1,2.0,1.0,The crux is pulling on the wall and making the first move!,{106916104: 2}
Its always Sunny,107899198,Boulder,107898573,V1,17,1,3.0,1.0,Great tall fun warm up,{106916104: 3}
Sweet dee,107898576,Boulder,107898573,V2,15,1,3.0,1.0,Thin slabby climbing leads to great pockets!,{106916104: 3}
Christopher Robin,107898980,Boulder,107898610,V2-3,16,1,2.0,1.0,Exposed move to a good flake high on the face,{106916104: 2}
Eeyore's Arete,107898971,Boulder,107898610,V1-2,14,1,2.0,1.0,Slopey climbing to a crux hop to big jug on arête.,{106916104: 2}
Free the cows,107899282,Boulder,107898610,V1+,22,1,4.0,1.0,Crux is sticking a high foot halfway up Amazing movement and holds!! Mega classic,{106916104: 4}
Huck it like a Heffalump,107899065,Boulder,107898610,V1-2,22,1,4.0,1.0,Low Crux On long moves through Big holds!! Perfect Height to be fun spooky!!,{106916104: 4}
Kite left,107899034,Boulder,107898610,V2,15,1,2.0,1.0,"Good Holds and fun movement, low crux",{106916104: 2}
Kite Right,107899043,Boulder,107898610,V3,15,1,3.0,1.0,Fun tall move between good cripms!,{106916104: 3}
Little red wagon,107899053,Boulder,107898610,V2,15,1,2.0,1.0,"Low crux, fun soft pockets! Big awesome side pull!! ",{106916104: 2}
Roos Boulder,107899314,Boulder,107898610,V0,10,1,1.0,1.0,Small boulder in bottom below tiggers tree house very featured.,{106916104: 1}
Route 1,106419312,Trad,106419298,5.10-,35,1,2.0,2.0,"Crimpy, with a little loose rock and nice side pulls","{107150975: 2, 106083305: 2}"
route 2,106419321,Trad,106419298,5.9,40,1,2.0,1.0,"Fun, delicate start.  Avoid pillar to the right to keep the grade.",{106083305: 2}
[Redacted],106852224,Boulder,106852220,V0,15,1,2.0,2.0,Super solid all the way through. Great problem to warm up on,"{106802910: 2, 105812003: 2}"
B.F.G.,106859401,Boulder,106852220,V1-,25,1,2.3,3.0,"Interpret the name however you want...but the ""B"" definitely stands for ""big"". This is a pretty tall problem with fairly easy moves, with the harder ones being towards the top.","{108256153: 3, 106802910: 2, 105812003: 2}"
Peg Leg,106865769,Boulder,106852220,V1+,10,1,2.5,2.0,Super good moves on good rock. Solid slopers all the way through.,"{106802910: 3, 105812003: 2}"
Rule 18 - Limber up,106852679,Boulder,106852220,V1,20,1,2.7,3.0,Fun and consistent climb through some side pulls and sloping edges. The slopey corner on the left can be used for extra stability if needed. Great Climb,"{106802910: 3, 108256153: 3, 105812003: 2}"
Brush it off,107754105,Boulder,106845911,V3,15,1,2.0,1.0,"Interesting holds on a buldge shaped face. Start sitting on a big sloping ledge with a foot on a good edge out right.    Bump your right hand to the small edge right above the sloper if needed, but make your way to the left and up the slopey face. Top out on the slab in between the rock",{106802910: 2}
Contortionist,106860083,Boulder,106845911,V1+,10,1,1.5,2.0,"A fun, short, and fairly technical problem located in the Motor Skills area next to the ""O"" Face. Both hands start matched in the crimp in the corner, with your foot on the bottom right. The crux is on the first move moving from the crimp, balancing to a tall, crimpy sidepull.","{106802910: 2, 108186179: 1}"
Dusty Trail,111995363,Boulder,106845911,V2,0,1,3.0,1.0,"Maybe 100 yards down the Strube Loop road from the Braille trail, on the right. Roadside, but not a road cut.    Start in the undercling, move to the rail, then make a huge move to the next rail. Top out is jugs. Maybe V3?",{108256153: 3}
Fatties Fit Fine,106852795,Boulder,106845911,V0,15,1,1.0,2.0,Solid fat crack. Moves are easy and the route is fairly short. Super mellow route,"{106802910: 1, 108186179: 1}"
"G'day, Mate",107754089,Boulder,106845911,V0,10,1,2.0,1.0,Great route for warming up. Start on a good sidepull behind a tree using a foot off to the right.   Move out left to good ledges and up to an easy top out.,{106802910: 2}
Human Sacrifice,106865773,Boulder,106845911,V3,10,1,3.5,2.0,"Fun moves. Start matched on the crimp, get to the large sloper in the middle of the boulder and follow the arete to the top. Crux is getting around the nose. Careful with the landing","{108256153: 4, 106802910: 3}"
Mosstafarian,107229543,Boulder,106845911,V2-3,15,1,1.0,1.0,Start with both hands in the undercling at the base and work up and right in the crack using a mix of hand jams and lay backing.  The crux is moving out of the crack to turn the corner towards the top of the boulder.,{107147036: 1}
Not Your Standard Deviation,106900197,Boulder,106845911,V2+,8,1,3.0,2.0,"LOWBALLLLLLLLLLLLL   Short and powerful little boulder. Start on the arete and top out in the center of the boulder.   Few different ways to try, the obvious ones are all in the V2 range","{106802910: 3, 108256153: 3}"
the O Face,106850766,Boulder,106845911,V1,15,1,2.5,2.0,"Start towards the bottom, and use the cracks and ledges to work your way up and over the mantel. No real crux here, but falling from the top could potentially suck","{106802910: 3, 108186179: 2}"
Snake Oil Salesman,106852834,Boulder,106845911,V2-,15,1,1.5,2.0,"Peculiar problem...fairly tight space between the route and a tree. The majority of this route is covered in moss and lichen (please keep it that way!!!!) but the top parts of the crimps have been brushed out, so holds are solid. Kinda balancy","{106802910: 2, 108186179: 1}"
Tales from the Crimp,106868327,Boulder,106845911,V2-3,15,1,1.5,2.0,"Tough second move going from the crimp. When nearing the top, head left to avoid lichen-covered holds. The first few moves are killer, and gets a little easier close to the top","{106802910: 2, 108186179: 1}"
Toilet Water,106865781,Boulder,106845911,V0,7,1,1.0,1.0,"Sit start on slopers down low continue up to top out. Short, stupid and a little fun on the side.",{106802910: 1}
Why the Long Face?,106845916,Boulder,106845911,V1,25,1,1.5,2.0,Solid traverse. Everything is good and relatively low to the ground.     Nice route to get some easy mileage on.,"{106802910: 2, 108186179: 1}"
Asteroid Belt,106900381,Boulder,106810066,V1-,15,1,2.0,1.0,"Mellow little problem, not much to be said here.",{106802910: 2}
Want Some Fries With That Shake?,106900392,Boulder,106810066,V3,10,1,2.0,1.0,"Crux comes about 3 moves up, reaching up for the lip. Fun little problem.",{106802910: 2}
Access,111197283,Sport,107248319,5.5,40,1,1.0,2.0,Easy solo to the top finally put a few bolts in to be safe. Crux if first 10 feet then super easy 5th/4th class run up to set TRs on other routes.,"{109578035: 1, 107568149: 1}"
B Cups,112537400,Sport,107248319,5.9+,50,1,3.0,1.0,Follow incipient seam on good edges and pockets through first two bolts. Cruise through middle section on solid B cup sized pockets. Finish upper bulge using trusting friction feet.,{107568149: 3}
Brother Jugs,112537416,Sport,107248319,5.8+,50,1,2.5,4.0,"Start just right of ""Flake Out"", the prominent crack system on the right side of the lower central wall.   Pockets, edges and some friction get you to the anchors. Good intro to low angle slab","{107464151: 3, 200232403: 3, 107568149: 2, 107064737: 2}"
