area_name,area_id,parent_id,elevation,latitude,longitude,state
Alaska,105909311,0,75,64.737,-150.732,Alaska
Anchorage & South Central Alaska,106905072,105909311,107,61.217,-149.876,Alaska
Anchorage & South Central Ice Climbing,105909315,106905072,75,61.213,-149.867,Alaska
Beer Climbs,111518793,105909315,126,61.496,-149.06,Alaska
Bellicose Peak,111128457,105909315,"7,640",61.241,-149.035,Alaska
Caribou Creek,109775188,105909315,,61.213,-149.867,Alaska
Eklutna Canyon,105909785,105909315,"1,889",61.353,-149.34,Alaska
Homer,107320915,105909315,,61.213,-149.867,Alaska
Hunter Creek,106625621,105909315,229,61.442,-148.81,Alaska
The Amphitheater,106625637,106625621,,61.442,-148.81,Alaska
East Fork,113352563,106625621,683,61.413,-148.813,Alaska
Lower Hunter,111605164,106625621,391,61.43,-148.815,Alaska
West Fork,113352596,106625621,596,61.413,-148.819,Alaska
Kenai Peninsula ice climbing,106360187,105909315,799,60.751,-149.453,Alaska
Grewink Lake and Glacier,110040237,106360187,150,59.605,-151.102,Alaska
Victor Creek,106360191,106360187,480,60.43,-149.371,Alaska
Knik Gorge,113587747,105909315,149,61.384,-148.59,Alaska
Matanuska Glacier,106040546,105909315,"1,590",61.774,-147.754,Alaska
Mount Yukla,107799645,105909315,"7,535",61.213,-149.867,Alaska
Nantina Point,107943863,105909315,"6,850",61.213,-149.867,Alaska
Ninilchik & Deep Creek,112539145,105909315,94,60.035,-151.696,Alaska
O'Malley Peak,113352632,105909315,"3,860",61.105,-149.581,Alaska
Portage,105955086,105909315,33,60.881,-148.91,Alaska
Seward Highway,105909323,105909315,75,61.0,-149.648,Alaska
"Snowbird Glacier, Talkeetna Mountains",106470514,105909315,,61.213,-149.867,Alaska
Valdez,107034714,105909315,"3,708",61.125,-145.891,Alaska
19 Mile Wall,108941763,107034714,967,61.115,-145.803,Alaska
Bear Creek,108027071,107034714,565,61.101,-145.866,Alaska
Heiden Canyon Zone,112802918,107034714,887,61.107,-145.753,Alaska
Hole In The Wall,108939309,107034714,399,61.041,-145.911,Alaska
Keystone Canyon,107079734,107034714,400,61.125,-145.891,Alaska
Keystone Canyon Tunnel Wall,108623336,107034714,632,61.085,-145.893,Alaska
Mineral Creek Ice Climbs,108616046,107034714,505,61.153,-146.352,Alaska
Sheep Creek,108940874,107034714,899,61.123,-145.826,Alaska
Shwall,113881098,107034714,138,61.142,-146.367,Alaska
Snowslide Gulch,110021414,107034714,,61.125,-145.891,Alaska
Solomon Gulch,108617447,107034714,197,61.082,-146.305,Alaska
Thompson Pass,107102960,107034714,"2,300",61.159,-145.747,Alaska
27 Mile Pk,110795848,107102960,"5,250",61.158,-145.772,Alaska
Cracked Ice,111013744,107102960,"6,300",61.157,-145.587,Alaska
Girls Mt.,110791867,107102960,"6,134",61.182,-145.775,Alaska
Little Matterhorn,110862621,107102960,"5,100",61.159,-145.747,Alaska
Loveland PK,110915855,107102960,"5,655",61.139,-145.803,Alaska
Sapphire PK,110787776,107102960,"6,300",61.156,-145.796,Alaska
Barbara Falls,116613587,106905072,554,61.286,-149.476,Alaska
Chickaloon Boulders,106905178,106905072,738,61.765,-148.534,Alaska
The House of Bouldering,106906353,106905178,741,61.764,-148.536,Alaska
Supernova and Pop Start Boulders.,106906347,106905178,745,61.765,-148.534,Alaska
The V1 Boulder,107171013,106905178,,61.765,-148.534,Alaska
Deep Water Bay,110562421,106905072,37,60.483,-148.386,Alaska
Eagle River,109175270,106905072,599,61.208,-149.252,Alaska
Dew Mound,110682958,109175270,760,61.205,-149.252,Alaska
Arrowhead Wall,110682997,110682958,,61.205,-149.252,Alaska
Dew Mound - Lower Wall,110682964,110682958,,61.205,-149.252,Alaska
"Frostbite Boulders- Anchorage, AK",106436706,109175270,604,61.21,-149.254,Alaska
Kiliak Wall,108339771,109175270,824,61.211,-149.25,Alaska
East Twin Peak,110890814,106905072,"5,840",61.445,-149.145,Alaska
Girdwood- Ryan's Rip,108969342,106905072,"1,927",60.96,-149.085,Alaska
Goat Rock,113572394,106905072,"5,233",61.443,-149.168,Alaska
Hatcher Pass,106207101,106905072,"3,773",61.813,-149.255,Alaska
"Archangel Valley Bouldering - Diamond, Fairangel, Monolith, Roadside, Indianhead",108216560,106207101,"2,913",61.812,-149.235,Alaska
Archangel Bouldering,106931452,108216560,"2,927",61.813,-149.233,Alaska
Aldershade,109088251,106931452,"2,192",61.788,-149.203,Alaska
Diamond South Boulders,106976435,106931452,,61.813,-149.233,Alaska
Dimond North,106931487,106931452,"3,359",61.816,-149.249,Alaska
Fairangel Valley Area,106931477,106931452,"3,529",61.828,-149.244,Alaska
Girlfriend Boulder,108356346,106931477,"3,189",61.818,-149.254,Alaska
Indian Head Boulder,109091842,106931452,,61.813,-149.233,Alaska
Lost World/Middle Earth,109301288,106931452,"2,831",61.81,-149.229,Alaska
Monolith Area,119402312,106931452,"3,561",61.825,-149.245,Alaska
Zoolander & Campus Boulders,119402345,119402312,"3,561",61.825,-149.244,Alaska
Archangel Valley Sport and Traditional Climbing,106207107,106207101,"3,037",61.817,-149.238,Alaska
3rd Generation Wall,108036829,106207107,,61.817,-149.238,Alaska
Aurora Slab,106801478,106207107,"4,245",61.81,-149.25,Alaska
Catch The Wave,108589786,106207107,,61.817,-149.238,Alaska
The Diamond,106207116,106207107,"3,177",61.815,-149.243,Alaska
Fairangel Gap and Valley,108254468,106207107,"4,275",61.816,-149.27,Alaska
BPR Wall,110696690,108254468,"5,311",61.823,-149.264,Alaska
The Sugar Cube,114556640,108254468,"4,375",61.816,-149.272,Alaska
Tin Can Rock,108255973,108254468,,61.816,-149.27,Alaska
Tunnel Vision Wall,108787479,108254468,"3,496",61.82,-149.258,Alaska
Fairangel Walls,108244704,106207107,"3,037",61.817,-149.238,Alaska
Wishbone,113288839,108244704,"3,572",61.827,-149.244,Alaska
The Gargoyle,106773769,106207107,,61.817,-149.238,Alaska
Green Gully,108036717,106207107,"3,420",61.814,-149.244,Alaska
The Guardian,113227087,106207107,"4,000",61.81,-149.25,Alaska
The Jungle Gym,108244709,106207107,,61.817,-149.238,Alaska
Lane Prospect Area,113377338,106207107,"4,818",61.843,-149.233,Alaska
Bear's Den,113377344,113377338,"4,500",61.844,-149.232,Alaska
Rogers Roof,115146251,113377338,"4,837",61.843,-149.237,Alaska
The Lost Wall,108417456,106207107,"3,865",61.811,-149.25,Alaska
The Monolith,106207122,106207107,"3,407",61.825,-149.243,Alaska
PBR Wall,115185784,106207107,"3,605",61.812,-149.245,Alaska
Std walls,108244642,106207107,,61.817,-149.238,Alaska
Tarzan's Temple,108036810,106207107,,61.813,-149.268,Alaska
Warmup Wall,108244674,106207107,,61.817,-149.238,Alaska
The White Spot,109190591,106207107,,61.813,-149.243,Alaska
Yellow Brick Road,113227365,106207107,"4,000",61.81,-149.252,Alaska
Zulu Wall,106795191,106207107,,61.296,-149.592,Alaska
Glacier Creek Drainage and Snowbird Glacier,109699901,106207101,"5,000",61.758,-149.295,Alaska
Because it's there Wall,106470541,109699901,,61.758,-149.295,Alaska
Didilkama,109700731,109699901,"6,100",61.838,-149.215,Alaska
Glacier Creek Bouldering,110782050,109699901,425,61.595,-149.442,Alaska
Lower Spire,113446826,109699901,"6,029",61.846,-149.189,Alaska
Northwest face of Lower spire,110688071,109699901,"5,000",61.762,-149.265,Alaska
Nunatak,111959100,109699901,"4,191",61.838,-149.258,Alaska
Whale Beak Buttress,113367287,109699901,"5,494",61.84,-149.214,Alaska
Independence Mine Bouldering and Climbing,106931730,106207101,"5,025",61.837,-149.27,Alaska
Black Face Boulder,111935663,106931730,"4,927",61.838,-149.27,Alaska
Captain Kaboom Boulders,107267919,106931730,,61.837,-149.27,Alaska
Crucifix Boulder,107267968,106931730,,61.837,-149.27,Alaska
The Cube Boulder,108274527,106931730,,61.837,-149.27,Alaska
Gold Cord Lake,117946914,106931730,"3,966",61.797,-149.263,Alaska
Independence Crag,109080449,106931730,,61.792,-149.295,Alaska
King Louie Boulder,119048588,106931730,"3,732",61.792,-149.292,Alaska
The Mine,114940351,106931730,"4,462",61.803,-149.291,Alaska
Moai Wall,111992708,106931730,"5,149",61.837,-149.278,Alaska
Phantasia Boulders,107267931,106931730,,61.837,-149.27,Alaska
Pinnacle area,113551426,106931730,"5,418",61.807,-149.262,Alaska
The Pinnacle,113551460,113551426,"5,351",61.808,-149.262,Alaska
Ramparts Wall,114946004,106931730,"4,448",61.792,-149.298,Alaska
The Red Scare Boulder,108273116,106931730,,61.837,-149.27,Alaska
Renaissance Wall,117325924,106931730,"4,667",61.804,-149.282,Alaska
Such Awesome,108273089,106931730,,61.837,-149.27,Alaska
Upper Tier walls,109148620,106931730,"4,500",61.837,-149.27,Alaska
Mint Area,118586602,106207101,"4,947",61.864,-149.07,Alaska
Troublemint Peak,118611883,118586602,"6,634",61.859,-149.043,Alaska
Reed Lakes Bouldering and Climbing,106207110,106207101,"3,680",61.83,-149.19,Alaska
The Barnyard,110850477,106207110,"3,500",61.831,-149.172,Alaska
Birds of Prey,113091644,106207110,"3,461",61.831,-149.181,Alaska
The Crack Garden,111999938,106207110,"3,358",61.817,-149.209,Alaska
The Crack Garden,111999973,111999938,"3,266",61.817,-149.209,Alaska
Garden Party Buttress,111999954,111999938,"3,306",61.817,-149.209,Alaska
Hanging Garden,112043883,111999938,"3,345",61.817,-149.209,Alaska
Dermatologist's Dream Wall,106803070,106207110,,61.83,-149.183,Alaska
Falcon Slab/Zydeco Wall,109230288,106207110,"3,561",61.83,-149.173,Alaska
Fatal Attraction Wall,113456369,106207110,"3,397",61.829,-149.172,Alaska
The High Dive,106801265,106207110,,61.844,-149.161,Alaska
Inferno wall,110964476,106207110,,61.828,-149.174,Alaska
Mile High Wall,109707975,106207110,"4,418",61.834,-149.181,Alaska
Main Wall,117390726,109707975,"5,304",61.845,-149.185,Alaska
The Shield,115134010,109707975,"4,415",61.834,-149.181,Alaska
Two toke tower,109775832,109707975,"5,650",61.834,-149.181,Alaska
Mint hut,117788360,106207110,"4,833",61.861,-149.089,Alaska
Monkey Face,113244939,106207110,"4,000",61.844,-149.165,Alaska
Outpost Peak,119623835,106207110,"5,693",61.839,-149.144,Alaska
Pulp Culture Wall,110864868,106207110,"3,500",61.829,-149.173,Alaska
Reed Creek Wall,110850597,106207110,"3,500",61.83,-149.175,Alaska
Reed Lakes Bouldering,106931717,106207110,"3,435",61.83,-149.175,Alaska
Lower Reed Lake Boulders,109419015,106931717,"3,908",61.838,-149.166,Alaska
trailside boulder,109419040,109419015,9,61.839,-149.162,Alaska
Lower Reed Valley Bouldering,110650757,106931717,"2,672",61.824,-149.183,Alaska
Nugget Boulder,109126377,110650757,"2,646",61.823,-149.183,Alaska
Snowbird Slab Talus,110650766,110650757,"2,836",61.826,-149.182,Alaska
Poetry Boulder,110651958,110650766,,61.826,-149.182,Alaska
SnowBird Slab/Cornerstone,106806463,106207110,,61.83,-149.19,Alaska
Spradlin spire,110653660,106207110,"4,685",61.842,-149.114,Alaska
Long Lake (Revised),107171034,106905072,,61.217,-149.876,Alaska
Lower Long Lake Boulders,107171045,107171034,,61.217,-149.876,Alaska
Upper Long Lake,107171040,107171034,,61.217,-149.876,Alaska
Metal Creek/Carpenter Creek/Friday Creek,119578819,106905072,"7,465",61.635,-148.477,Alaska
Ice Cream Cone Mountain/Skybuster Peak,119578853,119578819,"8,678",61.636,-148.468,Alaska
O'Malley Peak,113352664,106905072,"4,819",61.058,-149.602,Alaska
Portage,105849288,106905072,356,60.762,-148.845,Alaska
Bear Valley Wall,119612316,105849288,224,60.791,-148.824,Alaska
Byron Glacier Bouldering,108256000,105849288,350,60.763,-148.846,Alaska
The Anvil,117609289,108256000,352,60.763,-148.846,Alaska
The Arkenstone,117619816,108256000,515,60.762,-148.851,Alaska
Bliss Boulder,119124116,108256000,387,60.765,-148.846,Alaska
The Ego & The Eggo,119169403,108256000,615,60.759,-148.851,Alaska
The Erotics Boulder,119124009,108256000,556,60.76,-148.849,Alaska
The Grindstone,108256006,108256000,,60.763,-148.846,Alaska
Ninja Boulders,119169514,108256000,694,60.759,-148.853,Alaska
The Shadows Boulder,119124324,108256000,607,60.76,-148.851,Alaska
The Trolls,117619765,108256000,353,60.763,-148.846,Alaska
Byron Glacier Wall,108973037,105849288,387,60.758,-148.848,Alaska
Powerline Boulders,109421027,106905072,"2,511",61.07,-149.598,Alaska
Bowl Boulders,119026794,109421027,"2,740",61.066,-149.601,Alaska
The Dilbert Boulder,119026870,119026794,"2,739",61.066,-149.601,Alaska
Killer Sheep Boulder,119027361,119026794,"2,751",61.066,-149.601,Alaska
Sliver Boulder,119027211,119026794,"2,740",61.066,-149.601,Alaska
Forgotten Boulder,110630856,109421027,,61.07,-149.598,Alaska
Manslap Boulder,110630732,109421027,,61.07,-149.598,Alaska
Trailside Boulder 1,109426160,109421027,"2,362",61.076,-149.615,Alaska
Trailside Boulder 2,109426174,109421027,"2,382",61.074,-149.613,Alaska
Ptarmigan Peak,107832112,106905072,"4,879",61.059,-149.605,Alaska
Purinton Creek,109150185,106905072,"2,276",61.812,-148.138,Alaska
Creekside Cliff,109151163,109150185,"2,266",61.812,-148.139,Alaska
Left Wall,109202235,109150185,"2,379",61.813,-148.142,Alaska
Lower Walls,109206415,109150185,"2,262",61.812,-148.142,Alaska
Upper Center Wall,109202466,109150185,"2,383",61.813,-148.141,Alaska
Upper Right Wall,109202411,109150185,"2,319",61.812,-148.14,Alaska
Ravine Lake Climbing Areas,109051152,106905072,"2,000",61.805,-148.298,Alaska
Ravine Lake Main Walls,107206113,109051152,"1,000",61.805,-148.293,Alaska
Weekender Bomb Boulder,108360774,109051152,"1,891",61.805,-148.303,Alaska
Weekender Wall,109051313,109051152,"2,000",61.806,-148.306,Alaska
"Service Boulder, Anchorage, AK",106458659,106905072,458,61.142,-149.764,Alaska
Seward Highway,105991968,106905072,16,61.058,-149.798,Alaska
Bermuda Triangle,107154712,105991968,20,61.009,-149.696,Alaska
Bird Creek Boulders,106969433,105991968,,61.058,-149.798,Alaska
Fisherman Boulder,117285504,106969433,91,60.974,-149.466,Alaska
Main Boulders,117276339,106969433,91,60.974,-149.469,Alaska
Boy Scout Rocks,108167356,105991968,150,61.018,-149.738,Alaska
Main Area,108167366,108167356,,61.018,-149.738,Alaska
Upper Boy Scout Rock,108167426,108167356,,61.018,-149.738,Alaska
Crack in the Woods,107154730,105991968,60,61.024,-149.748,Alaska
Crack In The Woods Roadcut,108945715,107154730,10,61.024,-149.749,Alaska
Lower Crack in the Woods,107154736,107154730,,61.024,-149.748,Alaska
Upper Crack in the Woods,107154733,107154730,,61.024,-149.748,Alaska
Der Rinecrag,108949928,105991968,329,61.015,-149.715,Alaska
Dino Head,107137336,105991968,100,60.983,-149.59,Alaska
Fundamentalist's Cut,107154740,105991968,45,61.017,-149.734,Alaska
Goats Head Soup,108158352,105991968,94,60.986,-149.611,Alaska
Good Times Wall,108949117,105991968,100,61.021,-149.745,Alaska
Good Vibes Wall,107133133,105991968,20,61.018,-149.739,Alaska
Grunge Wall - Mile 1.3,105849393,105991968,,61.058,-149.798,Alaska
Heifer Boulder,106968569,105991968,,61.058,-149.798,Alaska
High Vibes Wall,108949288,105991968,104,61.018,-149.738,Alaska
Indianhouse Area,112846153,105991968,"3,803",61.003,-149.55,Alaska
Falls Peak,112846205,112846153,"3,772",60.998,-149.563,Alaska
Jewel In The Rough,108952890,105991968,780,61.007,-149.67,Alaska
King Dome - Mile 1.15,105849292,105991968,,61.058,-149.798,Alaska
Morning Star Gully,108112320,105991968,,61.007,-149.686,Alaska
Mosquito Ledge,108969473,105991968,208,60.881,-149.039,Alaska
Northwest Passage,107154745,105991968,246,61.006,-149.682,Alaska
Party World,107133169,105991968,50,60.99,-149.618,Alaska
Pivot Point,107137398,105991968,100,61.022,-149.743,Alaska
Lefty Area,108947062,107137398,80,61.021,-149.744,Alaska
Lower Pivot Point,107137440,107137398,,61.022,-149.743,Alaska
Teenage Dome,112029913,107137398,218,61.022,-149.743,Alaska
Upper Pivot Point,107137436,107137398,,61.022,-149.743,Alaska
Red Gate,107137768,105991968,20,61.058,-149.798,Alaska
Resolution Bluff,108158294,105991968,357,61.015,-149.716,Alaska
Sea Cave,107152858,105991968,2,61.035,-149.777,Alaska
Shot Rock,107167848,105991968,51,61.021,-149.744,Alaska
Shriek of the Mutilated,108967616,105991968,97,60.93,-149.345,Alaska
Sky Pilot Areas,108953770,105991968,153,61.004,-149.67,Alaska
Sky Pilot,108953988,108953770,128,61.004,-149.67,Alaska
Sky Pilot Bouldering,119286858,108953770,110,61.004,-149.67,Alaska
Sky pilot warm up,119286867,119286858,105,61.004,-149.67,Alaska
Suns out guns out,119292434,119286858,115,61.004,-149.67,Alaska
Sky Pilot Roadcut,108953877,108953770,208,61.004,-149.67,Alaska
Upper Sky Pilot,108953871,108953770,120,61.004,-149.67,Alaska
Spring Fling,108953234,105991968,10,61.006,-149.682,Alaska
Sunshine Ridge,106454168,105991968,244,61.006,-149.686,Alaska
Tram Rock,108968584,105991968,375,60.968,-149.093,Alaska
The Tree Fort Area and Glak’s Place,112910714,105991968,23,61.015,-149.726,Alaska
Glak’s Place and Tree Fort,114444077,112910714,23,61.015,-149.726,Alaska
Twinkle Toes Area,107944947,105991968,,61.058,-149.798,Alaska
Ursa Minor,114485311,105991968,"2,614",61.016,-149.593,Alaska
Weeping Wall,108949790,105991968,20,61.016,-149.725,Alaska
Windy Corner,108699606,105991968,,61.058,-149.798,Alaska
Valdez Area Rock,107214554,106905072,24,61.131,-146.351,Alaska
101 Wall (Worthington),113385462,107214554,"2,610",61.171,-145.724,Alaska
19 Mile Wall,108630601,107214554,988,61.115,-145.802,Alaska
27 Mile,107977214,107214554,"1,500",61.131,-146.351,Alaska
43 Mile,111950619,107214554,"1,213",61.242,-145.344,Alaska
43 mile crag,118935624,107214554,"1,272",61.241,-145.347,Alaska
Lower Wall,118936133,118935624,"1,256",61.243,-145.344,Alaska
McAlpine Sector,118935657,118935624,"1,276",61.242,-145.346,Alaska
Upper Wall,118935939,118935624,"1,267",61.243,-145.345,Alaska
Airport Heights,108600926,107214554,237,61.14,-146.22,Alaska
Area 51,112344758,107214554,"2,115",61.04,-146.312,Alaska
Blueberry Block,107215810,107214554,"2,111",61.124,-145.674,Alaska
The Castle,117710664,107214554,"2,687",61.171,-145.726,Alaska
Cracked ice,117722248,107214554,"4,945",61.16,-145.6,Alaska
Department of Defense Wall,110945635,107214554,"2,388",61.123,-145.72,Alaska
Dock Point Park,108627018,107214554,45,61.128,-146.336,Alaska
Glacier View,119271512,107214554,"2,898",61.171,-145.73,Alaska
Lookout Rock!!,108603938,107214554,471,61.14,-146.221,Alaska
Panorama Point,108603926,107214554,439,61.14,-146.22,Alaska
Raspberry Rock,108921535,107214554,"2,112",61.122,-145.689,Alaska
Raven Rock,108603930,107214554,383,61.14,-146.22,Alaska
Republic of Boulder,108603941,107214554,"2,681",61.173,-145.724,Alaska
The Sunny Side,108603946,107214554,"2,672",61.172,-145.725,Alaska
Tiekle Wall,108925217,107214554,"1,969",61.311,-145.313,Alaska
Tsaina River Gorge Wall,108923659,107214554,"1,527",61.208,-145.47,Alaska
The Tunnel Wall,108602753,107214554,300,61.085,-145.893,Alaska
Valdez Glacier,112344764,107214554,439,61.179,-146.176,Alaska
Valdez Glacier Campground,107214561,107214554,200,61.139,-146.205,Alaska
Valdez Glacier Rock Quarry,112304647,107214554,200,61.151,-146.177,Alaska
Worthington Ridge Trail Routes,112363822,107214554,"2,670",61.166,-145.727,Alaska
The Wedge,107167925,106905072,"3,531",61.079,-149.586,Alaska
West Twin Peak,110891348,106905072,"5,472",61.441,-149.159,Alaska
Wookie Wall/Weiner Lake,106905199,106905072,"1,955",61.811,-148.166,Alaska
Weiner Lake Bouldering,106905205,106905199,"1,988",61.812,-148.166,Alaska
The Cave Area,114392124,106905205,"1,994",61.812,-148.166,Alaska
The Hobbit Boulder,114392284,106905205,"2,175",61.813,-148.166,Alaska
Weiner Lake Routes,106905214,106905199,"2,351",61.813,-148.166,Alaska
Eagle Head,114453817,106905214,"1,993",61.812,-148.169,Alaska
Left Cave,108736078,106905214,,61.813,-148.167,Alaska
Left Side Walls,108974648,106905214,"2,302",61.817,-148.172,Alaska
Right Cave,108736159,106905214,,61.813,-148.167,Alaska
Right Side Walls,108974645,106905214,"1,944",61.811,-148.159,Alaska
South Park Wall,109985180,106905214,"2,236",61.812,-148.16,Alaska
Fairbanks and Vicinity,106905115,105909311,438,64.821,-147.744,Alaska
Angel Creek Rocks,105982597,106905115,"1,487",65.028,-146.197,Alaska
First Rock,106838983,105982597,,65.028,-146.197,Alaska
Main Rock,106011108,105982597,"1,004",65.011,-146.217,Alaska
Pump Master Rock,106838912,105982597,,65.028,-146.197,Alaska
Teenage Area,105982615,105982597,,65.028,-146.197,Alaska
Dragonfly Creek,108641282,106905115,"1,513",63.796,-148.924,Alaska
Fox Creek,116240652,106905115,"1,475",63.78,-148.91,Alaska
Granite Tors,105975526,106905115,"2,872",64.854,-146.271,Alaska
Asgard Tor,107790415,105975526,,64.854,-146.271,Alaska
Near Tors: Lizard's Eye,107782500,105975526,,64.854,-146.271,Alaska
Near Tors: Rock 1,105975531,105975526,,64.854,-146.271,Alaska
Second Coming Tor,108187199,105975526,,64.854,-146.271,Alaska
Grapefruit Rocks,110429126,106905115,"1,013",65.291,-148.176,Alaska
East Grapefruit Rocks,105974971,110429126,"1,647",65.293,-148.16,Alaska
Beggar's Canyon,106764353,105974971,,65.293,-148.16,Alaska
Crackland,105978578,105974971,,65.293,-148.16,Alaska
Darkside Dihedral Area,114974155,105974971,812,65.296,-148.139,Alaska
Falcon Rock,106011495,105974971,,65.293,-148.16,Alaska
First Rock,113682340,105974971,"1,646",65.293,-148.16,Alaska
Gorilla's Head,108587012,105974971,"1,744",65.356,-147.011,Alaska
Lower Pop Rock,106174008,105974971,,65.293,-148.16,Alaska
Morning Wall (Back Wall),105998291,105974971,,65.293,-148.16,Alaska
Peanut Butter,108587130,105974971,"1,836",64.96,-147.516,Alaska
Twin Towers,105974974,105974971,,65.293,-148.16,Alaska
Upper Pop Rock,106174025,105974971,,65.293,-148.16,Alaska
West Grapefruit Rocks,105985197,110429126,"1,019",65.287,-148.19,Alaska
First Crag,105985201,105985197,,65.287,-148.19,Alaska
Hidden Valley,119834301,105985197,897,65.286,-148.205,Alaska
