grade,rank
V-easy,0
V0-,1
V0,2
V0+,3
V0-1,4
V1-,5
V1,6
V1+,7
V1-2,8
V2-,9
V2,10
V2+,11
V2-3,12
V3-,13
V3,14
V3+,15
V3-4,16
V4-,17
V4,18
V4+,19
V4-5,20
V5-,21
V5,22
V5+,23
V5-6,24
V6-,25
V6,26
V6+,27
V6-7,28
V7-,29
V7,30
V7+,31
V7-8,32
V8-,33
V8,34
V8+,35
V8-9,36
V9-,37
V9,38
V9+,39
V9-10,40
V10-,41
V10,42
V10+,43
V10-11,44
V11-,45
V11,46
V11+,47
V11-12,48
V12-,49
V12,50
V12+,51
V12-13,52
V13-,53
V13,54
V13+,55
V13-14,56
V14-,57
V14,58
V14+,59
V14-15,60
V15-,61
V15,62
V15+,63
V15-16,64
V16-,65
V16,66
V16+,67
V16-17,68
V17-,69
V17,70
V?,71
