area_name,area_id,parent_id,elevation,latitude,longitude,state
Alabama,105905173,0,572,33.760999999999996,-86.88,Alabama
BankHead Forest/ Thompson Creek Trail,107605102,105905173,,33.760999999999996,-86.88,Alabama
The Journey Area,107605155,107605102,,33.760999999999996,-86.88,Alabama
Will Robinson Area,107605138,107605102,,33.760999999999996,-86.88,Alabama
Bankhead Forest/Ship Rock,106248455,105905173,,33.760999999999996,-86.88,Alabama
bankhead forest/sipsey picnic area,108146250,105905173,,33.760999999999996,-86.88,Alabama
Cherokee Bluffs,106833394,105905173,397,32.671,-85.90799999999999,Alabama
Chewacla State Park,109749052,105905173,501,32.549,-85.478,Alabama
Colbert Heights,106222485,105905173,842,34.678000000000004,-87.705,Alabama
Cliffline.,106322475,106222485,,34.678000000000004,-87.705,Alabama
Main Boulder Area,106322465,106222485,,34.678000000000004,-87.705,Alabama
Overhang,106322471,106222485,,34.678000000000004,-87.705,Alabama
Slabs,106322456,106222485,,34.678000000000004,-87.705,Alabama
Coosa Slabs,106087709,105905173,204,32.613,-86.25200000000001,Alabama
The Dumps,110705691,105905173,"1,048",34.484,-86.27799999999999,Alabama
Fort Rucker Climbing Wall,114296768,105905173,351,31.325,-85.71799999999999,Alabama
Griffin Falls,105923472,105905173,731,34.288000000000004,-85.92399999999999,Alabama
Gulf State Park-Boulder Park,114570504,105905173,12,30.275,-87.60700000000001,Alabama
Home Crag Boulders  a.k.a. Sherriff Boulders,106363568,105905173,,33.760999999999996,-86.88,Alabama
Horse Pens 40,106094862,105905173,"1,295",33.921,-86.30799999999999,Alabama
Deck Area/Front Slabs,107366748,106094862,,33.929,-86.249,Alabama
Flat Roof Boulder,111547302,106094862,"1,288",33.92,-86.31,Alabama
Hang Loose Area,107368521,106094862,,33.929,-86.249,Alabama
HP Canyon,108475590,106094862,"1,402",33.92,-86.309,Alabama
Kiss boulders,107370074,106094862,,33.929,-86.249,Alabama
The Middle,112418061,106094862,"1,250",33.921,-86.309,Alabama
Out of the Box area,117742739,112418061,"1,409",33.92,-86.309,Alabama
Skywalker Area,112418067,112418061,"1,254",33.921,-86.309,Alabama
The Middle/ Flow Area,107409381,106094862,,33.921,-86.309,Alabama
Mortal Combat Area/ Light Post Boulders,107370149,106094862,,33.929,-86.249,Alabama
Mortal Combat Area/ Mortal Combat boulders,107370335,106094862,,33.929,-86.249,Alabama
Mulletino Boulder.,107366734,106094862,,33.921,-86.30799999999999,Alabama
Point Boulders (Crown Boulder),111400232,106094862,"1,370",33.92,-86.311,Alabama
Point Boulders (Eight Ball Boulder),111400079,106094862,"1,369",33.92,-86.311,Alabama
Point Boulders (Highlife Boulder),111400091,106094862,"1,369",33.92,-86.311,Alabama
Point Boulders (Redneck Boulder),111663596,106094862,"1,296",33.92,-86.311,Alabama
Roadside Boulders/Cadillac Thrills Boulder,118272556,106094862,"1,416",33.921,-86.30799999999999,Alabama
Slider Boulders,108029336,106094862,"1,317",33.92,-86.31,Alabama
The Lady Slipper Boulder,108029415,108029336,,33.94,-86.238,Alabama
The Slider Boulder,108029340,108029336,,33.94,-86.238,Alabama
Uniball Area,111663640,108029336,"1,283",33.92,-86.311,Alabama
Spirit Area,107367447,106094862,,33.921,-86.30799999999999,Alabama
Supa Coola Area,107418665,106094862,,33.929,-86.249,Alabama
Supa Coola Area/ Millipede Boulder,107418508,106094862,,33.921,-86.309,Alabama
Suspicion Boulders,107368492,106094862,,33.929,-86.249,Alabama
Ten Pins Area,107366669,106094862,,33.921,-86.30799999999999,Alabama
Turtle Rock Area/ Corridors Area,107373214,106094862,,33.921,-86.309,Alabama
Turtle Rock Area/ Landslide Boulders,107387135,106094862,,33.929,-86.249,Alabama
Turtle Rock Area/ Panty Shields Boulder,107387221,106094862,,33.921,-86.309,Alabama
Turtle Rock Area/ Slabolicious Block,107380424,106094862,,33.929,-86.249,Alabama
Turtle Rock Area/ Small Stage Boulder,107372845,106094862,,33.929,-86.249,Alabama
Turtle Rock Area/ Turtle Boulder,107388349,106094862,,33.921,-86.309,Alabama
Turtle Rock Area/ Warning Signs Boulder,107378742,106094862,,33.921,-86.309,Alabama
Turtle Rock Area/ Whiplash Boulders.,107387366,106094862,,33.921,-86.309,Alabama
"Turtle Rock, Big Boulder",107372766,106094862,,33.929,-86.249,Alabama
Turtle Rock/ Natural Boulder,107380328,106094862,,33.921,-86.309,Alabama
Vandala Boulder,107366720,106094862,,33.929,-86.249,Alabama
The Wash,107367802,106094862,,33.929,-86.249,Alabama
Hospital Boulders,107890555,105905173,"1,127",34.076,-86.01799999999999,Alabama
Barn Area,112428108,107890555,"1,140",34.077,-86.01799999999999,Alabama
Eddie Area,112428114,107890555,"1,130",34.077,-86.01799999999999,Alabama
Lower Area,112428119,107890555,"1,079",34.077,-86.01700000000001,Alabama
Hurricane Creek Park,106161967,105905173,"1,004",34.287,-86.895,Alabama
Hurricane Creek Park (Tuscaloosa),115965038,105905173,242,33.214,-87.45,Alabama
Hurricane Creek Bouldering Problems,116072797,115965038,245,33.214,-87.45100000000001,Alabama
"I'm ""Lichen"" these Cliffs Area",116072925,116072797,271,33.214,-87.45,Alabama
"""Gneiss"" Cliff",116072929,116072925,261,33.214,-87.45,Alabama
Moss Cliff,116072951,116072925,262,33.214,-87.45,Alabama
Peace Cave,116540932,116072797,226,33.214,-87.45100000000001,Alabama
Peace Cave,116541185,116540932,220,33.214,-87.45100000000001,Alabama
Shattered Cliffs,116541205,116540932,219,33.215,-87.45100000000001,Alabama
The Rocks that are Higher than I Bouldering Area,116072812,116072797,248,33.214,-87.449,Alabama
AL Rock,116072897,116072812,246,33.214,-87.449,Alabama
All The Cave,116485013,116072812,250,33.214,-87.45,Alabama
Joelder,116072819,116072812,238,33.214,-87.449,Alabama
The Rock that is Higher than I,116072856,116072812,248,33.214,-87.449,Alabama
Roof Rock Area,116484817,116072797,229,33.215,-87.45200000000001,Alabama
Near Side Cliffs,116541090,116484817,264,33.215,-87.454,Alabama
Roof Rock,116540980,116484817,229,33.215,-87.45200000000001,Alabama
Jamestown,105905660,105905173,877,34.411,-85.574,Alabama
Harvest Wall,105905791,105905660,,34.411,-85.574,Alabama
Unnamed Wall,107582330,105905660,,34.411,-85.574,Alabama
White Wall,105905743,105905660,,34.411,-85.574,Alabama
Winter Wall,105907115,105905660,,34.411,-85.574,Alabama
LaGrange,106328004,105905173,50,34.65,-87.56,Alabama
Lake Smith,110664560,105905173,512,34.05,-87.025,Alabama
The Cave,110664715,110664560,532,34.0,-87.28399999999999,Alabama
Little River Canyon,112396116,105905173,938,34.359,-85.66799999999999,Alabama
Brandnewbia,116089803,112396116,"1,135",34.358000000000004,-85.676,Alabama
The Concave,112396146,112396116,"1,225",34.379,-85.631,Alabama
Grace Falls,114324148,112396116,878,34.359,-85.66799999999999,Alabama
Jungle Gym/Grey Wall,112786034,112396116,"1,116",34.366,-85.661,Alabama
Lizard Wall,112844495,112396116,"1,204",34.359,-85.67,Alabama
Lynn Overlook,118586540,112396116,"1,164",34.383,-85.62899999999999,Alabama
Ninja Wall,112787009,112396116,"1,205",34.336999999999996,-85.67299999999999,Alabama
Spider Wall,114324063,112396116,878,34.359,-85.66799999999999,Alabama
Toomsuba,113938696,112396116,878,34.364000000000004,-85.65700000000001,Alabama
Tourist Wall,112789965,112396116,"1,122",34.365,-85.652,Alabama
The Crazy House,112790030,112789965,"1,132",34.364000000000004,-85.654,Alabama
Rocktoberfest,112789973,112789965,"1,100",34.365,-85.652,Alabama
Unknown Wall,118060520,112789965,"1,104",34.364000000000004,-85.654,Alabama
Unshackled,115418946,112396116,"1,074",34.321999999999996,-85.67399999999999,Alabama
Wave Wall,113447513,112396116,"1,129",34.364000000000004,-85.663,Alabama
Monte Sano State Park,112870791,105905173,"1,629",34.8,-86.345,Alabama
Arrowhead Trail,112870830,112870791,"1,444",34.722,-86.537,Alabama
Moss Rock Preserve,105982504,105905173,623,33.382,-86.84100000000001,Alabama
The Bolt Boulder,118105548,105982504,728,33.382,-86.84299999999999,Alabama
Grass Man Area,106102718,105982504,,33.382,-86.84100000000001,Alabama
Lost Roof Area,105982639,105982504,,33.381,-86.84299999999999,Alabama
Novak Area,106392029,105982504,,33.382,-86.84299999999999,Alabama
